,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2021-10-19,26-035,BRK,@,MIL,L (-23),0,18:57,0,3,.000,0,2,.000,0,0,,0,2,2,0,0,0,1,1,0,-2.9,-29
1,2,2,2021-10-22,26-038,BRK,@,PHI,W (+5),0,23:03,1,2,.500,1,2,.500,0,0,,1,0,1,2,0,1,0,2,3,4.0,+9
2,3,3,2021-10-24,26-040,BRK,,CHO,L (-16),1,25:45,1,7,.143,1,5,.200,0,0,,0,2,2,1,2,1,0,3,3,1.3,-20
3,4,4,2021-10-25,26-041,BRK,,WAS,W (+14),0,13:50,0,2,.000,0,0,,0,0,,0,3,3,1,0,0,0,2,0,-0.6,-2
4,5,5,2021-10-27,26-043,BRK,,MIA,L (-13),0,5:53,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0,-0.4,+1
5,6,6,2021-10-29,26-045,BRK,,IND,W (+7),0,18:03,0,4,.000,0,3,.000,0,0,,0,2,2,2,2,1,1,2,0,0.1,+18
6,7,7,2021-10-31,26-047,BRK,,DET,W (+26),0,17:17,3,5,.600,2,4,.500,0,0,,0,1,1,2,1,0,1,2,8,6.6,+9
7,8,8,2021-11-03,26-050,BRK,,ATL,W (+9),0,6:24,0,1,.000,0,0,,0,0,,1,3,4,2,0,0,1,0,0,1.3,+10
8,9,9,2021-11-05,26-052,BRK,@,DET,W (+6),0,10:02,0,2,.000,0,0,,0,0,,0,2,2,0,0,1,0,0,0,-0.1,-10
9,10,10,2021-11-07,26-054,BRK,@,TOR,W (+13),0,3:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
10,11,11,2021-11-08,26-055,BRK,@,CHI,L (-23),0,9:21,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,1,0,0,2,2.0,+3
11,12,12,2021-11-10,26-057,BRK,@,ORL,W (+33),0,22:17,4,9,.444,2,5,.400,0,0,,0,3,3,5,1,0,0,1,10,10.3,+23
12,13,13,2021-11-12,26-059,BRK,@,NOP,W (+8),0,11:01,2,5,.400,2,4,.500,0,0,,0,0,0,1,0,0,0,0,6,4.0,-8
13,14,14,2021-11-14,26-061,BRK,@,OKC,W (+24),0,21:35,2,6,.333,2,5,.400,0,0,,0,1,1,1,0,0,0,0,6,3.6,+1
14,15,15,2021-11-16,26-063,BRK,,GSW,L (-18),0,15:57,1,4,.250,1,4,.250,0,0,,0,1,1,1,2,0,0,3,3,2.4,+4
15,16,16,2021-11-17,26-064,BRK,,CLE,W (+10),0,13:27,1,6,.167,1,6,.167,1,2,.500,0,0,0,1,0,0,0,4,4,-1.1,0
16,17,17,2021-11-19,26-066,BRK,,ORL,W (+2),0,23:25,2,6,.333,2,6,.333,0,0,,2,2,4,1,0,1,0,3,6,4.8,-6
17,18,18,2021-11-22,26-069,BRK,@,CLE,W (+5),0,8:21,2,6,.333,2,6,.333,0,0,,0,2,2,1,0,0,1,2,6,2.1,-8
18,19,19,2021-11-24,26-071,BRK,@,BOS,W (+19),0,10:35,2,2,1.000,2,2,1.000,0,0,,0,4,4,2,0,0,1,3,6,5.8,+5
19,20,20,2021-11-27,26-074,BRK,,PHO,L (-6),0,3:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-5
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2021-11-30,26-077,BRK,,NYK,W (+2),0,2:40,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,1,0,0.6,-3
22,22,22,2021-12-03,26-080,BRK,,MIN,W (+5),0,3:18,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,+10
23,23,23,2021-12-04,26-081,BRK,,CHI,L (-4),0,5:23,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-4
24,24,24,2021-12-07,26-084,BRK,@,DAL,W (+3),0,5:29,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,+1
25,25,25,2021-12-08,26-085,BRK,@,HOU,L (-10),0,8:41,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-5
26,26,26,2021-12-10,26-087,BRK,@,ATL,W (+8),0,4:23,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-2
27,27,27,2021-12-12,26-089,BRK,@,DET,W (+12),0,5:15,0,1,.000,0,0,,0,0,,0,4,4,1,1,0,2,1,0,-0.2,-1
28,28,,2021-12-14,26-091,BRK,,TOR,W (+2),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
29,29,,2021-12-16,26-093,BRK,,PHI,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,30,,2021-12-18,26-095,BRK,,ORL,L (-7),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
31,31,28,2021-12-25,26-102,BRK,@,LAL,W (+7),0,13:34,1,6,.167,0,4,.000,0,0,,1,2,3,1,1,0,1,0,2,0.2,-20
32,32,29,2021-12-27,26-104,BRK,@,LAC,W (+16),0,12:03,2,6,.333,2,6,.333,0,0,,1,2,3,0,0,1,1,0,6,3.6,+12
33,33,,2021-12-30,26-107,BRK,,PHI,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,34,,2022-01-01,26-109,BRK,,LAC,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,35,30,2022-01-03,26-111,BRK,,MEM,L (-14),0,9:24,2,4,.500,2,4,.500,0,0,,0,1,1,0,0,0,1,0,6,3.3,+13
36,36,,2022-01-05,26-113,BRK,@,IND,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,37,31,2022-01-07,26-115,BRK,,MIL,L (-12),0,6:58,2,7,.286,1,4,.250,0,0,,0,0,0,0,1,0,0,0,5,1.9,+8
38,38,,2022-01-09,26-117,BRK,,SAS,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,39,,2022-01-10,26-118,BRK,@,POR,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,40,32,2022-01-12,26-120,BRK,@,CHI,W (+26),0,6:14,2,3,.667,0,0,,0,0,,0,0,0,0,1,0,0,1,4,3.3,-9
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,33,2022-01-13,26-121,BRK,,OKC,L (-21),0,25:01,3,9,.333,0,3,.000,0,0,,1,1,2,0,1,0,1,2,6,1.1,-18
43,42,34,2022-01-15,26-123,BRK,,NOP,W (+15),0,2:13,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,-5
44,43,,2022-01-17,26-125,BRK,@,CLE,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,44,,2022-01-19,26-127,BRK,@,WAS,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
