,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2021-10-20,25-357,HOU,@,MIN,L (-18),1,21:10,1,4,.250,0,0,,0,0,,1,2,3,2,0,0,2,4,2,-1.3,-16
1,2,2,2021-10-22,25-359,HOU,,OKC,W (+33),1,28:07,6,9,.667,2,2,1.000,2,2,1.000,2,12,14,5,1,0,2,2,16,18.8,+28
2,3,3,2021-10-24,25-361,HOU,,BOS,L (-10),1,35:18,4,8,.500,0,2,.000,4,4,1.000,2,6,8,4,2,0,1,3,12,13.8,+1
3,4,4,2021-10-26,25-363,HOU,@,DAL,L (-10),1,26:49,3,9,.333,0,2,.000,0,0,,2,1,3,1,0,1,3,5,6,-1.0,-24
4,5,5,2021-10-28,26-000,HOU,,UTA,L (-31),1,15:15,3,12,.250,1,8,.125,0,0,,3,2,5,1,0,0,1,3,7,1.0,-19
5,6,6,2021-10-31,26-003,HOU,@,LAL,L (-10),1,17:42,3,7,.429,0,2,.000,0,0,,1,5,6,1,0,2,3,2,6,2.8,-11
6,7,7,2021-11-02,26-005,HOU,@,LAL,L (-2),1,35:12,9,15,.600,2,4,.500,0,0,,4,1,5,2,1,2,3,4,20,15.4,+1
7,8,8,2021-11-04,26-007,HOU,@,PHO,L (-12),1,33:42,5,8,.625,1,2,.500,3,3,1.000,1,4,5,4,1,0,3,1,14,12.7,0
8,9,9,2021-11-06,26-009,HOU,@,DEN,L (-1),1,31:05,4,7,.571,0,1,.000,2,3,.667,2,6,8,1,1,1,1,4,10,9.3,-4
9,10,10,2021-11-07,26-010,HOU,@,GSW,L (-13),1,32:54,7,11,.636,2,4,.500,5,9,.556,2,8,10,0,0,0,2,3,21,15.1,-5
10,11,11,2021-11-10,26-013,HOU,,DET,L (-8),1,28:44,4,9,.444,0,1,.000,6,9,.667,4,4,8,1,2,1,1,4,14,12.9,+9
11,12,12,2021-11-12,26-015,HOU,,POR,L (-12),1,24:35,5,10,.500,1,4,.250,3,4,.750,1,5,6,1,1,0,2,5,14,8.5,-1
12,13,13,2021-11-14,26-017,HOU,,PHO,L (-26),1,21:17,0,2,.000,0,1,.000,0,0,,2,3,5,1,0,1,0,1,0,1.9,-30
13,14,14,2021-11-15,26-018,HOU,@,MEM,L (-34),1,24:55,6,11,.545,0,1,.000,2,3,.667,5,4,9,0,1,0,1,3,14,11.8,-24
14,15,15,2021-11-17,26-020,HOU,@,OKC,L (-12),1,34:11,6,13,.462,1,1,1.000,3,4,.750,4,4,8,2,1,0,1,5,16,12.3,-16
15,16,16,2021-11-20,26-023,HOU,@,NYK,L (-7),1,30:56,5,12,.417,1,5,.200,0,0,,3,7,10,3,1,2,3,5,11,8.3,-18
16,17,17,2021-11-22,26-025,HOU,@,BOS,L (-18),1,21:44,3,8,.375,0,2,.000,0,0,,0,5,5,2,0,0,1,1,6,3.1,-24
17,18,18,2021-11-24,26-027,HOU,,CHI,W (+5),1,21:24,4,10,.400,0,4,.000,0,0,,0,3,3,1,0,0,5,2,8,-1.6,-1
18,19,19,2021-11-27,26-030,HOU,,CHO,W (+3),1,36:03,6,9,.667,2,4,.500,2,2,1.000,0,2,2,5,1,0,2,3,16,14.0,+15
19,20,20,2021-11-29,26-032,HOU,,OKC,W (+13),1,27:49,7,12,.583,0,2,.000,1,1,1.000,2,4,6,8,1,0,0,3,15,17.4,+24
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2021-12-01,26-034,HOU,@,OKC,W (+4),1,35:24,11,15,.733,1,2,.500,9,10,.900,4,6,10,7,2,5,3,3,32,36.3,+6
22,22,22,2021-12-03,26-036,HOU,,ORL,W (+2),1,32:13,6,16,.375,2,6,.333,1,1,1.000,3,4,7,4,2,1,1,5,15,12.0,-1
23,23,23,2021-12-05,26-038,HOU,,NOP,W (+10),1,32:05,5,8,.625,1,2,.500,0,0,,0,5,5,7,0,0,5,5,11,6.8,+4
24,24,24,2021-12-08,26-041,HOU,,BRK,W (+10),1,26:54,3,8,.375,0,2,.000,4,9,.444,1,1,2,5,1,1,2,5,10,5.8,+7
25,25,25,2021-12-10,26-043,HOU,,MIL,L (-9),1,32:48,2,7,.286,1,2,.500,1,2,.500,0,2,2,9,1,0,1,5,6,6.4,-2
26,26,26,2021-12-11,26-044,HOU,@,MEM,L (-7),1,25:15,3,8,.375,0,2,.000,1,2,.500,2,1,3,3,2,0,2,4,7,4.4,-20
