,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2021-10-20,23-169,DET,,CHI,L (-6),1,28:34,3,8,.375,1,5,.200,0,0,,0,2,2,0,0,0,2,4,7,-0.4,-13
1,2,2,2021-10-23,23-172,DET,@,CHI,L (-15),1,20:18,2,10,.200,1,4,.250,0,0,,0,1,1,1,0,0,1,2,5,-2.0,-15
2,3,3,2021-10-25,23-174,DET,@,ATL,L (-18),0,14:23,2,7,.286,0,4,.000,0,0,,0,0,0,0,0,0,2,1,4,-2.5,-21
3,4,4,2021-10-28,23-177,DET,@,PHI,L (-8),0,23:05,3,7,.429,2,5,.400,1,1,1.000,0,1,1,1,1,0,1,1,9,5.9,+11
4,5,5,2021-10-30,23-179,DET,,ORL,W (+7),0,18:15,2,3,.667,1,2,.500,0,0,,2,1,3,1,1,0,1,0,5,6.1,+1
5,6,6,2021-10-31,23-180,DET,@,BRK,L (-26),0,18:36,3,8,.375,0,4,.000,0,0,,0,2,2,0,2,0,1,0,6,3.2,-14
6,7,7,2021-11-02,23-182,DET,,MIL,L (-28),0,15:31,2,7,.286,0,5,.000,4,7,.571,0,2,2,1,0,0,0,0,8,4.0,-8
7,8,8,2021-11-04,23-184,DET,,PHI,L (-11),0,13:45,3,6,.500,2,4,.500,0,0,,0,1,1,0,0,0,0,2,8,4.5,-11
8,9,9,2021-11-05,23-185,DET,,BRK,L (-6),0,15:45,4,10,.400,2,6,.333,0,0,,0,2,2,0,1,1,0,1,10,6.5,+11
9,10,10,2021-11-10,23-190,DET,@,HOU,W (+8),0,15:40,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,+3
10,11,11,2021-11-12,23-192,DET,@,CLE,L (-20),0,23:20,4,8,.500,2,5,.400,2,3,.667,0,2,2,2,0,1,1,2,12,8.5,-13
11,12,12,2021-11-13,23-193,DET,@,TOR,W (+6),0,15:22,3,8,.375,2,7,.286,6,7,.857,0,0,0,1,0,0,0,3,14,8.7,+8
12,13,13,2021-11-15,23-195,DET,,SAC,L (-22),0,18:20,3,6,.500,2,3,.667,0,0,,0,0,0,0,1,0,2,0,8,4.0,+4
