Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,22-272,MIA,CHI,1.0,34.46666666666667,8.0,15.0,0.533,4.0,8.0,0.5,3.0,4.0,0.75,0.0,6.0,6.0,1.0,2.0,0.0,1.0,2.0,23.0,18.0,-18.0,7.0,4.0,0.5714285714285714,64,60,13,21,3,34,56,43,9,53,46,65,10,8,22,7,37,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,7.0,42.0,0.8533333333333334,0.8450704225352113,0.8666666666666667,0.5526315789473685,0.2,0.8095238095238095,0.8235294117647058,0.7962962962962963,0.5,0.0,0.828125,0.8363636363636363,0.8125,0.6666666666666666,0.8888888888888888,0.7096774193548387,1.0,0.8809523809523809,19,62.0,23.0,0.3064516129032258,0.0,18,12.0,55.0,3.055555555555556,16.799999999999997,58.8,3.2666666666666666,15.3,3.5,0.6,1.5,-0.8,0.1500501281051576,0.566,0.484,0.164,1.6,1.1,L (-8),L (-8)
2.0,2.0,2022-10-21,22-274,MIA,BOS,1.0,36.1,10.0,21.0,0.476,2.0,6.0,0.333,3.0,3.0,1.0,0.0,6.0,6.0,3.0,0.0,2.0,1.0,3.0,25.0,17.4,-1.0,15.0,8.0,0.5333333333333333,64,60,13,21,3,34,56,43,9,53,46,65,10,8,22,7,37,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,7.0,42.0,0.8533333333333334,0.8450704225352113,0.8666666666666667,0.5526315789473685,0.2,0.8095238095238095,0.8235294117647058,0.7962962962962963,0.5,0.0,0.828125,0.8363636363636363,0.8125,0.6666666666666666,0.8888888888888888,0.7096774193548387,1.0,0.8809523809523809,19,62.0,23.0,0.3064516129032258,0.0,18,11.0,73.0,4.055555555555555,16.2,80.10000000000001,4.45,15.3,3.5,0.6,1.5,-0.8,0.1500501281051576,0.566,0.484,0.164,1.6,1.1,L (-7),L (-7)
3.0,3.0,2022-10-22,22-275,MIA,TOR,1.0,22.28333333333333,4.0,8.0,0.5,1.0,4.0,0.25,5.0,5.0,1.0,2.0,6.0,8.0,6.0,0.0,0.0,2.0,5.0,14.0,13.4,0.0,4.0,3.0,0.75,64,60,13,21,3,34,56,43,9,53,46,65,10,8,22,7,37,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,7.0,42.0,0.8533333333333334,0.8450704225352113,0.8666666666666667,0.5526315789473685,0.2,0.8095238095238095,0.8235294117647058,0.7962962962962963,0.5,0.0,0.828125,0.8363636363636363,0.8125,0.6666666666666666,0.8888888888888888,0.7096774193548387,1.0,0.8809523809523809,19,62.0,23.0,0.3064516129032258,0.0,18,13.0,69.0,3.8333333333333335,11.4,77.39999999999999,4.3,15.3,3.5,0.6,1.5,-0.8,0.1500501281051576,0.566,0.484,0.164,1.6,1.1,W (+3),W (+3)
4.0,4.0,2022-10-24,22-277,MIA,TOR,1.0,40.0,8.0,18.0,0.444,2.0,9.0,0.222,4.0,5.0,0.8,1.0,14.0,15.0,4.0,1.0,0.0,4.0,1.0,22.0,16.5,-12.0,9.0,6.0,0.6666666666666666,64,60,13,21,3,34,56,43,9,53,46,65,10,8,22,7,37,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,7.0,42.0,0.8533333333333334,0.8450704225352113,0.8666666666666667,0.5526315789473685,0.2,0.8095238095238095,0.8235294117647058,0.7962962962962963,0.5,0.0,0.828125,0.8363636363636363,0.8125,0.6666666666666666,0.8888888888888888,0.7096774193548387,1.0,0.8809523809523809,19,62.0,23.0,0.3064516129032258,0.0,18,15.0,44.0,2.4444444444444446,14.9,43.50000000000001,2.416666666666667,15.3,3.5,0.6,1.5,-0.8,0.1500501281051576,0.566,0.484,0.164,1.6,1.1,L (-8),L (-8)
5.0,5.0,2022-10-26,22-279,MIA,POR,1.0,28.383333333333333,5.0,13.0,0.385,3.0,8.0,0.375,1.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,2.0,14.0,9.1,10.0,5.0,2.0,0.4,64,60,13,21,3,34,56,43,9,53,46,65,10,8,22,7,37,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,7.0,42.0,0.8533333333333334,0.8450704225352113,0.8666666666666667,0.5526315789473685,0.2,0.8095238095238095,0.8235294117647058,0.7962962962962963,0.5,0.0,0.828125,0.8363636363636363,0.8125,0.6666666666666666,0.8888888888888888,0.7096774193548387,1.0,0.8809523809523809,19,62.0,23.0,0.3064516129032258,0.0,18,7.0,90.0,5.0,8.7,95.7,5.316666666666666,15.3,3.5,0.6,1.5,-0.8,0.1500501281051576,0.566,0.484,0.164,1.6,1.1,W (+21),W (+21)
6.0,6.0,2022-10-27,22-280,MIA,GSW,1.0,31.766666666666666,3.0,12.0,0.25,1.0,5.0,0.2,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,2.0,1.0,7.0,0.0,-10.0,7.0,2.0,0.2857142857142857,64,60,13,21,3,34,56,43,9,53,46,65,10,8,22,7,37,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,7.0,42.0,0.8533333333333334,0.8450704225352113,0.8666666666666667,0.5526315789473685,0.2,0.8095238095238095,0.8235294117647058,0.7962962962962963,0.5,0.0,0.828125,0.8363636363636363,0.8125,0.6666666666666666,0.8888888888888888,0.7096774193548387,1.0,0.8809523809523809,19,62.0,23.0,0.3064516129032258,0.0,18,-1.0,90.0,5.0,4.440892098500626e-16,119.0,6.611111111111111,15.3,3.5,0.6,1.5,-0.8,0.1500501281051576,0.566,0.484,0.164,1.6,1.1,L (-13),L (-13)
7.0,7.0,2022-10-29,22-282,MIA,SAC,1.0,34.86666666666667,13.0,22.0,0.591,5.0,8.0,0.625,3.0,4.0,0.75,1.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,34.0,21.3,11.0,14.0,8.0,0.5714285714285714,64,60,13,21,3,34,56,43,9,53,46,65,10,8,22,7,37,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,7.0,42.0,0.8533333333333334,0.8450704225352113,0.8666666666666667,0.5526315789473685,0.2,0.8095238095238095,0.8235294117647058,0.7962962962962963,0.5,0.0,0.828125,0.8363636363636363,0.8125,0.6666666666666666,0.8888888888888888,0.7096774193548387,1.0,0.8809523809523809,19,62.0,23.0,0.3064516129032258,0.0,18,8.0,40.0,2.2222222222222223,20.10000000000001,53.09999999999999,2.95,15.3,3.5,0.6,1.5,-0.8,0.1500501281051576,0.566,0.484,0.164,1.6,1.1,L (-6),L (-6)
8.0,8.0,2022-11-01,22-285,MIA,GSW,1.0,9.95,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.3,-6.0,4.0,1.0,0.25,64,60,13,21,3,34,56,43,9,53,46,65,10,8,22,7,37,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,7.0,42.0,0.8533333333333334,0.8450704225352113,0.8666666666666667,0.5526315789473685,0.2,0.8095238095238095,0.8235294117647058,0.7962962962962963,0.5,0.0,0.828125,0.8363636363636363,0.8125,0.6666666666666666,0.8888888888888888,0.7096774193548387,1.0,0.8809523809523809,19,62.0,23.0,0.3064516129032258,0.0,18,2.0,100.0,5.555555555555555,2.3,108.7,6.038888888888889,15.3,3.5,0.6,1.5,-0.8,0.1500501281051576,0.566,0.484,0.164,1.6,1.1,W (+7),W (+7)
9.0,9.0,2022-11-02,22-286,MIA,SAC,1.0,37.81666666666667,12.0,21.0,0.571,2.0,6.0,0.333,0.0,0.0,,2.0,10.0,12.0,0.0,1.0,3.0,2.0,0.0,26.0,21.6,15.0,15.0,10.0,0.6666666666666666,64,60,13,21,3,34,56,43,9,53,46,65,10,8,22,7,37,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,7.0,42.0,0.8533333333333334,0.8450704225352113,0.8666666666666667,0.5526315789473685,0.2,0.8095238095238095,0.8235294117647058,0.7962962962962963,0.5,0.0,0.828125,0.8363636363636363,0.8125,0.6666666666666666,0.8888888888888888,0.7096774193548387,1.0,0.8809523809523809,19,62.0,23.0,0.3064516129032258,0.0,18,19.0,58.0,3.2222222222222223,21.600000000000005,59.1,3.283333333333333,15.3,3.5,0.6,1.5,-0.8,0.1500501281051576,0.566,0.484,0.164,1.6,1.1,W (+3),W (+3)
10.0,10.0,2022-11-04,22-288,MIA,IND,1.0,38.35,8.0,20.0,0.4,4.0,10.0,0.4,9.0,9.0,1.0,0.0,5.0,5.0,5.0,2.0,0.0,5.0,1.0,29.0,19.8,-2.0,10.0,4.0,0.4,64,60,13,21,3,34,56,43,9,53,46,65,10,8,22,7,37,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,7.0,42.0,0.8533333333333334,0.8450704225352113,0.8666666666666667,0.5526315789473685,0.2,0.8095238095238095,0.8235294117647058,0.7962962962962963,0.5,0.0,0.828125,0.8363636363636363,0.8125,0.6666666666666666,0.8888888888888888,0.7096774193548387,1.0,0.8809523809523809,19,62.0,23.0,0.3064516129032258,0.0,18,7.0,50.0,2.7777777777777777,16.200000000000003,53.5,2.9722222222222223,15.3,3.5,0.6,1.5,-0.8,0.1500501281051576,0.566,0.484,0.164,1.6,1.1,L (-2),L (-2)
