Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,19-132,MIA,CHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,13,6,9,4,11,8,12,8,7,12,13,10,10,2,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,9.0,31.0,67.0,7.0,42.0,0.16,0.1830985915492957,0.4,0.2368421052631578,0.2666666666666666,0.2619047619047619,0.1176470588235294,0.2222222222222222,0.4444444444444444,0.0,0.109375,0.2181818181818181,0.1625,0.0,0.3225806451612903,0.1492537313432835,0.2857142857142857,0.119047619047619,62.0,23.0,0.0,0.0,16,,67.0,4.1875,0.0,69.3,4.33125,10.6,0.2,-3.4,-3.4,0.0,0.0091344547176116,0.53,0.507,0.275,-0.1,0.0,L (-8),L (-8)
2.0,,2022-10-21,19-134,MIA,BOS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,13,6,9,4,11,8,12,8,7,12,13,10,10,2,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,9.0,31.0,67.0,7.0,42.0,0.16,0.1830985915492957,0.4,0.2368421052631578,0.2666666666666666,0.2619047619047619,0.1176470588235294,0.2222222222222222,0.4444444444444444,0.0,0.109375,0.2181818181818181,0.1625,0.0,0.3225806451612903,0.1492537313432835,0.2857142857142857,0.119047619047619,62.0,23.0,0.0,0.0,16,,84.0,5.25,0.0,78.9,4.93125,10.6,0.2,-3.4,-3.4,0.0,0.0091344547176116,0.53,0.507,0.275,-0.1,0.0,L (-7),L (-7)
3.0,,2022-10-22,19-135,MIA,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,13,6,9,4,11,8,12,8,7,12,13,10,10,2,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,9.0,31.0,67.0,7.0,42.0,0.16,0.1830985915492957,0.4,0.2368421052631578,0.2666666666666666,0.2619047619047619,0.1176470588235294,0.2222222222222222,0.4444444444444444,0.0,0.109375,0.2181818181818181,0.1625,0.0,0.3225806451612903,0.1492537313432835,0.2857142857142857,0.119047619047619,62.0,23.0,0.0,0.0,16,,82.0,5.125,0.0,86.5,5.40625,10.6,0.2,-3.4,-3.4,0.0,0.0091344547176116,0.53,0.507,0.275,-0.1,0.0,W (+3),W (+3)
4.0,,2022-10-24,19-137,MIA,TOR,Not With Team,0.0,0.0,0.0,Not With Team,,,Not With Team,Not With Team,0.0,Not With Team,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Not With Team,Not With Team,,,,12,13,6,9,4,11,8,12,8,7,12,13,10,10,2,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,9.0,31.0,67.0,7.0,42.0,0.16,0.1830985915492957,0.4,0.2368421052631578,0.2666666666666666,0.2619047619047619,0.1176470588235294,0.2222222222222222,0.4444444444444444,0.0,0.109375,0.2181818181818181,0.1625,0.0,0.3225806451612903,0.1492537313432835,0.2857142857142857,0.119047619047619,62.0,23.0,0.0,0.0,16,,59.0,3.6875,0.0,56.2,3.5125,10.6,0.2,-3.4,-3.4,0.0,0.0091344547176116,0.53,0.507,0.275,-0.1,0.0,L (-8),L (-8)
5.0,1.0,2022-10-26,19-139,MIA,POR,0,13.716666666666669,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,1.0,5.0,2.0,-0.7,+3,2.0,1.0,0.5,12,13,6,9,4,11,8,12,8,7,12,13,10,10,2,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,9.0,31.0,67.0,7.0,42.0,0.16,0.1830985915492957,0.4,0.2368421052631578,0.2666666666666666,0.2619047619047619,0.1176470588235294,0.2222222222222222,0.4444444444444444,0.0,0.109375,0.2181818181818181,0.1625,0.0,0.3225806451612903,0.1492537313432835,0.2857142857142857,0.119047619047619,62.0,23.0,0.0,0.0,16,1.0,96.0,6.0,-0.7000000000000002,100.9,6.30625,10.6,0.2,-3.4,-3.4,0.0,0.0091344547176116,0.53,0.507,0.275,-0.1,0.0,W (+21),W (+21)
6.0,2.0,2022-10-27,19-140,MIA,GSW,0,7.6,2.0,4.0,.500,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,3.7,-2,2.0,2.0,1.0,12,13,6,9,4,11,8,12,8,7,12,13,10,10,2,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,9.0,31.0,67.0,7.0,42.0,0.16,0.1830985915492957,0.4,0.2368421052631578,0.2666666666666666,0.2619047619047619,0.1176470588235294,0.2222222222222222,0.4444444444444444,0.0,0.109375,0.2181818181818181,0.1625,0.0,0.3225806451612903,0.1492537313432835,0.2857142857142857,0.119047619047619,62.0,23.0,0.0,0.0,16,2.0,87.0,5.4375,3.7,91.2,5.7,10.6,0.2,-3.4,-3.4,0.0,0.0091344547176116,0.53,0.507,0.275,-0.1,0.0,L (-13),L (-13)
7.0,3.0,2022-10-29,19-142,MIA,SAC,0,0.8333333333333334,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5,0.0,0.0,,12,13,6,9,4,11,8,12,8,7,12,13,10,10,2,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,9.0,31.0,67.0,7.0,42.0,0.16,0.1830985915492957,0.4,0.2368421052631578,0.2666666666666666,0.2619047619047619,0.1176470588235294,0.2222222222222222,0.4444444444444444,0.0,0.109375,0.2181818181818181,0.1625,0.0,0.3225806451612903,0.1492537313432835,0.2857142857142857,0.119047619047619,62.0,23.0,0.0,0.0,16,0.0,48.0,3.0,0.0,72.89999999999999,4.55625,10.6,0.2,-3.4,-3.4,0.0,0.0091344547176116,0.53,0.507,0.275,-0.1,0.0,L (-6),L (-6)
8.0,,2022-11-01,19-145,MIA,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,13,6,9,4,11,8,12,8,7,12,13,10,10,2,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,9.0,31.0,67.0,7.0,42.0,0.16,0.1830985915492957,0.4,0.2368421052631578,0.2666666666666666,0.2619047619047619,0.1176470588235294,0.2222222222222222,0.4444444444444444,0.0,0.109375,0.2181818181818181,0.1625,0.0,0.3225806451612903,0.1492537313432835,0.2857142857142857,0.119047619047619,62.0,23.0,0.0,0.0,16,,102.0,6.375,0.0,85.1,5.31875,10.6,0.2,-3.4,-3.4,0.0,0.0091344547176116,0.53,0.507,0.275,-0.1,0.0,W (+7),W (+7)
9.0,,2022-11-02,19-146,MIA,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,13,6,9,4,11,8,12,8,7,12,13,10,10,2,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,9.0,31.0,67.0,7.0,42.0,0.16,0.1830985915492957,0.4,0.2368421052631578,0.2666666666666666,0.2619047619047619,0.1176470588235294,0.2222222222222222,0.4444444444444444,0.0,0.109375,0.2181818181818181,0.1625,0.0,0.3225806451612903,0.1492537313432835,0.2857142857142857,0.119047619047619,62.0,23.0,0.0,0.0,16,,77.0,4.8125,0.0,73.10000000000001,4.5687500000000005,10.6,0.2,-3.4,-3.4,0.0,0.0091344547176116,0.53,0.507,0.275,-0.1,0.0,W (+3),W (+3)
10.0,,2022-11-04,19-148,MIA,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,13,6,9,4,11,8,12,8,7,12,13,10,10,2,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,9.0,31.0,67.0,7.0,42.0,0.16,0.1830985915492957,0.4,0.2368421052631578,0.2666666666666666,0.2619047619047619,0.1176470588235294,0.2222222222222222,0.4444444444444444,0.0,0.109375,0.2181818181818181,0.1625,0.0,0.3225806451612903,0.1492537313432835,0.2857142857142857,0.119047619047619,62.0,23.0,0.0,0.0,16,,57.0,3.5625,0.0,55.9,3.49375,10.6,0.2,-3.4,-3.4,0.0,0.0091344547176116,0.53,0.507,0.275,-0.1,0.0,L (-2),L (-2)
