Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,24-122,MIA,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,67.0,5.153846153846154,0.0,65.6,5.046153846153846,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-8),L (-8)
2.0,,2022-10-21,24-124,MIA,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,84.0,6.461538461538462,0.0,93.5,7.1923076923076925,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-7),L (-7)
3.0,,2022-10-22,24-125,MIA,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,82.0,6.307692307692308,0.0,76.8,5.907692307692307,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+3),W (+3)
4.0,,2022-10-24,24-127,MIA,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,59.0,4.538461538461538,0.0,55.10000000000001,4.238461538461539,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-8),L (-8)
5.0,,2022-10-26,24-129,MIA,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,97.0,7.461538461538462,0.0,103.8,7.984615384615385,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+21),W (+21)
6.0,,2022-10-27,24-130,MIA,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,89.0,6.846153846153846,0.0,107.1,8.238461538461538,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-13),L (-13)
7.0,,2022-10-29,24-132,MIA,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,48.0,3.692307692307693,0.0,71.3,5.484615384615385,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-6),L (-6)
8.0,,2022-11-01,24-135,MIA,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,102.0,7.846153846153846,0.0,107.8,8.292307692307691,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+7),W (+7)
9.0,,2022-11-02,24-136,MIA,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,77.0,5.923076923076923,0.0,82.30000000000001,6.330769230769231,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+3),W (+3)
10.0,,2022-11-04,24-138,MIA,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,57.0,4.384615384615385,0.0,68.6,5.276923076923077,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-2),L (-2)
