Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Bam Adebayo,Caleb Martin,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2023-03-13,30-159,MIA,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,,81.0,5.4,0.0,84.79999999999998,5.653333333333332,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,W (+4),W (+4)
12.0,,2023-03-15,30-161,MIA,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,,59.0,3.933333333333333,0.0,74.5,4.966666666666667,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,W (+19),W (+19)
13.0,,2023-03-18,30-164,MIA,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,,96.0,6.4,0.0,103.5,6.9,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,L (-14),L (-14)
14.0,,2023-03-19,30-165,MIA,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,,65.0,4.333333333333333,0.0,72.29999999999998,4.819999999999999,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,W (+12),W (+12)
15.0,,2023-03-22,30-168,MIA,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,,75.0,5.0,0.0,76.3,5.086666666666667,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,W (+7),W (+7)
16.0,,2023-03-25,30-171,MIA,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,,45.0,3.0,0.0,58.9,3.9266666666666654,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,L (-29),L (-29)
17.0,11.0,2023-03-28,30-174,MIA,TOR,0,11.466666666666669,2.0,3.0,.667,0.0,0.0,,2,2.0,1.000,1.0,6.0,7.0,0.0,0.0,0.0,2.0,2.0,6.0,4.4,-8,3.0,2.0,0.6666666666666666,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,6.0,31.0,2.066666666666667,3.6000000000000014,49.3,3.286666666666666,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,L (-14),L (-14)
18.0,12.0,2023-03-29,30-175,MIA,NYK,0,12.6,1.0,2.0,.500,0.0,0.0,,0,2.0,.000,3.0,2.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,2.2,-3,2.0,1.0,0.5,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,3.0,49.0,3.2666666666666666,2.2000000000000006,59.89999999999999,3.9933333333333327,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,L (-9),L (-9)
19.0,13.0,2023-04-01,30-178,MIA,DAL,1,28.616666666666667,9.0,13.0,.692,0.0,1.0,.000,2,3.0,.667,3.0,5.0,8.0,0.0,1.0,0.0,0.0,2.0,20.0,17.9,-1,12.0,9.0,0.75,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,13.0,72.0,4.8,17.1,80.00000000000001,5.333333333333334,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,W (+7),W (+7)
20.0,,2023-04-04,30-181,MIA,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,,62.0,4.133333333333334,0.0,72.90000000000002,4.860000000000001,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,W (+13),W (+13)
21.0,,2023-04-06,30-183,MIA,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,,67.0,4.466666666666667,0.0,67.4,4.493333333333334,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,,
22.0,14.0,2023-04-07,30-184,MIA,WAS,1,21.85,8.0,10.0,.800,0.0,0.0,,1,1.0,1.000,1.0,4.0,5.0,1.0,0.0,0.0,3.0,3.0,17.0,11.6,-24,10.0,8.0,0.8,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,9.0,91.0,6.066666666666666,11.199999999999996,98.9,6.593333333333334,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,W (+28),W (+28)
23.0,15.0,2023-04-09,30-186,MIA,ORL,0,12.0,2.0,2.0,1.000,0.0,0.0,,2,4.0,.500,1.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,6.0,6.8,+3,2.0,2.0,1.0,15,14,12,2,12,13,10,3,9,15,14,6,7,13,4,75.0,71.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.2,0.1971830985915492,0.3157894736842105,0.1333333333333333,0.2857142857142857,0.1911764705882352,0.1851851851851851,0.1666666666666666,0.0,0.140625,0.2727272727272727,0.175,0.4,0.0,0.2258064516129032,0.1940298507462686,0.5714285714285714,0.0,62.0,23.0,0.0,0.0,15,6.0,90.0,6.0,6.000000000000001,86.89999999999999,5.793333333333333,16.4,0.7,-2.8,-2.0,-0.7,0.0109167873454383,0.659,0.034,0.593,0.0,0.4,L (-6),L (-6)
