Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-07,28-199,MIA,POR,0,28.516666666666666,3.0,9.0,.333,3.0,9.0,.333,0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,1.0,2.0,9.0,5.4,+2,0.0,0.0,,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,6.0,75.0,4.166666666666667,5.399999999999999,85.49999999999997,4.749999999999998,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,L (-3),L (-3)
12.0,12.0,2022-11-10,28-202,MIA,CHO,0,22.566666666666663,5.0,10.0,.500,2.0,6.0,.333,2,3.0,.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,8.1,0,4.0,3.0,0.75,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,2.0,57.0,3.1666666666666665,7.3,73.5,4.083333333333333,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,W (+5),W (+5)
13.0,13.0,2022-11-12,28-204,MIA,CHO,0,23.15,2.0,9.0,.222,0.0,6.0,.000,1,1.0,1.000,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,5.0,0.8,+5,3.0,2.0,0.6666666666666666,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,-2.0,98.0,5.444444444444445,0.4000000000000003,111.49999999999996,6.194444444444442,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,W (+17),W (+17)
14.0,14.0,2022-11-14,28-206,MIA,PHO,0,20.7,3.0,7.0,.429,2.0,6.0,.333,2,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,4.3,-7,1.0,1.0,1.0,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,-1.0,66.0,3.6666666666666665,3.5,73.69999999999999,4.094444444444444,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,W (+1),W (+1)
15.0,15.0,2022-11-16,28-208,MIA,TOR,0,14.533333333333331,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,-0.8,-3,1.0,0.0,0.0,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,2.0,73.0,4.055555555555555,-0.8000000000000005,82.8,4.6,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,L (-8),L (-8)
16.0,,2022-11-18,28-210,MIA,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,,45.0,2.5,0.0,58.9,3.272222222222222,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,L (-1),L (-1)
17.0,16.0,2022-11-20,28-212,MIA,CLE,0,20.916666666666668,3.0,6.0,.500,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,7.0,1.1,-22,3.0,2.0,0.6666666666666666,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,0.0,37.0,2.055555555555556,1.1000000000000003,51.9,2.8833333333333333,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,L (-26),L (-26)
18.0,,2022-11-21,28-213,MIA,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,,52.0,2.888888888888889,0.0,62.1,3.45,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,L (-4),L (-4)
19.0,,2022-11-23,28-215,MIA,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,,85.0,4.722222222222222,0.0,97.1,5.394444444444444,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,W (+8),W (+8)
20.0,,2022-11-25,28-217,MIA,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,37,12,18,3,35,27,9,30,30,42,11,6,19,34,5,18,75.0,71.0,15.0,38.0,15.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.4933333333333333,0.5211267605633803,0.8,0.4736842105263157,0.2,0.5147058823529411,0.5,0.5,0.0,0.46875,0.5454545454545454,0.525,0.7333333333333333,0.6666666666666666,0.6129032258064516,0.5074626865671642,0.7142857142857143,0.4285714285714285,11,62.0,23.0,0.1774193548387097,0.0,18,,62.0,3.4444444444444446,0.0,72.90000000000002,4.050000000000001,7.8,0.5,-5.0,-3.5,-1.5,0.0298540715160966,0.534,0.81,0.135,-0.5,-0.1,W (+3),W (+3)
