Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,25-314,MIA,CHI,0,0.4666666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+2,0.0,0.0,,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,0.0,67.0,3.7222222222222223,0.0,75.6,4.199999999999999,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,L (-8),L (-8)
2.0,2.0,2022-10-21,25-316,MIA,BOS,0,4.4,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-9,0.0,0.0,,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,0.0,84.0,4.666666666666667,-0.7999999999999999,97.1,5.394444444444444,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,L (-7),L (-7)
3.0,,2022-10-22,25-317,MIA,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,,82.0,4.555555555555555,0.0,88.8,4.933333333333334,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,W (+3),W (+3)
4.0,3.0,2022-10-24,25-319,MIA,TOR,0,10.483333333333333,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,-1.5,-4,1.0,0.0,0.0,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,-1.0,60.0,3.333333333333333,-1.5,59.900000000000006,3.327777777777778,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,L (-8),L (-8)
5.0,4.0,2022-10-26,25-321,MIA,POR,0,5.616666666666667,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,-5,1.0,1.0,1.0,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,3.0,94.0,5.222222222222222,3.0,101.4,5.633333333333334,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,W (+21),W (+21)
6.0,,2022-10-27,25-322,MIA,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,,89.0,4.944444444444445,0.0,119.0,6.611111111111111,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,L (-13),L (-13)
7.0,,2022-10-29,25-324,MIA,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,,48.0,2.6666666666666665,0.0,73.19999999999999,4.066666666666666,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,L (-6),L (-6)
8.0,,2022-11-01,25-327,MIA,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,,102.0,5.666666666666667,0.0,111.0,6.166666666666667,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,W (+7),W (+7)
9.0,,2022-11-02,25-328,MIA,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,,77.0,4.277777777777778,0.0,80.7,4.483333333333333,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,W (+3),W (+3)
10.0,5.0,2022-11-04,25-330,MIA,IND,0,6.45,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,-5,0.0,0.0,,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,-2.0,59.0,3.2777777777777777,-1.7,71.4,3.966666666666667,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,L (-2),L (-2)
