Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jamaree Bouyea,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo
10,11,,2022-11-07,24-312,MIA,,POR,L (-3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,4,5,2,5,3,4,3,3,0,3,5,3,4,0,4,3,1,0,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0
11,12,,2022-11-10,24-315,MIA,,CHO,W (+5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,4,5,2,5,3,4,3,3,0,3,5,3,4,0,4,3,1,0,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0
12,13,,2022-11-12,24-317,MIA,,CHO,W (+17),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,4,5,2,5,3,4,3,3,0,3,5,3,4,0,4,3,1,0,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0
13,14,2,2022-11-25,24-330,MIA,,WAS,W (+3),0,15.916666666666666,1.0,3.0,.333,0.0,0.0,,0,0,,0,3,3,1,1,2,1,5,2,1.3,-2,3.0,1.0,0.3333333333333333,4,5,2,5,3,4,3,3,0,3,5,3,4,0,4,3,1,0,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0
14,15,3,2022-11-27,24-332,MIA,@,ATL,W (+8),0,20.683333333333334,2.0,3.0,.667,1.0,1.0,1.000,0,0,,0,3,3,1,1,1,0,0,5,7.0,-2,2.0,1.0,0.5,4,5,2,5,3,4,3,3,0,3,5,3,4,0,4,3,1,0,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0
15,16,,2022-11-30,24-335,MIA,@,BOS,L (-13),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,4,5,2,5,3,4,3,3,0,3,5,3,4,0,4,3,1,0,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0
16,17,,2022-12-02,24-337,MIA,@,BOS,W (+4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,4,5,2,5,3,4,3,3,0,3,5,3,4,0,4,3,1,0,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0
17,18,,2022-12-05,24-340,MIA,@,MEM,L (-8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,4,5,2,5,3,4,3,3,0,3,5,3,4,0,4,3,1,0,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0
18,19,4,2022-12-06,24-341,MIA,,DET,L (-20),0,2.5833333333333335,0.0,0.0,,0.0,0.0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,-1,0.0,0.0,,4,5,2,5,3,4,3,3,0,3,5,3,4,0,4,3,1,0,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0
19,20,5,2022-12-08,24-343,MIA,,LAC,W (+5),1,22.116666666666667,1.0,5.0,.200,0.0,3.0,.000,0,0,,0,1,1,3,1,0,0,4,2,0.7,-7,2.0,1.0,0.5,4,5,2,5,3,4,3,3,0,3,5,3,4,0,4,3,1,0,75.0,71.0,15.0,38.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0533333333333333,0.0704225352112676,0.1333333333333333,0.131578947368421,0.0714285714285714,0.0588235294117647,0.0555555555555555,0.1666666666666666,0.0,0.046875,0.0909090909090909,0.0375,0.2666666666666666,0.0,0.1290322580645161,0.044776119402985,0.1428571428571428,0.0
