Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-07,23-232,MIA,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,81.0,4.5,0.0,90.89999999999998,5.049999999999999,16.5,0.8,0.8,-0.5,1.3,0.0109167873454383,0.647,0.303,0.333,0.2,0.5,L (-3),L (-3)
12.0,,2022-11-10,23-235,MIA,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,59.0,3.2777777777777777,0.0,80.8,4.488888888888889,16.5,0.8,0.8,-0.5,1.3,0.0109167873454383,0.647,0.303,0.333,0.2,0.5,W (+5),W (+5)
13.0,1.0,2022-11-12,23-237,MIA,CHO,0,1.6333333333333333,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.7,0,0.0,0.0,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,3.0,93.0,5.166666666666667,3.7,108.2,6.011111111111111,16.5,0.8,0.8,-0.5,1.3,0.0109167873454383,0.647,0.303,0.333,0.2,0.5,W (+17),W (+17)
14.0,,2022-11-14,23-239,MIA,PHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,65.0,3.611111111111111,0.0,77.19999999999999,4.288888888888888,16.5,0.8,0.8,-0.5,1.3,0.0109167873454383,0.647,0.303,0.333,0.2,0.5,W (+1),W (+1)
15.0,2.0,2022-11-16,23-241,MIA,TOR,0,6.066666666666666,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.2,-8,1.0,0.0,0.0,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,-2.0,77.0,4.277777777777778,-2.2,84.2,4.677777777777778,16.5,0.8,0.8,-0.5,1.3,0.0109167873454383,0.647,0.303,0.333,0.2,0.5,L (-8),L (-8)
16.0,3.0,2022-11-18,23-243,MIA,WAS,0,17.516666666666666,1.0,2.0,.500,0.0,1.0,.000,2,4.0,.500,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,4.0,4.7,-5,1.0,1.0,1.0,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,5.0,40.0,2.2222222222222223,3.900000000000001,54.99999999999999,3.055555555555556,16.5,0.8,0.8,-0.5,1.3,0.0109167873454383,0.647,0.303,0.333,0.2,0.5,L (-1),L (-1)
17.0,4.0,2022-11-20,23-245,MIA,CLE,0,11.9,4.0,6.0,.667,0.0,0.0,,0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,8.0,6.0,+1,6.0,4.0,0.6666666666666666,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,4.0,33.0,1.8333333333333333,5.999999999999999,47.0,2.611111111111111,16.5,0.8,0.8,-0.5,1.3,0.0109167873454383,0.647,0.303,0.333,0.2,0.5,L (-26),L (-26)
18.0,5.0,2022-11-21,23-246,MIA,MIN,0,24.966666666666665,5.0,7.0,.714,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,10.0,9.0,0,7.0,5.0,0.7142857142857143,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,7.0,45.0,2.5,8.999999999999998,53.1,2.95,16.5,0.8,0.8,-0.5,1.3,0.0109167873454383,0.647,0.303,0.333,0.2,0.5,L (-4),L (-4)
19.0,6.0,2022-11-23,23-248,MIA,WAS,0,17.716666666666665,2.0,6.0,.333,0.0,2.0,.000,2,2.0,1.000,4.0,2.0,6.0,2.0,2.0,0.0,1.0,3.0,6.0,7.2,+8,4.0,2.0,0.5,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,7.0,78.0,4.333333333333333,6.4,90.70000000000002,5.03888888888889,16.5,0.8,0.8,-0.5,1.3,0.0109167873454383,0.647,0.303,0.333,0.2,0.5,W (+8),W (+8)
20.0,7.0,2022-11-25,23-250,MIA,WAS,0,11.55,2.0,3.0,.667,0.0,0.0,,0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,3.6,-10,3.0,2.0,0.6666666666666666,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,4.0,58.0,3.2222222222222223,3.6,69.30000000000001,3.850000000000001,16.5,0.8,0.8,-0.5,1.3,0.0109167873454383,0.647,0.303,0.333,0.2,0.5,W (+3),W (+3)
