Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,23-232,MIA,,POR,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,81.0,4.5,0.0,90.89999999999998,5.049999999999999
11,12,,2022-11-10,23-235,MIA,,CHO,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,59.0,3.2777777777777777,0.0,80.8,4.488888888888889
12,13,1,2022-11-12,23-237,MIA,,CHO,W (+17),0,1:38,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.7,0,0.0,0.0,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,3.0,93.0,5.166666666666667,3.7,108.2,6.011111111111111
13,14,,2022-11-14,23-239,MIA,,PHO,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,65.0,3.611111111111111,0.0,77.19999999999999,4.288888888888888
14,15,2,2022-11-16,23-241,MIA,@,TOR,L (-8),0,6:04,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.2,-8,1.0,0.0,0.0,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,-2.0,77.0,4.277777777777778,-2.2,84.2,4.677777777777778
15,16,3,2022-11-18,23-243,MIA,@,WAS,L (-1),0,17:31,1.0,2.0,.500,0.0,1.0,.000,2,4.0,.500,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,4.0,4.7,-5,1.0,1.0,1.0,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,5.0,40.0,2.2222222222222223,3.900000000000001,54.99999999999999,3.0555555555555554
16,17,4,2022-11-20,23-245,MIA,@,CLE,L (-26),0,11:54,4.0,6.0,.667,0.0,0.0,,0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,8.0,6.0,+1,6.0,4.0,0.6666666666666666,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,4.0,33.0,1.8333333333333333,5.999999999999999,47.0,2.611111111111111
17,18,5,2022-11-21,23-246,MIA,@,MIN,L (-4),0,24:58,5.0,7.0,.714,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,10.0,9.0,0,7.0,5.0,0.7142857142857143,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,7.0,45.0,2.5,8.999999999999998,53.1,2.95
18,19,6,2022-11-23,23-248,MIA,,WAS,W (+8),0,17:43,2.0,6.0,.333,0.0,2.0,.000,2,2.0,1.000,4.0,2.0,6.0,2.0,2.0,0.0,1.0,3.0,6.0,7.2,+8,4.0,2.0,0.5,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,7.0,78.0,4.333333333333333,6.4,90.70000000000002,5.03888888888889
19,20,7,2022-11-25,23-250,MIA,,WAS,W (+3),0,11:33,2.0,3.0,.667,0.0,0.0,,0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,3.6,-10,3.0,2.0,0.6666666666666666,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,4.0,58.0,3.2222222222222223,3.6,69.30000000000001,3.8500000000000005
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,8,2022-11-27,23-252,MIA,@,ATL,W (+8),0,1:38,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-4,0.0,0.0,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,0.0,67.0,3.7222222222222223,-0.4,67.80000000000001,3.7666666666666675
22,22,,2022-11-30,23-255,MIA,@,BOS,L (-13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,100.0,5.555555555555555,0.0,110.09999999999998,6.116666666666665
23,23,,2022-12-02,23-257,MIA,@,BOS,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,96.0,5.333333333333333,0.0,103.8,5.766666666666667
24,24,,2022-12-05,23-260,MIA,@,MEM,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,62.0,3.4444444444444446,0.0,71.39999999999999,3.9666666666666663
25,25,,2022-12-06,23-261,MIA,,DET,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,57.0,3.1666666666666665,0.0,64.8,3.5999999999999996
26,26,,2022-12-08,23-263,MIA,,LAC,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,86.0,4.777777777777778,0.0,88.1,4.894444444444444
27,27,,2022-12-10,23-265,MIA,,SAS,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,72.0,4.0,0.0,87.10000000000001,4.8388888888888895
