Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,26-224,MIA,,POR,L (-3),1,25:12,6.0,10.0,.600,4.0,8.0,.500,0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,16.0,11.8,+2,2.0,2.0,1.0,73,69,14,28,3,42,67,52,16,64,53,13,9,29,65,7,42,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9733333333333334,0.971830985915493,0.9333333333333332,0.7368421052631579,0.2,1.0,0.9852941176470588,0.9629629629629628,0.8888888888888888,0.0,1.0,0.9636363636363636,0.8666666666666667,1.0,0.935483870967742,0.9701492537313432,1.0,1.0,20,62.0,23.0,0.3225806451612903,0.0,18,9.0,72.0,4.0,11.799999999999995,79.09999999999998,4.394444444444443
11,12,12,2022-11-10,26-227,MIA,,CHO,W (+5),1,39:43,5.0,15.0,.333,2.0,11.0,.182,0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,12.0,4.3,+3,4.0,3.0,0.75,73,69,14,28,3,42,67,52,16,64,53,13,9,29,65,7,42,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9733333333333334,0.971830985915493,0.9333333333333332,0.7368421052631579,0.2,1.0,0.9852941176470588,0.9629629629629628,0.8888888888888888,0.0,1.0,0.9636363636363636,0.8666666666666667,1.0,0.935483870967742,0.9701492537313432,1.0,1.0,20,62.0,23.0,0.3225806451612903,0.0,18,0.0,59.0,3.2777777777777777,4.3,76.5,4.25
12,13,13,2022-11-12,26-229,MIA,,CHO,W (+17),1,38:12,10.0,16.0,.625,8.0,14.0,.571,3,3.0,1.000,0.0,4.0,4.0,2.0,1.0,0.0,0.0,4.0,31.0,25.8,+15,2.0,2.0,1.0,73,69,14,28,3,42,67,52,16,64,53,13,9,29,65,7,42,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9733333333333334,0.971830985915493,0.9333333333333332,0.7368421052631579,0.2,1.0,0.9852941176470588,0.9629629629629628,0.8888888888888888,0.0,1.0,0.9636363636363636,0.8666666666666667,1.0,0.935483870967742,0.9701492537313432,1.0,1.0,20,62.0,23.0,0.3225806451612903,0.0,18,19.0,77.0,4.277777777777778,24.6,87.29999999999998,4.849999999999999
13,14,14,2022-11-14,26-231,MIA,,PHO,W (+1),1,36:10,2.0,8.0,.250,1.0,5.0,.200,0,0.0,,1.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,5.0,1.1,+4,3.0,1.0,0.3333333333333333,73,69,14,28,3,42,67,52,16,64,53,13,9,29,65,7,42,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9733333333333334,0.971830985915493,0.9333333333333332,0.7368421052631579,0.2,1.0,0.9852941176470588,0.9629629629629628,0.8888888888888888,0.0,1.0,0.9636363636363636,0.8666666666666667,1.0,0.935483870967742,0.9701492537313432,1.0,1.0,20,62.0,23.0,0.3225806451612903,0.0,18,1.0,64.0,3.555555555555556,1.1000000000000003,76.1,4.227777777777778
14,15,15,2022-11-16,26-233,MIA,@,TOR,L (-8),1,35:25,6.0,11.0,.545,3.0,8.0,.375,5,5.0,1.000,0.0,3.0,3.0,0.0,2.0,1.0,3.0,0.0,20.0,15.3,-7,3.0,3.0,1.0,73,69,14,28,3,42,67,52,16,64,53,13,9,29,65,7,42,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9733333333333334,0.971830985915493,0.9333333333333332,0.7368421052631579,0.2,1.0,0.9852941176470588,0.9629629629629628,0.8888888888888888,0.0,1.0,0.9636363636363636,0.8666666666666667,1.0,0.935483870967742,0.9701492537313432,1.0,1.0,20,62.0,23.0,0.3225806451612903,0.0,18,7.0,68.0,3.7777777777777777,13.299999999999995,68.7,3.816666666666667
15,16,16,2022-11-18,26-235,MIA,@,WAS,L (-1),1,45:13,8.0,24.0,.333,3.0,14.0,.214,3,3.0,1.000,0.0,5.0,5.0,2.0,0.0,0.0,1.0,0.0,22.0,10.3,-7,10.0,5.0,0.5,73,69,14,28,3,42,67,52,16,64,53,13,9,29,65,7,42,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9733333333333334,0.971830985915493,0.9333333333333332,0.7368421052631579,0.2,1.0,0.9852941176470588,0.9629629629629628,0.8888888888888888,0.0,1.0,0.9636363636363636,0.8666666666666667,1.0,0.935483870967742,0.9701492537313432,1.0,1.0,20,62.0,23.0,0.3225806451612903,0.0,18,1.0,44.0,2.4444444444444446,9.1,49.8,2.7666666666666666
16,17,17,2022-11-20,26-237,MIA,@,CLE,L (-26),1,32:58,3.0,9.0,.333,2.0,5.0,.400,0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,8.0,3.5,-20,4.0,1.0,0.25,73,69,14,28,3,42,67,52,16,64,53,13,9,29,65,7,42,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9733333333333334,0.971830985915493,0.9333333333333332,0.7368421052631579,0.2,1.0,0.9852941176470588,0.9629629629629628,0.8888888888888888,0.0,1.0,0.9636363636363636,0.8666666666666667,1.0,0.935483870967742,0.9701492537313432,1.0,1.0,20,62.0,23.0,0.3225806451612903,0.0,18,1.0,36.0,2.0,3.5,49.49999999999999,2.7499999999999996
17,18,18,2022-11-21,26-238,MIA,@,MIN,L (-4),1,40:23,7.0,23.0,.304,4.0,15.0,.267,1,1.0,1.000,1.0,5.0,6.0,2.0,1.0,0.0,4.0,4.0,19.0,4.7,-6,8.0,3.0,0.375,73,69,14,28,3,42,67,52,16,64,53,13,9,29,65,7,42,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9733333333333334,0.971830985915493,0.9333333333333332,0.7368421052631579,0.2,1.0,0.9852941176470588,0.9629629629629628,0.8888888888888888,0.0,1.0,0.9636363636363636,0.8666666666666667,1.0,0.935483870967742,0.9701492537313432,1.0,1.0,20,62.0,23.0,0.3225806451612903,0.0,18,0.0,52.0,2.888888888888889,4.300000000000001,57.79999999999999,3.2111111111111104
18,19,,2022-11-23,26-240,MIA,,WAS,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,73,69,14,28,3,42,67,52,16,64,53,13,9,29,65,7,42,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9733333333333334,0.971830985915493,0.9333333333333332,0.7368421052631579,0.2,1.0,0.9852941176470588,0.9629629629629628,0.8888888888888888,0.0,1.0,0.9636363636363636,0.8666666666666667,1.0,0.935483870967742,0.9701492537313432,1.0,1.0,20,62.0,23.0,0.3225806451612903,0.0,18,,85.0,4.722222222222222,0.0,97.1,5.394444444444444
19,20,,2022-11-25,26-242,MIA,,WAS,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,73,69,14,28,3,42,67,52,16,64,53,13,9,29,65,7,42,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9733333333333334,0.971830985915493,0.9333333333333332,0.7368421052631579,0.2,1.0,0.9852941176470588,0.9629629629629628,0.8888888888888888,0.0,1.0,0.9636363636363636,0.8666666666666667,1.0,0.935483870967742,0.9701492537313432,1.0,1.0,20,62.0,23.0,0.3225806451612903,0.0,18,,62.0,3.4444444444444446,0.0,72.90000000000002,4.050000000000001
