Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,33-035,MIA,,CHI,L (-8),1,36:34,5.0,11.0,.455,0.0,0.0,,14,16.0,.875,3.0,5.0,8.0,3.0,1.0,1.0,2.0,2.0,24.0,22.1,-12,11.0,5.0,0.4545454545454545,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,8.0,59.0,3.2777777777777777,16.500000000000004,59.1,3.283333333333333
1,2,2,2022-10-21,33-037,MIA,,BOS,L (-7),1,40:08,9.0,17.0,.529,0.0,1.0,.000,0,0.0,,3.0,4.0,7.0,5.0,1.0,0.0,0.0,0.0,18.0,17.5,+7,16.0,9.0,0.5625,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,14.0,70.0,3.888888888888889,17.500000000000004,78.80000000000001,4.377777777777778
2,3,3,2022-10-22,33-038,MIA,,TOR,W (+3),1,34:50,7.0,16.0,.438,1.0,1.0,1.000,9,11.0,.818,1.0,3.0,4.0,5.0,0.0,0.0,2.0,2.0,24.0,17.1,+6,15.0,6.0,0.4,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,4.0,78.0,4.333333333333333,13.499999999999996,75.3,4.183333333333334
3,4,4,2022-10-24,33-040,MIA,,TOR,L (-8),1,33:48,8.0,15.0,.533,2.0,3.0,.667,8,9.0,.889,2.0,6.0,8.0,4.0,0.0,0.0,1.0,1.0,26.0,22.9,-2,12.0,6.0,0.5,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,13.0,46.0,2.555555555555556,19.7,38.7,2.1500000000000004
4,5,5,2022-10-26,33-042,MIA,@,POR,W (+21),1,27:58,7.0,15.0,.467,0.0,3.0,.000,3,4.0,.750,3.0,2.0,5.0,5.0,2.0,0.0,1.0,1.0,17.0,15.7,+11,12.0,7.0,0.5833333333333334,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,9.0,88.0,4.888888888888889,14.5,89.89999999999999,4.994444444444444
5,6,6,2022-10-27,33-043,MIA,@,GSW,L (-13),1,37:04,8.0,13.0,.615,4.0,7.0,.571,7,7.0,1.000,1.0,5.0,6.0,8.0,6.0,0.0,2.0,2.0,27.0,32.1,-8,6.0,4.0,0.6666666666666666,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,25.0,64.0,3.555555555555556,29.3,89.7,4.983333333333333
6,7,7,2022-10-29,33-045,MIA,@,SAC,L (-6),1,37:07,4.0,11.0,.364,0.0,1.0,.000,5,7.0,.714,1.0,6.0,7.0,6.0,2.0,0.0,2.0,0.0,13.0,12.8,-1,10.0,4.0,0.4,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,8.0,40.0,2.2222222222222223,10.799999999999995,62.4,3.466666666666667
7,8,8,2022-11-01,33-048,MIA,,GSW,W (+7),1,36:50,6.0,17.0,.353,2.0,7.0,.286,9,9.0,1.000,3.0,3.0,6.0,8.0,0.0,1.0,3.0,1.0,23.0,19.4,+2,10.0,4.0,0.4,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,9.0,93.0,5.166666666666667,15.800000000000004,95.2,5.288888888888889
8,9,,2022-11-02,33-049,MIA,,SAC,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,,77.0,4.277777777777778,0.0,80.7,4.483333333333333
9,10,,2022-11-04,33-051,MIA,@,IND,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,,57.0,3.1666666666666665,0.0,69.7,3.8722222222222222
