Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,21-350,OKC,MIN,0,12.4,2.0,3.0,.667,2.0,3.0,.667,0,0.0,,1.0,4.0,5.0,0.0,1.0,0.0,0.0,5.0,6.0,5.6,-9,0.0,0.0,,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,9.0,46.0,2.7058823529411766,5.6,57.09999999999999,3.358823529411764,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,L (-7),L (-7)
2.0,2.0,2022-10-22,21-353,OKC,DEN,1,18.35,4.0,6.0,.667,2.0,4.0,.500,0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,10.0,7.0,-17,2.0,2.0,1.0,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,5.0,49.0,2.8823529411764706,7.0,57.1,3.3588235294117648,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,L (-5),L (-5)
3.0,3.0,2022-10-23,21-354,OKC,MIN,1,25.566666666666663,5.0,6.0,.833,3.0,4.0,.750,2,2.0,1.000,0.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,15.0,15.7,-9,2.0,2.0,1.0,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,13.0,25.0,1.4705882352941178,14.900000000000002,39.50000000000001,2.3235294117647065,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,L (-10),L (-10)
4.0,4.0,2022-10-25,21-356,OKC,LAC,1,22.766666666666666,0.0,7.0,.000,0.0,3.0,.000,2,2.0,1.000,3.0,6.0,9.0,0.0,3.0,1.0,0.0,1.0,2.0,4.3,+8,4.0,0.0,0.0,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,6.0,47.0,2.764705882352941,3.4999999999999987,64.70000000000002,3.8058823529411776,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,W (+14),W (+14)
5.0,5.0,2022-10-27,21-358,OKC,LAC,1,14.516666666666667,2.0,4.0,.500,1.0,2.0,.500,0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0,4.6,+7,2.0,1.0,0.5,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,5.0,64.0,3.764705882352941,4.6,78.10000000000001,4.594117647058824,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,W (+8),W (+8)
6.0,6.0,2022-10-29,21-360,OKC,DAL,0,5.016666666666667,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-7,0.0,0.0,,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,-1.0,65.0,3.823529411764706,-0.7,76.4,4.494117647058824,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,W (+6),W (+6)
7.0,7.0,2022-11-01,21-363,OKC,ORL,1,21.83333333333333,5.0,8.0,.625,0.0,2.0,.000,1,1.0,1.000,0.0,5.0,5.0,2.0,3.0,1.0,0.0,3.0,11.0,12.8,+22,6.0,5.0,0.8333333333333334,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,13.0,61.0,3.588235294117647,12.4,78.49999999999999,4.617647058823529,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,W (+8),W (+8)
8.0,8.0,2022-11-03,22-000,OKC,DEN,1,22.78333333333333,4.0,10.0,.400,2.0,5.0,.400,0,2.0,.000,1.0,6.0,7.0,1.0,2.0,0.0,0.0,1.0,10.0,8.6,-22,5.0,2.0,0.4,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,8.0,48.0,2.823529411764706,8.599999999999996,69.2,4.070588235294117,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,L (-12),L (-12)
9.0,9.0,2022-11-05,22-002,OKC,MIL,1,17.55,5.0,7.0,.714,2.0,4.0,.500,0,0.0,,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,12.0,10.8,-15,3.0,3.0,1.0,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,9.0,37.0,2.176470588235294,10.800000000000002,43.0,2.5294117647058822,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,L (-14),L (-14)
10.0,10.0,2022-11-07,22-004,OKC,DET,1,15.466666666666669,2.0,7.0,.286,1.0,4.0,.250,2,4.0,.500,2.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,7.0,4.4,-15,3.0,1.0,0.3333333333333333,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,1.0,46.0,2.7058823529411766,3.5999999999999988,54.6,3.211764705882353,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,L (-9),L (-9)
