Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,1.0,2023-03-03,22-190,OKC,UTA,0,3.616666666666666,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,+4,1.0,0.0,0.0,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,0.0,55.0,0.0,-0.3999999999999999,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,W (+27),W (+27)
2,,2023-03-05,22-192,OKC,UTA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,,54.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,W (+10),W (+10)
3,,2023-03-07,22-194,OKC,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,,38.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,W (+9),W (+9)
4,2.0,2023-03-08,22-195,OKC,PHO,0,15.6,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,4.0,3.0,0.0,2.0,3.0,5.0,6.3,-8,1.0,1.0,1.0,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,7.0,46.0,0.0,6.300000000000001,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,L (-31),L (-31)
5,,2023-03-11,22-198,OKC,NOP,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,,69.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,W (+14),W (+14)
6,,2023-03-12,22-199,OKC,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,,64.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,W (+12),W (+12)
7,,2023-03-14,22-201,OKC,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,,74.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,W (+14),W (+14)
8,,2023-03-16,22-203,OKC,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,,56.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,L (-17),L (-17)
9,,2023-03-19,22-206,OKC,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,,46.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,W (+4),W (+4)
10,,2023-03-21,22-208,OKC,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,,47.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,W (+1),W (+1)
