Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Chet Holmgren,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jared Butler,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann
30,30,20,2022-12-17,31-169,OKC,,MEM,W (+6),0,10.85,1.0,3.0,.333,0.0,2.0,.000,0,0,,0,2,2,1,0,0,0,1,2,1.2,-3,1.0,1.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
31,31,21,2022-12-19,31-171,OKC,,POR,W (+2),0,16.3,4.0,5.0,.800,4.0,5.0,.800,0,0,,0,3,3,1,0,1,0,1,12,12.0,+12,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
32,32,22,2022-12-21,31-173,OKC,,POR,W (+3),0,20.483333333333334,2.0,5.0,.400,2.0,3.0,.667,0,0,,0,1,1,0,0,1,0,5,6,2.3,+3,2.0,0.0,0.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
33,33,23,2022-12-23,31-175,OKC,,NOP,L (-3),0,14.95,1.0,4.0,.250,1.0,3.0,.333,2,2,1.000,1,2,3,3,0,1,0,1,5,6.3,+12,1.0,0.0,0.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
34,34,24,2022-12-27,31-179,OKC,,SAS,W (+16),0,21.366666666666667,5.0,8.0,.625,3.0,5.0,.600,6,6,1.000,2,4,6,2,1,1,0,1,19,20.7,+16,3.0,2.0,0.6666666666666666,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
35,35,25,2022-12-29,31-181,OKC,@,CHO,L (-8),0,19.233333333333334,1.0,5.0,.200,1.0,4.0,.250,0,0,,0,2,2,0,2,0,0,2,3,1.7,+4,1.0,0.0,0.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
36,36,26,2022-12-31,31-183,OKC,,PHI,L (-19),0,17.45,1.0,8.0,.125,1.0,6.0,.167,1,2,.500,1,2,3,1,0,0,1,3,4,-1.8,+1,2.0,0.0,0.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
37,37,27,2023-01-03,31-186,OKC,,BOS,W (+33),0,13.033333333333333,0.0,3.0,.000,0.0,2.0,.000,0,0,,0,2,2,0,0,1,1,5,0,-3.8,+3,1.0,0.0,0.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
38,38,28,2023-01-04,31-187,OKC,@,ORL,L (-11),0,19.916666666666668,3.0,4.0,.750,3.0,4.0,.750,2,2,1.000,0,2,2,0,1,0,0,2,11,10.2,+1,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
39,39,29,2023-01-06,31-189,OKC,,WAS,W (+17),1,24.316666666666666,4.0,10.0,.400,2.0,5.0,.400,0,0,,1,4,5,3,1,2,0,2,10,10.2,+11,5.0,2.0,0.4,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
40,40,30,2023-01-08,31-191,OKC,,DAL,W (+11),0,10.816666666666666,1.0,2.0,.500,1.0,2.0,.500,1,2,.500,1,2,3,1,0,1,1,2,4,3.5,+10,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
42,41,31,2023-01-10,31-193,OKC,@,MIA,L (-1),0,16.316666666666666,1.0,1.0,1.000,0.0,0.0,,0,0,,0,2,2,1,1,1,0,0,2,4.7,+3,1.0,1.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
43,42,32,2023-01-12,31-195,OKC,@,PHI,W (+19),0,15.533333333333333,3.0,5.0,.600,3.0,5.0,.600,0,0,,0,4,4,1,0,0,0,4,9,7.0,+24,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
44,43,33,2023-01-13,31-196,OKC,@,CHI,W (+14),1,23.5,3.0,10.0,.300,2.0,9.0,.222,0,0,,3,1,4,0,0,0,2,2,8,1.8,+3,1.0,1.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
45,44,,2023-01-15,31-198,OKC,@,BRK,W (+10),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
46,45,34,2023-01-18,31-201,OKC,,IND,W (+20),0,9.6,0.0,2.0,.000,0.0,1.0,.000,0,1,.000,0,2,2,0,0,0,0,0,0,-1.2,-7,1.0,0.0,0.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
47,46,35,2023-01-20,31-203,OKC,@,SAC,L (-5),0,11.35,1.0,5.0,.200,1.0,5.0,.200,0,0,,0,2,2,0,0,0,1,1,3,-0.9,-8,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
48,47,36,2023-01-22,31-205,OKC,@,DEN,W (+2),1,16.283333333333335,3.0,7.0,.429,0.0,0.0,,2,2,1.000,2,2,4,1,0,0,0,1,8,6.6,+11,7.0,3.0,0.4285714285714285,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
49,48,37,2023-01-25,31-208,OKC,,ATL,L (-5),0,10.783333333333333,2.0,4.0,.500,2.0,4.0,.500,0,0,,0,0,0,0,0,0,0,0,6,4.0,-18,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
50,49,38,2023-01-27,31-210,OKC,,CLE,W (+12),0,19.666666666666668,1.0,2.0,.500,1.0,2.0,.500,2,2,1.000,1,5,6,1,0,0,1,3,5,4.7,+19,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
51,50,39,2023-01-30,31-213,OKC,,GSW,L (-8),0,14.066666666666666,2.0,3.0,.667,2.0,2.0,1.000,2,2,1.000,0,2,2,1,1,0,0,2,8,8.2,-11,1.0,0.0,0.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
52,51,40,2023-02-01,31-215,OKC,@,HOU,L (-6),0,11.65,2.0,5.0,.400,1.0,4.0,.250,1,2,.500,2,1,3,0,0,0,0,1,6,4.2,-6,1.0,1.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
53,52,41,2023-02-04,31-218,OKC,,HOU,W (+32),1,18.066666666666666,7.0,10.0,.700,5.0,8.0,.625,0,0,,1,5,6,0,0,0,0,1,19,16.6,+19,2.0,2.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
54,53,42,2023-02-06,31-220,OKC,@,GSW,L (-27),0,15.2,0.0,3.0,.000,0.0,2.0,.000,0,0,,0,3,3,3,0,1,0,1,0,1.2,-4,1.0,0.0,0.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
55,54,43,2023-02-07,31-221,OKC,@,LAL,W (+3),0,17.333333333333332,6.0,10.0,.600,4.0,7.0,.571,0,0,,0,4,4,2,1,0,0,1,16,14.6,+1,3.0,2.0,0.6666666666666666,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
56,55,44,2023-02-10,31-224,BOS,,CHO,W (+11),0,15.633333333333333,4.0,8.0,.500,4.0,8.0,.500,0,0,,0,1,1,2,0,1,0,1,12,10.0,+5,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
57,56,45,2023-02-12,31-226,BOS,,MEM,W (+10),0,16.683333333333334,4.0,7.0,.571,2.0,5.0,.400,0,0,,1,4,5,0,0,0,1,2,10,6.8,+2,2.0,2.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
58,57,46,2023-02-14,31-228,BOS,@,MIL,L (-6),1,43.766666666666666,7.0,16.0,.438,3.0,10.0,.300,1,2,.500,0,8,8,0,1,0,1,3,18,10.4,-4,6.0,4.0,0.6666666666666666,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
59,58,,2023-02-15,31-229,BOS,,DET,W (+18),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
60,59,,2023-02-23,31-237,BOS,@,IND,W (+4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
61,60,,2023-02-25,31-239,BOS,@,PHI,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
63,61,47,2023-02-27,31-241,BOS,@,NYK,L (-15),0,11.483333333333333,1.0,2.0,.500,1.0,2.0,.500,0,0,,0,1,1,0,0,1,0,2,3,2.2,0,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
64,62,48,2023-03-01,31-243,BOS,,CLE,W (+4),0,11.466666666666667,0.0,3.0,.000,0.0,2.0,.000,0,0,,0,1,1,0,0,0,0,2,0,-2.6,-2,1.0,0.0,0.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
65,63,49,2023-03-03,31-245,BOS,,BRK,L (-10),0,3.9333333333333336,0.0,0.0,,0.0,0.0,,0,0,,2,1,3,0,0,0,1,0,0,0.7,+1,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
66,64,50,2023-03-05,31-247,BOS,,NYK,L (-2),0,12.266666666666667,1.0,3.0,.333,1.0,3.0,.333,0,0,,0,3,3,0,1,0,2,3,3,0.0,-9,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
67,65,51,2023-03-06,31-248,BOS,@,CLE,L (-4),1,34.95,2.0,6.0,.333,1.0,5.0,.200,0,0,,1,5,6,0,2,1,0,2,5,5.7,+9,1.0,1.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
68,66,52,2023-03-08,31-250,BOS,,POR,W (+22),0,2.5,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
