Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Mike Muscala,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,23-183,OKC,MIN,1,32.56666666666667,3.0,12.0,.250,1.0,6.0,.167,3,4.0,.750,3.0,3.0,6.0,2.0,1.0,0.0,1.0,3.0,10.0,5.6,+1,6.0,2.0,0.3333333333333333,62,33,31,21,66,68,42,41,69,47,39,36,34,61,59,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,63.0,39.0,68.0,67.0,0.8857142857142857,0.9705882352941176,,0.7209302325581395,0.525,0.9041095890410958,0.9066666666666666,0.0,0.8571428571428571,0.9534883720930232,0.9078947368421052,0.8867924528301887,0.951219512195122,0.5714285714285714,0.8717948717948718,0.8970588235294118,0.8805970149253731,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,2.0,53.0,3.117647058823529,4.4,58.29999999999999,3.4294117647058817,11.3,2.9,-3.0,-2.0,-1.0,0.1051593480743278,0.513,0.468,0.297,-0.6,0.9,L (-7),L (-7)
2.0,2.0,2022-10-22,23-186,OKC,DEN,1,30.016666666666666,3.0,13.0,.231,1.0,7.0,.143,6,8.0,.750,3.0,4.0,7.0,4.0,3.0,0.0,2.0,5.0,13.0,9.4,-6,6.0,2.0,0.3333333333333333,62,33,31,21,66,68,42,41,69,47,39,36,34,61,59,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,63.0,39.0,68.0,67.0,0.8857142857142857,0.9705882352941176,,0.7209302325581395,0.525,0.9041095890410958,0.9066666666666666,0.0,0.8571428571428571,0.9534883720930232,0.9078947368421052,0.8867924528301887,0.951219512195122,0.5714285714285714,0.8717948717948718,0.8970588235294118,0.8805970149253731,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,4.0,50.0,2.9411764705882355,6.9999999999999964,57.09999999999999,3.358823529411764,11.3,2.9,-3.0,-2.0,-1.0,0.1051593480743278,0.513,0.468,0.297,-0.6,0.9,L (-5),L (-5)
3.0,3.0,2022-10-23,23-187,OKC,MIN,1,29.9,6.0,15.0,.400,2.0,7.0,.286,6,6.0,1.000,1.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,20.0,14.2,-29,8.0,4.0,0.5,62,33,31,21,66,68,42,41,69,47,39,36,34,61,59,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,63.0,39.0,68.0,67.0,0.8857142857142857,0.9705882352941176,,0.7209302325581395,0.525,0.9041095890410958,0.9066666666666666,0.0,0.8571428571428571,0.9534883720930232,0.9078947368421052,0.8867924528301887,0.951219512195122,0.5714285714285714,0.8717948717948718,0.8970588235294118,0.8805970149253731,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,4.0,34.0,2.0,11.799999999999995,42.600000000000016,2.5058823529411773,11.3,2.9,-3.0,-2.0,-1.0,0.1051593480743278,0.513,0.468,0.297,-0.6,0.9,L (-10),L (-10)
4.0,4.0,2022-10-25,23-189,OKC,LAC,1,25.916666666666668,1.0,11.0,.091,0.0,6.0,.000,2,2.0,1.000,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,-3.5,+25,5.0,1.0,0.2,62,33,31,21,66,68,42,41,69,47,39,36,34,61,59,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,63.0,39.0,68.0,67.0,0.8857142857142857,0.9705882352941176,,0.7209302325581395,0.525,0.9041095890410958,0.9066666666666666,0.0,0.8571428571428571,0.9534883720930232,0.9078947368421052,0.8867924528301887,0.951219512195122,0.5714285714285714,0.8717948717948718,0.8970588235294118,0.8805970149253731,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,-7.0,60.0,3.5294117647058822,-4.299999999999999,72.5,4.264705882352941,11.3,2.9,-3.0,-2.0,-1.0,0.1051593480743278,0.513,0.468,0.297,-0.6,0.9,W (+14),W (+14)
5.0,5.0,2022-10-27,23-191,OKC,LAC,1,34.18333333333333,9.0,15.0,.600,1.0,5.0,.200,2,2.0,1.000,1.0,2.0,3.0,4.0,2.0,0.0,1.0,4.0,21.0,17.6,+18,10.0,8.0,0.8,62,33,31,21,66,68,42,41,69,47,39,36,34,61,59,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,63.0,39.0,68.0,67.0,0.8857142857142857,0.9705882352941176,,0.7209302325581395,0.525,0.9041095890410958,0.9066666666666666,0.0,0.8571428571428571,0.9534883720930232,0.9078947368421052,0.8867924528301887,0.951219512195122,0.5714285714285714,0.8717948717948718,0.8970588235294118,0.8805970149253731,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,12.0,57.0,3.3529411764705883,16.8,65.89999999999999,3.8764705882352937,11.3,2.9,-3.0,-2.0,-1.0,0.1051593480743278,0.513,0.468,0.297,-0.6,0.9,W (+8),W (+8)
6.0,6.0,2022-10-29,23-193,OKC,DAL,1,40.28333333333333,6.0,12.0,.500,1.0,4.0,.250,3,6.0,.500,1.0,5.0,6.0,2.0,2.0,0.0,1.0,5.0,16.0,11.4,+23,8.0,5.0,0.625,62,33,31,21,66,68,42,41,69,47,39,36,34,61,59,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,63.0,39.0,68.0,67.0,0.8857142857142857,0.9705882352941176,,0.7209302325581395,0.525,0.9041095890410958,0.9066666666666666,0.0,0.8571428571428571,0.9534883720930232,0.9078947368421052,0.8867924528301887,0.951219512195122,0.5714285714285714,0.8717948717948718,0.8970588235294118,0.8805970149253731,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,7.0,57.0,3.3529411764705883,10.199999999999998,65.5,3.852941176470588,11.3,2.9,-3.0,-2.0,-1.0,0.1051593480743278,0.513,0.468,0.297,-0.6,0.9,W (+6),W (+6)
7.0,7.0,2022-11-01,23-196,OKC,ORL,1,31.616666666666667,5.0,16.0,.313,3.0,8.0,.375,1,2.0,.500,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,14.0,5.9,-3,8.0,2.0,0.25,62,33,31,21,66,68,42,41,69,47,39,36,34,61,59,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,63.0,39.0,68.0,67.0,0.8857142857142857,0.9705882352941176,,0.7209302325581395,0.525,0.9041095890410958,0.9066666666666666,0.0,0.8571428571428571,0.9534883720930232,0.9078947368421052,0.8867924528301887,0.951219512195122,0.5714285714285714,0.8717948717948718,0.8970588235294118,0.8805970149253731,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,0.0,74.0,4.352941176470588,5.499999999999998,85.39999999999999,5.023529411764706,11.3,2.9,-3.0,-2.0,-1.0,0.1051593480743278,0.513,0.468,0.297,-0.6,0.9,W (+8),W (+8)
8.0,8.0,2022-11-03,23-198,OKC,DEN,1,30.6,8.0,15.0,.533,1.0,6.0,.167,2,3.0,.667,0.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,19.0,13.8,-4,9.0,7.0,0.7777777777777778,62,33,31,21,66,68,42,41,69,47,39,36,34,61,59,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,63.0,39.0,68.0,67.0,0.8857142857142857,0.9705882352941176,,0.7209302325581395,0.525,0.9041095890410958,0.9066666666666666,0.0,0.8571428571428571,0.9534883720930232,0.9078947368421052,0.8867924528301887,0.951219512195122,0.5714285714285714,0.8717948717948718,0.8970588235294118,0.8805970149253731,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,7.0,49.0,2.8823529411764706,12.999999999999996,64.8,3.8117647058823527,11.3,2.9,-3.0,-2.0,-1.0,0.1051593480743278,0.513,0.468,0.297,-0.6,0.9,L (-12),L (-12)
9.0,9.0,2022-11-05,23-200,OKC,MIL,1,24.466666666666665,1.0,5.0,.200,0.0,2.0,.000,1,2.0,.500,0.0,4.0,4.0,7.0,1.0,0.0,2.0,2.0,3.0,3.8,-16,3.0,1.0,0.3333333333333333,62,33,31,21,66,68,42,41,69,47,39,36,34,61,59,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,63.0,39.0,68.0,67.0,0.8857142857142857,0.9705882352941176,,0.7209302325581395,0.525,0.9041095890410958,0.9066666666666666,0.0,0.8571428571428571,0.9534883720930232,0.9078947368421052,0.8867924528301887,0.951219512195122,0.5714285714285714,0.8717948717948718,0.8970588235294118,0.8805970149253731,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,6.0,40.0,2.3529411764705883,3.4000000000000004,50.400000000000006,2.9647058823529413,11.3,2.9,-3.0,-2.0,-1.0,0.1051593480743278,0.513,0.468,0.297,-0.6,0.9,L (-14),L (-14)
10.0,10.0,2022-11-07,23-202,OKC,DET,1,25.933333333333334,3.0,12.0,.250,1.0,6.0,.167,0,0.0,,2.0,3.0,5.0,2.0,2.0,1.0,2.0,5.0,7.0,2.2,-18,6.0,2.0,0.3333333333333333,62,33,31,21,66,68,42,41,69,47,39,36,34,61,59,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,63.0,39.0,68.0,67.0,0.8857142857142857,0.9705882352941176,,0.7209302325581395,0.525,0.9041095890410958,0.9066666666666666,0.0,0.8571428571428571,0.9534883720930232,0.9078947368421052,0.8867924528301887,0.951219512195122,0.5714285714285714,0.8717948717948718,0.8970588235294118,0.8805970149253731,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,3.0,44.0,2.588235294117647,2.200000000000001,55.99999999999999,3.294117647058823,11.3,2.9,-3.0,-2.0,-1.0,0.1051593480743278,0.513,0.468,0.297,-0.6,0.9,L (-9),L (-9)
