Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Danilo Gallinari,Dario Šarić,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-09,23-262,POR,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,87.0,6.6923076923076925,0.0,95.9,7.376923076923077,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+10),W (+10)
12.0,,2022-11-10,23-263,POR,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,81.0,6.230769230769231,0.0,90.2,6.938461538461539,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+11),W (+11)
13.0,,2022-11-12,23-265,POR,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,94.0,7.230769230769231,0.0,108.79999999999995,8.369230769230766,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-5),L (-5)
14.0,,2022-11-15,23-268,POR,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,67.0,5.153846153846154,0.0,78.60000000000001,6.046153846153847,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+7),W (+7)
15.0,,2022-11-17,23-270,POR,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,75.0,5.769230769230769,0.0,88.80000000000001,6.830769230769231,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-2),L (-2)
16.0,,2023-02-13,23-358,OKC,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,81.0,6.230769230769231,0.0,83.39999999999998,6.415384615384614,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-3),L (-3)
17.0,,2023-02-15,23-360,OKC,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,55.0,4.230769230769231,0.0,75.4,5.800000000000001,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+37),W (+37)
18.0,,2023-02-23,24-003,OKC,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,68.0,5.230769230769231,0.0,88.7,6.823076923076924,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-1),L (-1)
19.0,,2023-02-24,24-004,OKC,PHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,59.0,4.538461538461538,0.0,73.0,5.615384615384615,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-9),L (-9)
20.0,,2023-02-26,24-006,OKC,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,54.0,4.153846153846154,0.0,69.20000000000002,5.323076923076925,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-9),L (-9)
