Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Chet Holmgren,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jared Butler,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann
0,1,1,2022-10-19,22-129,OKC,@,MIN,L (-7),0,16.866666666666667,2.0,5.0,.400,1.0,1.0,1.000,2,4,.500,1,5,6,3,0,1,0,0,7,8.5,-5,4.0,1.0,0.25,26,20,0,11,30,32,0,13,20,33,31,9,31,27,18,33,36,70.0,34.0,,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.3714285714285714,0.5882352941176471,,0.275,0.410958904109589,0.4266666666666667,0.0,0.2653061224489796,0.4651162790697674,0.4342105263157895,0.5849056603773585,0.2195121951219512,0.4189189189189189,0.4285714285714285,0.4615384615384615,0.4852941176470588,0.5373134328358209
1,2,2,2022-10-22,22-132,OKC,@,DEN,L (-5),0,21.033333333333335,2.0,4.0,.500,2.0,4.0,.500,0,0,,0,2,2,3,2,3,1,2,6,9.0,0,0.0,0.0,,26,20,0,11,30,32,0,13,20,33,31,9,31,27,18,33,36,70.0,34.0,,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.3714285714285714,0.5882352941176471,,0.275,0.410958904109589,0.4266666666666667,0.0,0.2653061224489796,0.4651162790697674,0.4342105263157895,0.5849056603773585,0.2195121951219512,0.4189189189189189,0.4285714285714285,0.4615384615384615,0.4852941176470588,0.5373134328358209
2,3,3,2022-10-23,22-133,OKC,,MIN,L (-10),0,4.45,0.0,1.0,.000,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-12,1.0,0.0,0.0,26,20,0,11,30,32,0,13,20,33,31,9,31,27,18,33,36,70.0,34.0,,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.3714285714285714,0.5882352941176471,,0.275,0.410958904109589,0.4266666666666667,0.0,0.2653061224489796,0.4651162790697674,0.4342105263157895,0.5849056603773585,0.2195121951219512,0.4189189189189189,0.4285714285714285,0.4615384615384615,0.4852941176470588,0.5373134328358209
3,4,4,2022-10-25,22-135,OKC,,LAC,W (+14),0,19.5,3.0,8.0,.375,0.0,2.0,.000,1,2,.500,3,5,8,0,0,1,1,2,7,4.7,-1,6.0,3.0,0.5,26,20,0,11,30,32,0,13,20,33,31,9,31,27,18,33,36,70.0,34.0,,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.3714285714285714,0.5882352941176471,,0.275,0.410958904109589,0.4266666666666667,0.0,0.2653061224489796,0.4651162790697674,0.4342105263157895,0.5849056603773585,0.2195121951219512,0.4189189189189189,0.4285714285714285,0.4615384615384615,0.4852941176470588,0.5373134328358209
4,5,5,2022-10-27,22-137,OKC,,LAC,W (+8),0,22.35,4.0,9.0,.444,1.0,2.0,.500,0,0,,3,6,9,1,0,3,1,0,9,10.0,-2,7.0,3.0,0.4285714285714285,26,20,0,11,30,32,0,13,20,33,31,9,31,27,18,33,36,70.0,34.0,,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.3714285714285714,0.5882352941176471,,0.275,0.410958904109589,0.4266666666666667,0.0,0.2653061224489796,0.4651162790697674,0.4342105263157895,0.5849056603773585,0.2195121951219512,0.4189189189189189,0.4285714285714285,0.4615384615384615,0.4852941176470588,0.5373134328358209
5,6,6,2022-10-29,22-139,OKC,@,DAL,W (+6),0,26.083333333333332,7.0,11.0,.636,0.0,2.0,.000,1,2,.500,1,7,8,0,0,1,1,3,15,11.0,+19,9.0,7.0,0.7777777777777778,26,20,0,11,30,32,0,13,20,33,31,9,31,27,18,33,36,70.0,34.0,,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.3714285714285714,0.5882352941176471,,0.275,0.410958904109589,0.4266666666666667,0.0,0.2653061224489796,0.4651162790697674,0.4342105263157895,0.5849056603773585,0.2195121951219512,0.4189189189189189,0.4285714285714285,0.4615384615384615,0.4852941176470588,0.5373134328358209
6,7,7,2022-11-01,22-142,OKC,,ORL,W (+8),0,17.716666666666665,2.0,5.0,.400,0.0,0.0,,0,1,.000,3,1,4,2,1,1,1,1,4,5.0,-1,5.0,2.0,0.4,26,20,0,11,30,32,0,13,20,33,31,9,31,27,18,33,36,70.0,34.0,,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.3714285714285714,0.5882352941176471,,0.275,0.410958904109589,0.4266666666666667,0.0,0.2653061224489796,0.4651162790697674,0.4342105263157895,0.5849056603773585,0.2195121951219512,0.4189189189189189,0.4285714285714285,0.4615384615384615,0.4852941176470588,0.5373134328358209
7,8,8,2022-11-03,22-144,OKC,,DEN,L (-12),0,13.1,1.0,5.0,.200,0.0,1.0,.000,0,0,,3,2,5,2,1,1,1,2,2,2.9,+9,4.0,1.0,0.25,26,20,0,11,30,32,0,13,20,33,31,9,31,27,18,33,36,70.0,34.0,,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.3714285714285714,0.5882352941176471,,0.275,0.410958904109589,0.4266666666666667,0.0,0.2653061224489796,0.4651162790697674,0.4342105263157895,0.5849056603773585,0.2195121951219512,0.4189189189189189,0.4285714285714285,0.4615384615384615,0.4852941176470588,0.5373134328358209
8,9,9,2022-11-05,22-146,OKC,@,MIL,L (-14),0,19.45,3.0,7.0,.429,2.0,4.0,.500,0,0,,3,2,5,2,2,1,0,1,8,10.7,0,3.0,1.0,0.3333333333333333,26,20,0,11,30,32,0,13,20,33,31,9,31,27,18,33,36,70.0,34.0,,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.3714285714285714,0.5882352941176471,,0.275,0.410958904109589,0.4266666666666667,0.0,0.2653061224489796,0.4651162790697674,0.4342105263157895,0.5849056603773585,0.2195121951219512,0.4189189189189189,0.4285714285714285,0.4615384615384615,0.4852941176470588,0.5373134328358209
9,10,10,2022-11-07,22-148,OKC,@,DET,L (-9),0,19.566666666666666,3.0,9.0,.333,1.0,2.0,.500,1,2,.500,1,3,4,3,3,2,0,5,8,8.6,-2,7.0,2.0,0.2857142857142857,26,20,0,11,30,32,0,13,20,33,31,9,31,27,18,33,36,70.0,34.0,,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.3714285714285714,0.5882352941176471,,0.275,0.410958904109589,0.4266666666666667,0.0,0.2653061224489796,0.4651162790697674,0.4342105263157895,0.5849056603773585,0.2195121951219512,0.4189189189189189,0.4285714285714285,0.4615384615384615,0.4852941176470588,0.5373134328358209
