Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Mason Plumlee,Shared Games with Bones Hyland,Shared Games with Eric Gordon,Shared Games with Russell Westbrook,Bones Hyland,Eric Gordon,Justin Holiday,Mason Plumlee,Russell Westbrook,co_inf with Mason Plumlee,co_inf with Bones Hyland,co_inf with Eric Gordon,co_inf with Justin Holiday,co_inf with Russell Westbrook,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,29-166,LAC,,CLE,W (+2),0,27:33,5.0,6.0,.833,1.0,1.0,1.000,6,7.0,.857,0.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,17.0,14.7,+3,5.0,4.0,0.8,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,7.0,77.0,4.052631578947368,12.3,99.3,5.226315789473684
11,12,12,2022-11-09,29-168,LAC,,LAL,W (+13),0,24:21,5.0,10.0,.500,2.0,5.0,.400,6,7.0,.857,0.0,1.0,1.0,3.0,1.0,0.0,3.0,3.0,18.0,11.8,+4,5.0,3.0,0.6,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,3.0,81.0,4.2631578947368425,9.4,82.80000000000001,4.3578947368421055
12,13,13,2022-11-12,29-171,LAC,,BRK,L (-15),0,26:31,6.0,14.0,.429,1.0,1.0,1.000,3,3.0,1.000,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,16.0,12.6,+1,13.0,5.0,0.3846153846153846,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,5.0,64.0,3.3684210526315788,11.399999999999997,61.19999999999999,3.2210526315789467
13,14,14,2022-11-14,29-173,LAC,@,HOU,W (+16),0,23:02,4.0,10.0,.400,1.0,6.0,.167,8,9.0,.889,0.0,3.0,3.0,3.0,2.0,0.0,3.0,2.0,17.0,12.4,+13,4.0,3.0,0.75,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,3.0,76.0,4.0,9.2,81.19999999999999,4.273684210526315
14,15,15,2022-11-15,29-174,LAC,@,DAL,L (-2),0,18:16,2.0,10.0,.200,1.0,5.0,.200,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,-0.3,-11,5.0,1.0,0.2,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,-2.0,87.0,4.578947368421052,-0.3000000000000004,92.89999999999998,4.889473684210525
15,16,16,2022-11-17,29-176,LAC,,DET,W (+5),0,22:46,5.0,9.0,.556,1.0,3.0,.333,3,4.0,.750,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,10.6,-16,6.0,4.0,0.6666666666666666,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,4.0,66.0,3.473684210526316,9.4,85.89999999999999,4.5210526315789465
16,17,17,2022-11-19,29-178,LAC,,SAS,W (+22),0,31:01,10.0,16.0,.625,5.0,8.0,.625,1,2.0,.500,0.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,26.0,19.9,+10,8.0,5.0,0.625,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,12.0,47.0,2.473684210526316,19.5,53.8,2.831578947368421
17,18,18,2022-11-21,29-180,LAC,,UTA,W (+7),0,28:10,10.0,15.0,.667,3.0,4.0,.750,7,7.0,1.000,0.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,30.0,24.3,+15,11.0,7.0,0.6363636363636364,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,13.0,48.0,2.526315789473684,21.500000000000007,49.69999999999999,2.61578947368421
18,19,19,2022-11-23,29-182,LAC,@,GSW,L (-17),0,29:11,6.0,14.0,.429,3.0,7.0,.429,2,2.0,1.000,1.0,6.0,7.0,2.0,0.0,1.0,2.0,2.0,17.0,11.4,-14,7.0,3.0,0.4285714285714285,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,9.0,70.0,3.684210526315789,10.599999999999996,83.9,4.415789473684211
19,20,20,2022-11-25,29-184,LAC,,DEN,L (-10),0,23:47,3.0,8.0,.375,2.0,3.0,.667,3,6.0,.500,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,11.0,5.8,-2,5.0,1.0,0.2,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,-1.0,54.0,2.8421052631578947,4.6,57.99999999999999,3.052631578947368
