Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Mason Plumlee,Shared Games with Bones Hyland,Shared Games with Eric Gordon,Shared Games with Russell Westbrook,Bones Hyland,Eric Gordon,Justin Holiday,Mason Plumlee,Russell Westbrook,co_inf with Mason Plumlee,co_inf with Bones Hyland,co_inf with Eric Gordon,co_inf with Justin Holiday,co_inf with Russell Westbrook,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,,2022-11-07,20-344,LAC,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,84.0,4.421052631578948,0.0,111.6,5.873684210526315,0.0153532316942237,W (+2),W (+2)
12.0,,2022-11-09,20-346,LAC,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,84.0,4.421052631578948,0.0,92.2,4.852631578947369,0.0153532316942237,W (+13),W (+13)
13.0,,2022-11-12,20-349,LAC,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,69.0,3.631578947368421,0.0,72.59999999999998,3.8210526315789455,0.0153532316942237,L (-15),L (-15)
14.0,,2022-11-14,20-351,LAC,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,79.0,4.157894736842105,0.0,90.39999999999998,4.757894736842104,0.0153532316942237,W (+16),W (+16)
15.0,,2022-11-15,20-352,LAC,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,85.0,4.473684210526316,0.0,92.6,4.873684210526315,0.0153532316942237,L (-2),L (-2)
16.0,,2022-11-17,20-354,LAC,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,70.0,3.684210526315789,0.0,95.3,5.015789473684211,0.0153532316942237,W (+5),W (+5)
17.0,,2022-11-19,20-356,LAC,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,59.0,3.1052631578947367,0.0,73.3,3.857894736842105,0.0153532316942237,W (+22),W (+22)
18.0,,2022-11-21,20-358,LAC,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,61.0,3.210526315789474,0.0,71.2,3.747368421052632,0.0153532316942237,W (+7),W (+7)
19.0,,2022-11-23,20-360,LAC,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,79.0,4.157894736842105,0.0,94.5,4.973684210526316,0.0153532316942237,L (-17),L (-17)
20.0,,2022-11-25,20-362,LAC,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,20,12,12,10,14,16,16,13,19,14,12,15,15,21,50.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.4,0.2631578947368421,0.8571428571428571,0.3529411764705882,0.1923076923076923,0.2372881355932203,0.2461538461538461,0.4444444444444444,0.5909090909090909,0.2435897435897435,0.2333333333333333,0.2142857142857142,0.2205882352941176,0.3125,0.2592592592592592,0.0,2,1,2,1,56.0,69.0,46.0,79.0,73.0,0.0253164556962025,0.0178571428571428,0.0289855072463768,0.0,0.0136986301369863,19,,53.0,2.789473684210526,0.0,62.6,3.294736842105263,0.0153532316942237,L (-10),L (-10)
