Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Shared Games with Xavier Moon,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon
0,1,,2022-10-20,23-007,LAC,@,LAL,W (+6),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
1,2,,2022-10-22,23-009,LAC,@,SAC,W (+2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
2,3,1,2022-10-23,23-010,LAC,,PHO,L (-17),0,2.8833333333333333,1.0,1.0,1.000,0.0,0.0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-2,1.0,1.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
3,4,2,2022-10-25,23-012,LAC,@,OKC,L (-14),0,2.65,0.0,1.0,.000,0.0,0.0,,0,0,,0,2,2,0,0,1,0,0,0,0.6,+2,1.0,0.0,0.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
4,5,3,2022-10-27,23-014,LAC,@,OKC,L (-8),0,1.7833333333333332,1.0,1.0,1.000,0.0,0.0,,1,2,.500,0,0,0,0,0,1,0,0,3,3.0,+6,1.0,1.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
5,6,4,2022-10-30,23-017,LAC,,NOP,L (-21),0,4.516666666666667,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,0.0,0.0,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
6,7,,2022-10-31,23-018,LAC,,HOU,W (+2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
7,8,5,2022-11-02,23-020,LAC,@,HOU,W (+8),0,12.2,6.0,8.0,.750,0.0,0.0,,1,3,.333,3,4,7,0,0,1,0,3,13,11.8,+6,8.0,6.0,0.75,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
8,9,,2022-11-04,23-022,LAC,@,SAS,W (+7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
9,10,,2022-11-06,23-024,LAC,,UTA,L (-8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
10,11,,2022-11-07,23-025,LAC,,CLE,W (+2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
11,12,6,2022-11-09,23-027,LAC,,LAL,W (+13),0,0.7166666666666667,0.0,0.0,,0.0,0.0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2,0.0,0.0,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
