Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Shared Games with Xavier Moon,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon
0,1,1,2022-10-20,32-044,LAC,@,LAL,W (+6),0,24.533333333333335,7.0,15.0,.467,0.0,4.0,.000,1,3,.333,0,4,4,3,1,0,3,3,15,6.6,-3,11.0,7.0,0.6363636363636364,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,0,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0
1,2,,2022-10-22,32-046,LAC,@,SAC,W (+2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,0,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0
2,3,2,2022-10-23,32-047,LAC,,PHO,L (-17),0,21.366666666666667,7.0,12.0,.583,2.0,4.0,.500,1,5,.200,0,0,0,4,1,0,0,1,17,13.2,-1,8.0,5.0,0.625,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,0,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0
3,4,3,2022-10-25,32-049,LAC,@,OKC,L (-14),0,19.5,4.0,9.0,.444,1.0,3.0,.333,3,4,.750,1,2,3,4,2,0,4,2,12,8.2,+2,6.0,3.0,0.5,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,0,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0
4,5,4,2022-10-27,32-051,LAC,@,OKC,L (-8),0,20.95,6.0,12.0,.500,1.0,3.0,.333,4,5,.800,1,3,4,6,0,0,1,1,17,15.0,+7,9.0,5.0,0.5555555555555556,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,0,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0
5,6,5,2022-10-30,32-054,LAC,,NOP,L (-21),0,21.25,2.0,5.0,.400,0.0,1.0,.000,4,4,1.000,0,0,0,6,0,2,1,1,8,9.5,-19,4.0,2.0,0.5,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,0,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0
6,7,,2022-10-31,32-055,LAC,,HOU,W (+2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,0,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0
7,8,6,2022-11-02,32-057,LAC,@,HOU,W (+8),0,14.666666666666666,3.0,10.0,.300,0.0,3.0,.000,0,0,,1,0,1,4,2,0,2,0,6,3.7,-3,7.0,3.0,0.4285714285714285,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,0,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0
8,9,7,2022-11-04,32-059,LAC,@,SAS,W (+7),0,27.4,6.0,14.0,.429,2.0,6.0,.333,1,2,.500,0,3,3,6,0,0,0,3,15,11.1,+6,8.0,4.0,0.5,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,0,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0
9,10,8,2022-11-06,32-061,LAC,,UTA,L (-8),0,28.316666666666666,6.0,15.0,.400,0.0,4.0,.000,0,4,.000,0,3,3,6,2,0,1,3,12,7.2,-11,11.0,6.0,0.5454545454545454,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,0,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0
