Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Robert Covington,Shared Games with Terance Mann,Shared Games with Xavier Moon,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon
0,1,1,2022-10-20,32-187,LAC,@,LAL,W (+6),1,23.466666666666665,3.0,9.0,.333,1.0,3.0,.333,1,2,.500,0,1,1,4,1,0,2,0,8,4.6,+9,6.0,2.0,0.3333333333333333,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
1,2,2,2022-10-22,32-189,LAC,@,SAC,W (+2),1,26.766666666666666,4.0,5.0,.800,3.0,3.0,1.000,3,3,1.000,0,2,2,5,1,0,3,2,14,13.4,0,2.0,1.0,0.5,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
2,3,3,2022-10-23,32-190,LAC,,PHO,L (-17),1,23.75,0.0,5.0,.000,0.0,2.0,.000,0,0,,0,2,2,2,1,0,0,0,0,-0.5,-14,3.0,0.0,0.0,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
3,4,4,2022-10-25,32-192,LAC,@,OKC,L (-14),1,30.0,4.0,17.0,.235,1.0,6.0,.167,0,0,,0,3,3,6,0,0,3,2,9,0.0,-19,11.0,3.0,0.2727272727272727,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
4,5,5,2022-10-27,32-194,LAC,@,OKC,L (-8),1,37.233333333333334,8.0,13.0,.615,2.0,4.0,.500,0,0,,0,2,2,4,1,0,0,1,18,16.1,-17,9.0,6.0,0.6666666666666666,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
5,6,6,2022-10-30,32-197,LAC,,NOP,L (-21),1,27.35,4.0,12.0,.333,1.0,7.0,.143,0,0,,2,3,5,3,1,0,4,1,9,3.2,-8,5.0,3.0,0.6,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
6,7,7,2022-10-31,32-198,LAC,,HOU,W (+2),1,30.033333333333335,2.0,11.0,.182,0.0,6.0,.000,2,2,1.000,1,1,2,6,0,0,1,1,6,2.9,0,5.0,2.0,0.4,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
7,8,8,2022-11-02,32-200,LAC,@,HOU,W (+8),1,33.333333333333336,4.0,11.0,.364,0.0,4.0,.000,4,4,1.000,0,0,0,3,1,1,0,2,12,8.9,+11,7.0,4.0,0.5714285714285714,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
8,9,9,2022-11-04,32-202,LAC,@,SAS,W (+7),1,37.13333333333333,5.0,11.0,.455,2.0,4.0,.500,2,2,1.000,0,3,3,5,0,0,2,1,14,10.3,+7,7.0,3.0,0.4285714285714285,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
9,10,10,2022-11-06,32-204,LAC,,UTA,L (-8),1,19.683333333333334,1.0,3.0,.333,1.0,1.0,1.000,0,0,,0,1,1,0,1,0,1,1,3,1.2,+3,2.0,0.0,0.0,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
