Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Shared Games with Dario Šarić,Bismack Biyombo,Cameron Johnson,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,co_inf with Dario Šarić,Shared Games with Darius Bazley,Shared Games with Kevin Durant,Shared Games with Saben Lee,Shared Games with T.J. Warren,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Kevin Durant,co_inf with Saben Lee,co_inf with T.J. Warren,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022/10/19,28-072,PHO,,DAL,W (+2),0,18:48,3.0,7.0,0.429,1.0,2.0,0.5,0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,7.0,2.5,15,5.0,2.0,0.4,35,7,33,40,2,41,43,16,29,40,43,27,28,45,14,61.0,42.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.5737704918032787,0.1666666666666666,0.559322033898305,0.5405405405405406,0.6119402985074627,0.8113207547169812,0.5161290322580645,0.4833333333333333,0.0,0.5797101449275363,0.5972222222222222,0.675,0.3373493975903614,0.569620253164557,0.2456140350877192,6,8,14,14,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1395348837209302,0.0,0.1702127659574468,0.56,0.3333333333333333,0.2698412698412698,20,1.0,79.0,3.95,2.4999999999999982,86.0,4.3
1,2,2,2022/10/21,28-074,PHO,@,POR,L (-2),0,16:50,1.0,3.0,0.333,1.0,3.0,0.333,2,2.0,1,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,5.0,1.8,-2,0.0,0.0,,35,7,33,40,2,41,43,16,29,40,43,27,28,45,14,61.0,42.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.5737704918032787,0.1666666666666666,0.559322033898305,0.5405405405405406,0.6119402985074627,0.8113207547169812,0.5161290322580645,0.4833333333333333,0.0,0.5797101449275363,0.5972222222222222,0.675,0.3373493975903614,0.569620253164557,0.2456140350877192,6,8,14,14,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1395348837209302,0.0,0.1702127659574468,0.56,0.3333333333333333,0.2698412698412698,20,1.0,94.0,4.7,1.0000000000000009,96.4,4.82
2,3,3,2022/10/23,28-076,PHO,@,LAC,W (+17),0,14:34,4.0,11.0,0.364,1.0,3.0,0.333,1,2.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,10.0,4.2,0,8.0,3.0,0.375,35,7,33,40,2,41,43,16,29,40,43,27,28,45,14,61.0,42.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.5737704918032787,0.1666666666666666,0.559322033898305,0.5405405405405406,0.6119402985074627,0.8113207547169812,0.5161290322580645,0.4833333333333333,0.0,0.5797101449275363,0.5972222222222222,0.675,0.3373493975903614,0.569620253164557,0.2456140350877192,6,8,14,14,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1395348837209302,0.0,0.1702127659574468,0.56,0.3333333333333333,0.2698412698412698,20,-1.0,104.0,5.2,3.8000000000000016,121.0,6.05
3,4,4,2022/10/25,28-078,PHO,,GSW,W (+29),0,13:30,3.0,6.0,0.5,0.0,0.0,,2,2.0,1,0.0,4.0,4.0,5.0,0.0,0.0,1.0,1.0,8.0,8.3,8,6.0,3.0,0.5,35,7,33,40,2,41,43,16,29,40,43,27,28,45,14,61.0,42.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.5737704918032787,0.1666666666666666,0.559322033898305,0.5405405405405406,0.6119402985074627,0.8113207547169812,0.5161290322580645,0.4833333333333333,0.0,0.5797101449275363,0.5972222222222222,0.675,0.3373493975903614,0.569620253164557,0.2456140350877192,6,8,14,14,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1395348837209302,0.0,0.1702127659574468,0.56,0.3333333333333333,0.2698412698412698,20,8.0,76.0,3.8,7.499999999999998,100.5,5.025
4,5,5,2022/10/28,28-081,PHO,,NOP,W (+13),0,17:22,5.0,10.0,0.5,2.0,3.0,0.667,0,0.0,,1.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0,12.0,12.2,16,7.0,3.0,0.428571429,35,7,33,40,2,41,43,16,29,40,43,27,28,45,14,61.0,42.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.5737704918032787,0.1666666666666666,0.559322033898305,0.5405405405405406,0.6119402985074627,0.8113207547169812,0.5161290322580645,0.4833333333333333,0.0,0.5797101449275363,0.5972222222222222,0.675,0.3373493975903614,0.569620253164557,0.2456140350877192,6,8,14,14,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1395348837209302,0.0,0.1702127659574468,0.56,0.3333333333333333,0.2698412698412698,20,10.0,90.0,4.5,12.2,96.6,4.83
5,6,6,2022/10/30,28-083,PHO,,HOU,W (+15),0,16:46,5.0,12.0,0.417,2.0,7.0,0.286,0,0.0,,0.0,2.0,2.0,4.0,4.0,0.0,3.0,0.0,12.0,10,-4,5.0,3.0,0.6,35,7,33,40,2,41,43,16,29,40,43,27,28,45,14,61.0,42.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.5737704918032787,0.1666666666666666,0.559322033898305,0.5405405405405406,0.6119402985074627,0.8113207547169812,0.5161290322580645,0.4833333333333333,0.0,0.5797101449275363,0.5972222222222222,0.675,0.3373493975903614,0.569620253164557,0.2456140350877192,6,8,14,14,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1395348837209302,0.0,0.1702127659574468,0.56,0.3333333333333333,0.2698412698412698,20,7.0,81.0,4.05,10.000000000000004,96.2,4.8100000000000005
6,7,7,2022/11/1,28-085,PHO,,MIN,W (+9),0,14:08,3.0,8.0,0.375,2.0,5.0,0.4,0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,8.0,4.2,-9,3.0,1.0,0.333333333,35,7,33,40,2,41,43,16,29,40,43,27,28,45,14,61.0,42.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.5737704918032787,0.1666666666666666,0.559322033898305,0.5405405405405406,0.6119402985074627,0.8113207547169812,0.5161290322580645,0.4833333333333333,0.0,0.5797101449275363,0.5972222222222222,0.675,0.3373493975903614,0.569620253164557,0.2456140350877192,6,8,14,14,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1395348837209302,0.0,0.1702127659574468,0.56,0.3333333333333333,0.2698412698412698,20,3.0,75.0,3.75,4.199999999999999,78.10000000000001,3.9050000000000002
7,8,,2022/11/4,28-088,PHO,,POR,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,35,7,33,40,2,41,43,16,29,40,43,27,28,45,14,61.0,42.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.5737704918032787,0.1666666666666666,0.559322033898305,0.5405405405405406,0.6119402985074627,0.8113207547169812,0.5161290322580645,0.4833333333333333,0.0,0.5797101449275363,0.5972222222222222,0.675,0.3373493975903614,0.569620253164557,0.2456140350877192,6,8,14,14,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1395348837209302,0.0,0.1702127659574468,0.56,0.3333333333333333,0.2698412698412698,20,,77.0,3.85,0.0,91.3,4.5649999999999995
8,9,,2022/11/5,28-089,PHO,,POR,W (+20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,35,7,33,40,2,41,43,16,29,40,43,27,28,45,14,61.0,42.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.5737704918032787,0.1666666666666666,0.559322033898305,0.5405405405405406,0.6119402985074627,0.8113207547169812,0.5161290322580645,0.4833333333333333,0.0,0.5797101449275363,0.5972222222222222,0.675,0.3373493975903614,0.569620253164557,0.2456140350877192,6,8,14,14,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1395348837209302,0.0,0.1702127659574468,0.56,0.3333333333333333,0.2698412698412698,20,,101.0,5.05,0.0,94.4,4.720000000000001
9,10,8,2022/11/7,28-091,PHO,@,PHI,L (-12),0,27:43:00,6.0,14.0,0.429,1.0,4.0,0.25,1,2.0,0.5,0.0,2.0,2.0,5.0,0.0,0.0,3.0,4.0,14.0,5.7,-11,10.0,5.0,0.5,35,7,33,40,2,41,43,16,29,40,43,27,28,45,14,61.0,42.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.5737704918032787,0.1666666666666666,0.559322033898305,0.5405405405405406,0.6119402985074627,0.8113207547169812,0.5161290322580645,0.4833333333333333,0.0,0.5797101449275363,0.5972222222222222,0.675,0.3373493975903614,0.569620253164557,0.2456140350877192,6,8,14,14,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1395348837209302,0.0,0.1702127659574468,0.56,0.3333333333333333,0.2698412698412698,20,2.0,58.0,2.9,5.300000000000001,63.39999999999999,3.1699999999999995
