Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Darius Bazley,Shared Games with Kevin Durant,Shared Games with Saben Lee,Shared Games with T.J. Warren,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Kevin Durant,co_inf with Saben Lee,co_inf with T.J. Warren,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022/10/19,37-166,PHO,,DAL,W (+2),1,30:17:00,1.0,6.0,0.167,0.0,2.0,0,4,4.0,1,0.0,3.0,3.0,9.0,2.0,0.0,3.0,3.0,6.0,7.2,-9,4.0,1.0,0.25,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,7.0,73,3.842105263157895,5.600000000000001,82.89999999999999,4.363157894736841
1,2,2,2022/10/21,37-168,PHO,@,POR,L (-2),1,36:09:00,5.0,11.0,0.455,0.0,1.0,0,0,0.0,,0.0,4.0,4.0,12.0,5.0,0.0,1.0,5.0,10.0,15.9,0,10.0,5.0,0.5,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,19.0,76,4.0,15.9,81.49999999999999,4.289473684210526
2,3,3,2022/10/23,37-170,PHO,@,LAC,W (+17),1,32:37:00,3.0,11.0,0.273,1.0,8.0,0.125,0,0.0,,3.0,5.0,8.0,11.0,1.0,1.0,2.0,2.0,7.0,10.7,15,3.0,2.0,0.666666667,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,15.0,88,4.631578947368421,10.7,114.1,6.005263157894737
3,4,4,2022/10/25,37-172,PHO,,GSW,W (+29),1,35:13:00,5.0,10.0,0.5,4.0,5.0,0.8,2,2.0,1,0.0,7.0,7.0,9.0,1.0,0.0,2.0,4.0,16.0,16.8,21,5.0,1.0,0.2,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,19.0,65,3.421052631578948,16.0,92.0,4.842105263157895
4,5,5,2022/10/28,37-175,PHO,,NOP,W (+13),1,30:38:00,1.0,7.0,0.143,0.0,1.0,0,5,6.0,0.833,1.0,4.0,5.0,9.0,1.0,0.0,3.0,1.0,7.0,7.9,-3,6.0,1.0,0.166666667,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,6.0,94,4.947368421052632,5.899999999999999,102.9,5.415789473684211
5,6,6,2022/10/30,37-177,PHO,,HOU,W (+15),1,31:14:00,3.0,7.0,0.429,0.0,4.0,0,4,5.0,0.8,0.0,1.0,1.0,15.0,0.0,0.0,0.0,1.0,10.0,16.3,19,3.0,3.0,1.0,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,14.0,74,3.8947368421052633,14.7,91.5,4.815789473684211
6,7,7,2022/11/1,37-179,PHO,,MIN,W (+9),1,33:52:00,5.0,12.0,0.417,1.0,5.0,0.2,4,6.0,0.667,1.0,7.0,8.0,12.0,3.0,0.0,1.0,2.0,15.0,20.2,18,7.0,4.0,0.571428571,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,19.0,59,3.1052631578947367,18.6,63.7,3.3526315789473684
7,8,8,2022/11/4,37-182,PHO,,POR,L (-2),1,33:48:00,1.0,4.0,0.25,1.0,3.0,0.333,4,4.0,1,0.0,2.0,2.0,11.0,2.0,1.0,0.0,2.0,7.0,14.8,4,1.0,0.0,0.0,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,15.0,62,3.263157894736842,13.199999999999998,78.10000000000001,4.110526315789474
8,9,9,2022/11/5,37-183,PHO,,POR,W (+20),1,24:21:00,3.0,7.0,0.429,2.0,4.0,0.5,7,7.0,1,0.0,5.0,5.0,4.0,0.0,0.0,1.0,2.0,15.0,13.8,16,3.0,1.0,0.333333333,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,9.0,92,4.842105263157895,11.0,83.39999999999999,4.389473684210526
9,10,10,2022/11/7,37-185,PHO,@,PHI,L (-12),1,13:45,1.0,1.0,1,0.0,0.0,,0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,3.3,-10,1.0,1.0,1.0,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,5.0,55,2.894736842105264,3.3,65.39999999999999,3.4421052631578943
