Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Georges Niang,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Bismack Biyombo,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Payne,Chris Paul,Damion Lee,Darius Bazley,Deandre Ayton,Devin Booker,Ish Wainright,Jaylen Brown,Jock Landale,Josh Okogie,Kevin Durant,Landry Shamet,T.J. Warren,Terrence Ross,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Darius Bazley,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Ish Wainright,co_inf with Jaylen Brown,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Kevin Durant,co_inf with Landry Shamet,co_inf with T.J. Warren,co_inf with Terrence Ross,co_inf with Torrey Craig,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-11-23,23-153,PHI,@,CHO,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,2,1,2,2,1,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333,12,18,14,14,23,21,13,20,17,16,16,20,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,42.0,63.0,79.0,0.2950819672131147,0.2916666666666667,0.2372881355932203,0.3108108108108108,0.0,0.3134328358208955,0.2452830188679245,0.3333333333333333,0.0,0.2463768115942029,0.2222222222222222,0.0,0.4,0.0,0.0,0.2531645569620253,23,,80.0,3.4782608695652173,0.0,53.49999999999999,2.326086956521739
1,2,,2022-11-25,23-155,PHI,@,ORL,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,2,2,1,2,2,1,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333,12,18,14,14,23,21,13,20,17,16,16,20,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,42.0,63.0,79.0,0.2950819672131147,0.2916666666666667,0.2372881355932203,0.3108108108108108,0.0,0.3134328358208955,0.2452830188679245,0.3333333333333333,0.0,0.2463768115942029,0.2222222222222222,0.0,0.4,0.0,0.0,0.2531645569620253,23,,95.0,4.130434782608695,0.0,65.80000000000001,2.8608695652173917
2,3,1,2022-11-27,23-157,PHI,@,ORL,W (+30),0,3:49,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,2.7,+4,1.0,1.0,1.0,2,2,2,2,2,1,2,2,1,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333,12,18,14,14,23,21,13,20,17,16,16,20,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,42.0,63.0,79.0,0.2950819672131147,0.2916666666666667,0.2372881355932203,0.3108108108108108,0.0,0.3134328358208955,0.2452830188679245,0.3333333333333333,0.0,0.2463768115942029,0.2222222222222222,0.0,0.4,0.0,0.0,0.2531645569620253,23,3.0,100.0,4.3478260869565215,2.7,72.2,3.139130434782609
3,4,,2022-11-28,23-158,PHI,,ATL,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,2,2,1,2,2,1,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333,12,18,14,14,23,21,13,20,17,16,16,20,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,42.0,63.0,79.0,0.2950819672131147,0.2916666666666667,0.2372881355932203,0.3108108108108108,0.0,0.3134328358208955,0.2452830188679245,0.3333333333333333,0.0,0.2463768115942029,0.2222222222222222,0.0,0.4,0.0,0.0,0.2531645569620253,23,,84.0,3.652173913043478,0.0,84.1,3.6565217391304343
4,5,2,2022-11-30,23-160,PHI,@,CLE,L (-28),0,6:18,2.0,3.0,.667,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.7,+1,2.0,2.0,1.0,2,2,2,2,2,1,2,2,1,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333,12,18,14,14,23,21,13,20,17,16,16,20,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,42.0,63.0,79.0,0.2950819672131147,0.2916666666666667,0.2372881355932203,0.3108108108108108,0.0,0.3134328358208955,0.2452830188679245,0.3333333333333333,0.0,0.2463768115942029,0.2222222222222222,0.0,0.4,0.0,0.0,0.2531645569620253,23,-1.0,101.0,4.391304347826087,0.7000000000000002,67.29999999999998,2.9260869565217384
5,6,,2022-12-02,23-162,PHI,@,MEM,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,2,2,1,2,2,1,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333,12,18,14,14,23,21,13,20,17,16,16,20,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,42.0,63.0,79.0,0.2950819672131147,0.2916666666666667,0.2372881355932203,0.3108108108108108,0.0,0.3134328358208955,0.2452830188679245,0.3333333333333333,0.0,0.2463768115942029,0.2222222222222222,0.0,0.4,0.0,0.0,0.2531645569620253,23,,88.0,3.8260869565217392,0.0,75.60000000000002,3.2869565217391314
6,7,,2022-12-05,23-165,PHI,@,HOU,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,2,2,1,2,2,1,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333,12,18,14,14,23,21,13,20,17,16,16,20,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,42.0,63.0,79.0,0.2950819672131147,0.2916666666666667,0.2372881355932203,0.3108108108108108,0.0,0.3134328358208955,0.2452830188679245,0.3333333333333333,0.0,0.2463768115942029,0.2222222222222222,0.0,0.4,0.0,0.0,0.2531645569620253,23,,78.0,3.391304347826087,0.0,44.400000000000006,1.9304347826086958
7,8,,2022-12-09,23-169,PHI,,LAL,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,2,1,2,2,1,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333,12,18,14,14,23,21,13,20,17,16,16,20,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,42.0,63.0,79.0,0.2950819672131147,0.2916666666666667,0.2372881355932203,0.3108108108108108,0.0,0.3134328358208955,0.2452830188679245,0.3333333333333333,0.0,0.2463768115942029,0.2222222222222222,0.0,0.4,0.0,0.0,0.2531645569620253,23,,77.0,3.347826086956522,0.0,67.0,2.9130434782608696
8,9,,2022-12-11,23-171,PHI,,CHO,W (+18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,2,1,2,2,1,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333,12,18,14,14,23,21,13,20,17,16,16,20,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,42.0,63.0,79.0,0.2950819672131147,0.2916666666666667,0.2372881355932203,0.3108108108108108,0.0,0.3134328358208955,0.2452830188679245,0.3333333333333333,0.0,0.2463768115942029,0.2222222222222222,0.0,0.4,0.0,0.0,0.2531645569620253,23,,101.0,4.391304347826087,0.0,60.09999999999999,2.613043478260869
9,10,,2022-12-13,23-173,PHI,,SAC,W (+20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,2,1,2,2,1,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333,12,18,14,14,23,21,13,20,17,16,16,20,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,42.0,63.0,79.0,0.2950819672131147,0.2916666666666667,0.2372881355932203,0.3108108108108108,0.0,0.3134328358208955,0.2452830188679245,0.3333333333333333,0.0,0.2463768115942029,0.2222222222222222,0.0,0.4,0.0,0.0,0.2531645569620253,23,,60.0,2.608695652173913,0.0,45.6,1.982608695652174
