Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario Šarić,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Shared Games with Darius Bazley,Shared Games with Saben Lee,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Kevin Durant,co_inf with T.J. Warren,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,26-359,PHO,,DAL,W (+2),0,10:09,2.0,5.0,.400,0.0,2.0,.000,3,4.0,.750,1.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,7.0,3.0,-6,3.0,2.0,0.6666666666666666,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,72.0,40.0,83.0,79.0,0.7868852459016393,0.3571428571428571,0.8333333333333334,0.847457627118644,0.8648648648648649,0.5789473684210527,0.8059701492537313,0.8490566037735849,0.8064516129032258,0.85,0.0,0.8611111111111112,0.85,0.5662650602409639,0.8354430379746836,4,13,6,17,17,43.0,67.0,47.0,25.0,42.0,63.0,0.0851063829787234,0.3095238095238095,0.1395348837209302,0.0,0.68,0.2698412698412698,19,0.0,80.0,4.2105263157894735,1.8000000000000005,86.69999999999999,4.563157894736841
1,2,2,2022-10-21,26-361,PHO,@,POR,L (-2),0,14:28,2.0,5.0,.400,1.0,2.0,.500,1,2.0,.500,2.0,2.0,4.0,0.0,0.0,0.0,1.0,4.0,6.0,2.3,-3,3.0,1.0,0.3333333333333333,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,72.0,40.0,83.0,79.0,0.7868852459016393,0.3571428571428571,0.8333333333333334,0.847457627118644,0.8648648648648649,0.5789473684210527,0.8059701492537313,0.8490566037735849,0.8064516129032258,0.85,0.0,0.8611111111111112,0.85,0.5662650602409639,0.8354430379746836,4,13,6,17,17,43.0,67.0,47.0,25.0,42.0,63.0,0.0851063829787234,0.3095238095238095,0.1395348837209302,0.0,0.68,0.2698412698412698,19,2.0,93.0,4.894736842105263,1.899999999999999,95.5,5.026315789473684
2,3,3,2022-10-23,26-363,PHO,@,LAC,W (+17),0,17:19,4.0,8.0,.500,0.0,2.0,.000,1,1.0,1.000,2.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,9.0,9.5,+13,6.0,4.0,0.6666666666666666,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,72.0,40.0,83.0,79.0,0.7868852459016393,0.3571428571428571,0.8333333333333334,0.847457627118644,0.8648648648648649,0.5789473684210527,0.8059701492537313,0.8490566037735849,0.8064516129032258,0.85,0.0,0.8611111111111112,0.85,0.5662650602409639,0.8354430379746836,4,13,6,17,17,43.0,67.0,47.0,25.0,42.0,63.0,0.0851063829787234,0.3095238095238095,0.1395348837209302,0.0,0.68,0.2698412698412698,19,11.0,92.0,4.842105263157895,9.1,115.7,6.089473684210526
3,4,4,2022-10-25,27-000,PHO,,GSW,W (+29),0,22:09,6.0,12.0,.500,1.0,4.0,.250,4,5.0,.800,2.0,5.0,7.0,0.0,0.0,2.0,1.0,1.0,17.0,13.5,+27,8.0,5.0,0.625,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,72.0,40.0,83.0,79.0,0.7868852459016393,0.3571428571428571,0.8333333333333334,0.847457627118644,0.8648648648648649,0.5789473684210527,0.8059701492537313,0.8490566037735849,0.8064516129032258,0.85,0.0,0.8611111111111112,0.85,0.5662650602409639,0.8354430379746836,4,13,6,17,17,43.0,67.0,47.0,25.0,42.0,63.0,0.0851063829787234,0.3095238095238095,0.1395348837209302,0.0,0.68,0.2698412698412698,19,8.0,76.0,4.0,11.899999999999997,96.1,5.057894736842105
4,5,5,2022-10-28,27-003,PHO,,NOP,W (+13),0,17:00,4.0,9.0,.444,0.0,4.0,.000,0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,5.2,+18,5.0,4.0,0.8,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,72.0,40.0,83.0,79.0,0.7868852459016393,0.3571428571428571,0.8333333333333334,0.847457627118644,0.8648648648648649,0.5789473684210527,0.8059701492537313,0.8490566037735849,0.8064516129032258,0.85,0.0,0.8611111111111112,0.85,0.5662650602409639,0.8354430379746836,4,13,6,17,17,43.0,67.0,47.0,25.0,42.0,63.0,0.0851063829787234,0.3095238095238095,0.1395348837209302,0.0,0.68,0.2698412698412698,19,4.0,96.0,5.052631578947368,5.199999999999999,103.6,5.4526315789473685
5,6,6,2022-10-30,27-005,PHO,,HOU,W (+15),0,23:26,6.0,9.0,.667,0.0,1.0,.000,4,4.0,1.000,5.0,2.0,7.0,0.0,1.0,1.0,2.0,5.0,16.0,13.9,0,8.0,6.0,0.75,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,72.0,40.0,83.0,79.0,0.7868852459016393,0.3571428571428571,0.8333333333333334,0.847457627118644,0.8648648648648649,0.5789473684210527,0.8059701492537313,0.8490566037735849,0.8064516129032258,0.85,0.0,0.8611111111111112,0.85,0.5662650602409639,0.8354430379746836,4,13,6,17,17,43.0,67.0,47.0,25.0,42.0,63.0,0.0851063829787234,0.3095238095238095,0.1395348837209302,0.0,0.68,0.2698412698412698,19,10.0,78.0,4.105263157894737,12.299999999999995,93.9,4.942105263157895
6,7,7,2022-11-01,27-007,PHO,,MIN,W (+9),0,16:27,2.0,6.0,.333,0.0,4.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,0.7,-4,2.0,2.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,72.0,40.0,83.0,79.0,0.7868852459016393,0.3571428571428571,0.8333333333333334,0.847457627118644,0.8648648648648649,0.5789473684210527,0.8059701492537313,0.8490566037735849,0.8064516129032258,0.85,0.0,0.8611111111111112,0.85,0.5662650602409639,0.8354430379746836,4,13,6,17,17,43.0,67.0,47.0,25.0,42.0,63.0,0.0851063829787234,0.3095238095238095,0.1395348837209302,0.0,0.68,0.2698412698412698,19,1.0,77.0,4.052631578947368,0.7000000000000006,81.60000000000001,4.294736842105263
7,8,8,2022-11-04,27-010,PHO,,POR,L (-2),0,14:43,3.0,3.0,1.000,1.0,1.0,1.000,2,2.0,1.000,4.0,2.0,6.0,1.0,0.0,0.0,2.0,2.0,9.0,9.4,+3,2.0,2.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,72.0,40.0,83.0,79.0,0.7868852459016393,0.3571428571428571,0.8333333333333334,0.847457627118644,0.8648648648648649,0.5789473684210527,0.8059701492537313,0.8490566037735849,0.8064516129032258,0.85,0.0,0.8611111111111112,0.85,0.5662650602409639,0.8354430379746836,4,13,6,17,17,43.0,67.0,47.0,25.0,42.0,63.0,0.0851063829787234,0.3095238095238095,0.1395348837209302,0.0,0.68,0.2698412698412698,19,9.0,68.0,3.5789473684210527,8.599999999999998,82.70000000000002,4.35263157894737
8,9,9,2022-11-05,27-011,PHO,,POR,W (+20),0,18:18,2.0,4.0,.500,0.0,1.0,.000,1,2.0,.500,2.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,5.0,6.4,+17,3.0,2.0,0.6666666666666666,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,72.0,40.0,83.0,79.0,0.7868852459016393,0.3571428571428571,0.8333333333333334,0.847457627118644,0.8648648648648649,0.5789473684210527,0.8059701492537313,0.8490566037735849,0.8064516129032258,0.85,0.0,0.8611111111111112,0.85,0.5662650602409639,0.8354430379746836,4,13,6,17,17,43.0,67.0,47.0,25.0,42.0,63.0,0.0851063829787234,0.3095238095238095,0.1395348837209302,0.0,0.68,0.2698412698412698,19,6.0,95.0,5.0,5.999999999999998,88.39999999999999,4.652631578947368
9,10,10,2022-11-07,27-013,PHO,@,PHI,L (-12),0,6:48,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,2.0,2.7,-3,2.0,1.0,0.5,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,72.0,40.0,83.0,79.0,0.7868852459016393,0.3571428571428571,0.8333333333333334,0.847457627118644,0.8648648648648649,0.5789473684210527,0.8059701492537313,0.8490566037735849,0.8064516129032258,0.85,0.0,0.8611111111111112,0.85,0.5662650602409639,0.8354430379746836,4,13,6,17,17,43.0,67.0,47.0,25.0,42.0,63.0,0.0851063829787234,0.3095238095238095,0.1395348837209302,0.0,0.68,0.2698412698412698,19,6.0,54.0,2.8421052631578947,2.7,65.99999999999999,3.473684210526315
