Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Frank Jackson,Shared Games with Jarred Vanderbilt,Shared Games with Jarrell Brantley,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler
0,1,1,2022-10-19,24-047,UTA,,DEN,W (+21),0,0.9166666666666666,1.0,1.0,1.000,0.0,0.0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,+4,1.0,1.0,1.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
1,2,,2022-10-21,24-049,UTA,@,MIN,W (+6),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
2,3,,2022-10-23,24-051,UTA,@,NOP,W (+1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
3,4,2,2022-10-24,24-052,UTA,@,HOU,L (-6),0,5.216666666666667,0.0,1.0,.000,0.0,0.0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-2,1.0,0.0,0.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
4,5,,2022-10-26,24-054,UTA,,HOU,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
5,6,3,2022-10-28,24-056,UTA,@,DEN,L (-16),0,8.483333333333333,2.0,5.0,.400,1.0,3.0,.333,2,2,1.000,0,0,0,4,1,1,0,0,7,8.8,+9,2.0,1.0,0.5,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
6,7,4,2022-10-29,24-057,UTA,,MEM,W (+1),0,20.833333333333332,4.0,8.0,.500,2.0,5.0,.400,1,2,.500,0,2,2,3,2,1,1,4,11,9.4,+3,3.0,2.0,0.6666666666666666,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
7,8,5,2022-10-31,24-059,UTA,,MEM,W (+16),0,3.283333333333333,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,1,1,0,1,0,1,1,0,-0.8,-1,0.0,0.0,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
8,9,,2022-11-02,24-061,UTA,@,DAL,L (-3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
9,10,6,2022-11-04,24-063,UTA,@,LAL,W (+14),0,7.783333333333333,2.0,4.0,.500,1.0,2.0,.500,1,1,1.000,0,1,1,0,0,0,1,1,6,2.9,+10,2.0,1.0,0.5,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
