Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Lauri Markkanen,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malcolm Brogdon,Micah Potter,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Malcolm Brogdon,co_inf with Micah Potter,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,co_inf with Frank Jackson,co_inf with Jarrell Brantley,co_inf with Kris Dunn,co_inf with Luka Šamanić,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-18,27-110,LAL,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,,62.0,1.9375,0.0,51.99999999999999,1.6249999999999998,0.0090625,L (-14),L (-14)
2.0,1.0,2022-10-20,27-112,LAL,LAC,0,7.25,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.7,-9,1.0,1.0,1.0,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,3.0,98.0,3.0625,2.7,91.2,2.85,0.0090625,L (-6),L (-6)
3.0,2.0,2022-10-23,27-115,LAL,POR,0,6.116666666666666,2.0,4.0,.500,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,2.2,-5,4.0,2.0,0.5,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,2.0,66.0,2.0625,2.2,75.0,2.34375,0.0090625,L (-2),L (-2)
4.0,3.0,2022-10-26,27-118,LAL,DEN,0,11.566666666666666,1.0,2.0,.500,0.0,0.0,,2,4.0,.500,1.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,4.1,+11,2.0,1.0,0.5,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,3.0,81.0,2.53125,3.3000000000000007,44.69999999999999,1.3968749999999996,0.0090625,L (-11),L (-11)
5.0,4.0,2022-10-28,27-120,LAL,MIN,1,23.55,1.0,4.0,.250,0.0,0.0,,1,2.0,.500,4.0,4.0,8.0,1.0,0.0,1.0,3.0,3.0,3.0,1.4,-19,4.0,1.0,0.25,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,4.0,83.0,2.59375,0.9999999999999992,54.99999999999999,1.7187499999999998,0.0090625,L (-9),L (-9)
6.0,5.0,2022-10-30,27-122,LAL,DEN,0,2.216666666666667,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.4,-6,1.0,0.0,0.0,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,0.0,75.0,2.34375,-0.4,41.6,1.3,0.0090625,W (+11),W (+11)
7.0,,2022-11-02,27-125,LAL,NOP,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,,66.0,2.0625,0.0,67.50000000000003,2.109375000000001,0.0090625,W (+3),W (+3)
8.0,6.0,2022-11-04,27-127,LAL,UTA,0,1.2833333333333332,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,0.0,62.0,1.9375,0.0,55.3,1.728125,0.0090625,L (-14),L (-14)
9.0,,2022-11-06,27-129,LAL,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,,58.0,1.8125,0.0,41.60000000000001,1.3000000000000005,0.0090625,L (-14),L (-14)
10.0,7.0,2022-11-07,27-130,LAL,UTA,0,15.216666666666669,3.0,6.0,.500,0.0,0.0,,4,4.0,1.000,3.0,4.0,7.0,0.0,0.0,1.0,2.0,2.0,10.0,8.2,-6,6.0,3.0,0.5,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,6.0,82.0,2.5625,6.599999999999998,77.40000000000002,2.4187500000000006,0.0090625,L (-23),L (-23)
