Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,31-183,UTA,DEN,1.0,14.933333333333334,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,8.0,1.4,-8.0,2.0,1.0,0.5,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,1.0,61.0,3.05,1.3999999999999986,63.60000000000001,3.1800000000000006,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,W (+21),W (+21)
2.0,2.0,2022-10-21,31-185,UTA,MIN,1.0,34.583333333333336,8.0,14.0,0.571,5.0,6.0,0.833,0.0,0.0,,1.0,2.0,3.0,3.0,4.0,1.0,4.0,6.0,21.0,16.1,7.0,8.0,3.0,0.375,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,14.0,87.0,4.35,16.10000000000001,96.2,4.8100000000000005,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,W (+6),W (+6)
3.0,3.0,2022-10-23,31-187,UTA,NOP,1.0,37.28333333333333,7.0,12.0,0.583,2.0,3.0,0.667,4.0,5.0,0.8,1.0,2.0,3.0,5.0,1.0,0.0,1.0,4.0,20.0,17.2,-8.0,9.0,5.0,0.5555555555555556,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,11.0,57.0,2.85,15.6,72.50000000000001,3.625000000000001,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,W (+1),W (+1)
4.0,4.0,2022-10-24,31-188,UTA,HOU,1.0,26.73333333333333,4.0,5.0,0.8,2.0,2.0,1.0,3.0,4.0,0.75,3.0,6.0,9.0,4.0,0.0,0.0,5.0,2.0,13.0,11.6,8.0,3.0,2.0,0.6666666666666666,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,12.0,72.0,3.6,10.4,63.89999999999999,3.1949999999999994,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,L (-6),L (-6)
5.0,5.0,2022-10-26,31-190,UTA,HOU,1.0,29.23333333333333,1.0,8.0,0.125,0.0,2.0,0.0,2.0,6.0,0.333,3.0,5.0,8.0,6.0,1.0,0.0,4.0,6.0,4.0,-0.4,8.0,6.0,1.0,0.1666666666666666,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,1.0,86.0,4.3,-1.200000000000001,74.6,3.73,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,W (+8),W (+8)
6.0,6.0,2022-10-28,31-192,UTA,DEN,1.0,20.466666666666665,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,,1.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,7.0,6.5,-5.0,3.0,2.0,0.6666666666666666,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,8.0,67.0,3.35,6.499999999999998,61.6,3.08,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,L (-16),L (-16)
7.0,7.0,2022-10-29,31-193,UTA,MEM,1.0,34.233333333333334,8.0,10.0,0.8,4.0,6.0,0.667,3.0,3.0,1.0,0.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,23.0,21.4,6.0,4.0,4.0,1.0,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,18.0,48.0,2.4,20.2,61.500000000000014,3.0750000000000006,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,W (+1),W (+1)
8.0,8.0,2022-10-31,31-195,UTA,MEM,1.0,21.216666666666665,2.0,7.0,0.286,0.0,3.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,1.0,4.0,1.0,2.0,6.0,7.0,4.8,5.0,4.0,2.0,0.5,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,3.0,59.0,2.95,3.599999999999998,58.0,2.9,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,W (+16),W (+16)
9.0,9.0,2022-11-02,31-197,UTA,DAL,1.0,22.73333333333333,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,,2.0,3.0,5.0,4.0,1.0,0.0,1.0,5.0,6.0,6.8,3.0,4.0,3.0,0.75,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,10.0,48.0,2.4,6.800000000000001,43.70000000000002,2.185000000000001,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,L (-3),L (-3)
10.0,10.0,2022-11-04,31-199,UTA,LAL,1.0,30.23333333333333,7.0,10.0,0.7,3.0,3.0,1.0,1.0,2.0,0.5,2.0,2.0,4.0,3.0,1.0,0.0,0.0,4.0,18.0,16.9,17.0,7.0,4.0,0.5714285714285714,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,14.0,74.0,3.7,16.499999999999996,73.0,3.65,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,W (+14),W (+14)
