Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,30-134,UTA,DEN,1,29.55,3.0,9.0,.333,1.0,4.0,.250,3,4.0,.750,1.0,4.0,5.0,5.0,0.0,0.0,6.0,0.0,10.0,3.9,-4,5.0,2.0,0.4,46,51,1,49,22,55,13,7,54,3,43,35,38,45,33,47,24,58,48.0,1.0,78.0,4.0,18.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9583333333333334,0.0,0.6538461538461539,0.0,0.0555555555555555,0.7205882352941176,1.0,0.8333333333333334,0.9285714285714286,1.0,0.6666666666666666,0.4285714285714285,0.6417910447761194,0.5932203389830508,0.6440677966101694,0.8035714285714286,0.6346153846153846,0.7230769230769231,0.6666666666666666,0.7837837837837838,3,5,41.0,52.0,67.0,0.073170731707317,0.0961538461538461,0.0,20,1.0,61.0,3.05,2.699999999999997,62.3,3.115,14.7,1.7,-1.4,1.0,-2.4,0.1323958333333333,0.558,0.445,0.238,0.3,0.9,W (+21),W (+21)
2.0,2.0,2022-10-21,30-136,UTA,MIN,1,34.88333333333333,10.0,17.0,.588,7.0,12.0,.583,2,2.0,1.000,2.0,3.0,5.0,6.0,0.0,1.0,2.0,1.0,29.0,25.9,+8,5.0,3.0,0.6,46,51,1,49,22,55,13,7,54,3,43,35,38,45,33,47,24,58,48.0,1.0,78.0,4.0,18.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9583333333333334,0.0,0.6538461538461539,0.0,0.0555555555555555,0.7205882352941176,1.0,0.8333333333333334,0.9285714285714286,1.0,0.6666666666666666,0.4285714285714285,0.6417910447761194,0.5932203389830508,0.6440677966101694,0.8035714285714286,0.6346153846153846,0.7230769230769231,0.6666666666666666,0.7837837837837838,3,5,41.0,52.0,67.0,0.073170731707317,0.0961538461538461,0.0,20,20.0,81.0,4.05,25.100000000000005,87.2,4.36,14.7,1.7,-1.4,1.0,-2.4,0.1323958333333333,0.558,0.445,0.238,0.3,0.9,W (+6),W (+6)
3.0,3.0,2022-10-23,30-138,UTA,NOP,1,36.73333333333333,7.0,19.0,.368,3.0,10.0,.300,1,2.0,.500,0.0,1.0,1.0,6.0,0.0,1.0,3.0,0.0,18.0,9.3,+4,9.0,4.0,0.4444444444444444,46,51,1,49,22,55,13,7,54,3,43,35,38,45,33,47,24,58,48.0,1.0,78.0,4.0,18.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9583333333333334,0.0,0.6538461538461539,0.0,0.0555555555555555,0.7205882352941176,1.0,0.8333333333333334,0.9285714285714286,1.0,0.6666666666666666,0.4285714285714285,0.6417910447761194,0.5932203389830508,0.6440677966101694,0.8035714285714286,0.6346153846153846,0.7230769230769231,0.6666666666666666,0.7837837837837838,3,5,41.0,52.0,67.0,0.073170731707317,0.0961538461538461,0.0,20,2.0,66.0,3.3,8.9,79.20000000000002,3.960000000000001,14.7,1.7,-1.4,1.0,-2.4,0.1323958333333333,0.558,0.445,0.238,0.3,0.9,W (+1),W (+1)
4.0,4.0,2022-10-24,30-139,UTA,HOU,1,28.183333333333334,7.0,14.0,.500,2.0,6.0,.333,1,1.0,1.000,2.0,2.0,4.0,4.0,0.0,1.0,3.0,3.0,17.0,11.3,+1,8.0,5.0,0.625,46,51,1,49,22,55,13,7,54,3,43,35,38,45,33,47,24,58,48.0,1.0,78.0,4.0,18.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9583333333333334,0.0,0.6538461538461539,0.0,0.0555555555555555,0.7205882352941176,1.0,0.8333333333333334,0.9285714285714286,1.0,0.6666666666666666,0.4285714285714285,0.6417910447761194,0.5932203389830508,0.6440677966101694,0.8035714285714286,0.6346153846153846,0.7230769230769231,0.6666666666666666,0.7837837837837838,3,5,41.0,52.0,67.0,0.073170731707317,0.0961538461538461,0.0,20,8.0,76.0,3.8,10.900000000000002,63.39999999999999,3.1699999999999995,14.7,1.7,-1.4,1.0,-2.4,0.1323958333333333,0.558,0.445,0.238,0.3,0.9,L (-6),L (-6)
5.0,5.0,2022-10-26,30-141,UTA,HOU,1,28.916666666666668,6.0,14.0,.429,5.0,10.0,.500,3,4.0,.750,3.0,3.0,6.0,5.0,2.0,1.0,0.0,4.0,20.0,19.8,+8,4.0,1.0,0.25,46,51,1,49,22,55,13,7,54,3,43,35,38,45,33,47,24,58,48.0,1.0,78.0,4.0,18.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9583333333333334,0.0,0.6538461538461539,0.0,0.0555555555555555,0.7205882352941176,1.0,0.8333333333333334,0.9285714285714286,1.0,0.6666666666666666,0.4285714285714285,0.6417910447761194,0.5932203389830508,0.6440677966101694,0.8035714285714286,0.6346153846153846,0.7230769230769231,0.6666666666666666,0.7837837837837838,3,5,41.0,52.0,67.0,0.073170731707317,0.0961538461538461,0.0,20,16.0,71.0,3.55,18.599999999999994,54.8,2.74,14.7,1.7,-1.4,1.0,-2.4,0.1323958333333333,0.558,0.445,0.238,0.3,0.9,W (+8),W (+8)
6.0,6.0,2022-10-28,30-143,UTA,DEN,1,22.4,1.0,10.0,.100,0.0,7.0,.000,4,5.0,.800,0.0,5.0,5.0,3.0,1.0,2.0,1.0,3.0,6.0,2.8,-3,3.0,1.0,0.3333333333333333,46,51,1,49,22,55,13,7,54,3,43,35,38,45,33,47,24,58,48.0,1.0,78.0,4.0,18.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9583333333333334,0.0,0.6538461538461539,0.0,0.0555555555555555,0.7205882352941176,1.0,0.8333333333333334,0.9285714285714286,1.0,0.6666666666666666,0.4285714285714285,0.6417910447761194,0.5932203389830508,0.6440677966101694,0.8035714285714286,0.6346153846153846,0.7230769230769231,0.6666666666666666,0.7837837837837838,3,5,41.0,52.0,67.0,0.073170731707317,0.0961538461538461,0.0,20,1.0,74.0,3.7,1.2000000000000002,66.89999999999998,3.344999999999999,14.7,1.7,-1.4,1.0,-2.4,0.1323958333333333,0.558,0.445,0.238,0.3,0.9,L (-16),L (-16)
7.0,7.0,2022-10-29,30-144,UTA,MEM,1,32.75,9.0,17.0,.529,3.0,7.0,.429,0,1.0,.000,3.0,0.0,3.0,6.0,0.0,0.0,3.0,0.0,21.0,15.6,+7,10.0,6.0,0.6,46,51,1,49,22,55,13,7,54,3,43,35,38,45,33,47,24,58,48.0,1.0,78.0,4.0,18.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9583333333333334,0.0,0.6538461538461539,0.0,0.0555555555555555,0.7205882352941176,1.0,0.8333333333333334,0.9285714285714286,1.0,0.6666666666666666,0.4285714285714285,0.6417910447761194,0.5932203389830508,0.6440677966101694,0.8035714285714286,0.6346153846153846,0.7230769230769231,0.6666666666666666,0.7837837837837838,3,5,41.0,52.0,67.0,0.073170731707317,0.0961538461538461,0.0,20,9.0,57.0,2.85,15.600000000000003,66.10000000000001,3.3050000000000006,14.7,1.7,-1.4,1.0,-2.4,0.1323958333333333,0.558,0.445,0.238,0.3,0.9,W (+1),W (+1)
8.0,8.0,2022-10-31,30-146,UTA,MEM,1,33.333333333333336,3.0,14.0,.214,2.0,8.0,.250,3,5.0,.600,1.0,6.0,7.0,7.0,0.0,0.0,1.0,4.0,11.0,6.4,+14,6.0,1.0,0.1666666666666666,46,51,1,49,22,55,13,7,54,3,43,35,38,45,33,47,24,58,48.0,1.0,78.0,4.0,18.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9583333333333334,0.0,0.6538461538461539,0.0,0.0555555555555555,0.7205882352941176,1.0,0.8333333333333334,0.9285714285714286,1.0,0.6666666666666666,0.4285714285714285,0.6417910447761194,0.5932203389830508,0.6440677966101694,0.8035714285714286,0.6346153846153846,0.7230769230769231,0.6666666666666666,0.7837837837837838,3,5,41.0,52.0,67.0,0.073170731707317,0.0961538461538461,0.0,20,5.0,57.0,2.85,5.199999999999999,56.39999999999999,2.8199999999999994,14.7,1.7,-1.4,1.0,-2.4,0.1323958333333333,0.558,0.445,0.238,0.3,0.9,W (+16),W (+16)
9.0,9.0,2022-11-02,30-148,UTA,DAL,1,33.333333333333336,9.0,20.0,.450,4.0,9.0,.444,0,0.0,,2.0,3.0,5.0,8.0,1.0,0.0,4.0,3.0,22.0,15.3,-3,11.0,5.0,0.4545454545454545,46,51,1,49,22,55,13,7,54,3,43,35,38,45,33,47,24,58,48.0,1.0,78.0,4.0,18.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9583333333333334,0.0,0.6538461538461539,0.0,0.0555555555555555,0.7205882352941176,1.0,0.8333333333333334,0.9285714285714286,1.0,0.6666666666666666,0.4285714285714285,0.6417910447761194,0.5932203389830508,0.6440677966101694,0.8035714285714286,0.6346153846153846,0.7230769230769231,0.6666666666666666,0.7837837837837838,3,5,41.0,52.0,67.0,0.073170731707317,0.0961538461538461,0.0,20,12.0,46.0,2.3,15.3,35.200000000000024,1.7600000000000011,14.7,1.7,-1.4,1.0,-2.4,0.1323958333333333,0.558,0.445,0.238,0.3,0.9,L (-3),L (-3)
10.0,10.0,2022-11-04,30-150,UTA,LAL,1,29.3,9.0,19.0,.474,2.0,7.0,.286,0,0.0,,0.0,7.0,7.0,3.0,0.0,0.0,0.0,5.0,20.0,12.5,+11,12.0,7.0,0.5833333333333334,46,51,1,49,22,55,13,7,54,3,43,35,38,45,33,47,24,58,48.0,1.0,78.0,4.0,18.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9583333333333334,0.0,0.6538461538461539,0.0,0.0555555555555555,0.7205882352941176,1.0,0.8333333333333334,0.9285714285714286,1.0,0.6666666666666666,0.4285714285714285,0.6417910447761194,0.5932203389830508,0.6440677966101694,0.8035714285714286,0.6346153846153846,0.7230769230769231,0.6666666666666666,0.7837837837837838,3,5,41.0,52.0,67.0,0.073170731707317,0.0961538461538461,0.0,20,11.0,77.0,3.85,12.500000000000004,76.99999999999999,3.849999999999999,14.7,1.7,-1.4,1.0,-2.4,0.1323958333333333,0.558,0.445,0.238,0.3,0.9,W (+14),W (+14)
