Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2023-03-29,23-079,UTA,@,SAS,W (+11),0,24:53,2,8,0.25,1,4,0.25,4,4,1.0,0,9,9,4,1,1,2,4,9,7.8,14,4,1,0.25,7,7,7,7,7,7,2,7,1,6,4,3,5,4,7,1,5,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1458333333333333,0.0,0.0897435897435897,0.0,0.0,0.1147540983606557,0.1029411764705882,0.3181818181818182,0.106060606060606,0.1428571428571428,0.0864197530864197,0.1428571428571428,0.0895522388059701,0.0677966101694915,0.0508474576271186,0.0892857142857142,0.0769230769230769,0.1076923076923077,0.0277777777777777,0.0675675675675675,41.0,52.0,67.0,0.0,0.0,0.0,17,10,52.0,3.0588235294117645,6.200000000000001,62.1,3.652941176470588
1,2,2,2023-03-31,23-081,UTA,@,BOS,L (-8),0,12:21,2,4,0.5,0,2,0.0,0,0,,0,2,2,0,1,1,2,3,4,1.1,-3,2,2,1.0,7,7,7,7,7,7,2,7,1,6,4,3,5,4,7,1,5,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1458333333333333,0.0,0.0897435897435897,0.0,0.0,0.1147540983606557,0.1029411764705882,0.3181818181818182,0.106060606060606,0.1428571428571428,0.0864197530864197,0.1428571428571428,0.0895522388059701,0.0677966101694915,0.0508474576271186,0.0892857142857142,0.0769230769230769,0.1076923076923077,0.0277777777777777,0.0675675675675675,41.0,52.0,67.0,0.0,0.0,0.0,17,2,99.0,5.823529411764706,1.0999999999999996,102.1,6.0058823529411764
2,3,3,2023-04-02,23-083,UTA,@,BRK,L (-1),0,10:27,1,3,0.333,1,3,0.333,1,2,0.5,0,2,2,1,0,0,1,1,4,1.8,-8,0,0,,7,7,7,7,7,7,2,7,1,6,4,3,5,4,7,1,5,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1458333333333333,0.0,0.0897435897435897,0.0,0.0,0.1147540983606557,0.1029411764705882,0.3181818181818182,0.106060606060606,0.1428571428571428,0.0864197530864197,0.1428571428571428,0.0895522388059701,0.0677966101694915,0.0508474576271186,0.0892857142857142,0.0769230769230769,0.1076923076923077,0.0277777777777777,0.0675675675675675,41.0,52.0,67.0,0.0,0.0,0.0,17,1,67.0,3.941176470588236,1.4000000000000008,80.60000000000001,4.741176470588236
3,4,4,2023-04-04,23-085,UTA,,LAL,L (-2),1,22:17,5,6,0.833,2,3,0.667,0,0,,0,4,4,2,1,0,0,1,12,13.0,-2,3,3,1.0,7,7,7,7,7,7,2,7,1,6,4,3,5,4,7,1,5,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1458333333333333,0.0,0.0897435897435897,0.0,0.0,0.1147540983606557,0.1029411764705882,0.3181818181818182,0.106060606060606,0.1428571428571428,0.0864197530864197,0.1428571428571428,0.0895522388059701,0.0677966101694915,0.0508474576271186,0.0892857142857142,0.0769230769230769,0.1076923076923077,0.0277777777777777,0.0675675675675675,41.0,52.0,67.0,0.0,0.0,0.0,17,13,71.0,4.176470588235294,12.999999999999998,57.3,3.3705882352941177
4,5,5,2023-04-06,23-087,UTA,,OKC,L (-16),1,30:34,3,8,0.375,1,5,0.2,1,2,0.5,0,3,3,4,0,0,0,4,8,5.3,4,3,2,0.6666666666666666,7,7,7,7,7,7,2,7,1,6,4,3,5,4,7,1,5,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1458333333333333,0.0,0.0897435897435897,0.0,0.0,0.1147540983606557,0.1029411764705882,0.3181818181818182,0.106060606060606,0.1428571428571428,0.0864197530864197,0.1428571428571428,0.0895522388059701,0.0677966101694915,0.0508474576271186,0.0892857142857142,0.0769230769230769,0.1076923076923077,0.0277777777777777,0.0675675675675675,41.0,52.0,67.0,0.0,0.0,0.0,17,5,82.0,4.823529411764706,4.899999999999999,67.49999999999999,3.970588235294117
5,6,6,2023-04-08,23-089,UTA,,DEN,W (+4),1,30:33,9,14,0.643,3,6,0.5,2,4,0.5,0,8,8,1,2,0,3,2,23,17.3,10,8,6,0.75,7,7,7,7,7,7,2,7,1,6,4,3,5,4,7,1,5,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1458333333333333,0.0,0.0897435897435897,0.0,0.0,0.1147540983606557,0.1029411764705882,0.3181818181818182,0.106060606060606,0.1428571428571428,0.0864197530864197,0.1428571428571428,0.0895522388059701,0.0677966101694915,0.0508474576271186,0.0892857142857142,0.0769230769230769,0.1076923076923077,0.0277777777777777,0.0675675675675675,41.0,52.0,67.0,0.0,0.0,0.0,17,13,62.0,3.647058823529412,16.499999999999996,51.99999999999999,3.0588235294117645
6,7,7,2023-04-09,23-090,UTA,@,LAL,L (-11),1,29:44,4,14,0.286,0,8,0.0,1,1,1.0,0,2,2,3,1,0,2,2,9,1.7,-21,6,4,0.6666666666666666,7,7,7,7,7,7,2,7,1,6,4,3,5,4,7,1,5,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.1458333333333333,0.0,0.0897435897435897,0.0,0.0,0.1147540983606557,0.1029411764705882,0.3181818181818182,0.106060606060606,0.1428571428571428,0.0864197530864197,0.1428571428571428,0.0895522388059701,0.0677966101694915,0.0508474576271186,0.0892857142857142,0.0769230769230769,0.1076923076923077,0.0277777777777777,0.0675675675675675,41.0,52.0,67.0,0.0,0.0,0.0,17,-2,68.0,4.0,1.2999999999999998,80.40000000000002,4.729411764705883
