Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,,2023-03-18,26-284,UTA,BOS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,48.0,1.0,78.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,52.0,67.0,0.0,0.0,0.0,0,,62.0,0.0,0.0,0,,18.5,0.1,3.5,3.1,0.4,0.0022916666666666,0.739,0.643,0.143,0.1,0.1,W (+1),W (+1)
2,,2023-03-20,26-286,UTA,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,48.0,1.0,78.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,52.0,67.0,0.0,0.0,0.0,0,,101.0,0.0,0.0,0,,18.5,0.1,3.5,3.1,0.4,0.0022916666666666,0.739,0.643,0.143,0.1,0.1,W (+8),W (+8)
3,1.0,2023-03-22,26-288,UTA,POR,0,1.5333333333333332,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+3,0.0,0.0,,48.0,1.0,78.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,52.0,67.0,0.0,0.0,0.0,0,0.0,68.0,0.0,0.0,0,,18.5,0.1,3.5,3.1,0.4,0.0022916666666666,0.739,0.643,0.143,0.1,0.1,L (-12),L (-12)
4,2.0,2023-03-24,26-290,UTA,MIL,0,12.0,2.0,4.0,.500,1.0,3.0,.333,2,2.0,1.000,0.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,7.0,6.6,+2,1.0,1.0,1.0,48.0,1.0,78.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,52.0,67.0,0.0,0.0,0.0,0,6.0,78.0,0.0,5.799999999999999,0,,18.5,0.1,3.5,3.1,0.4,0.0022916666666666,0.739,0.643,0.143,0.1,0.1,L (-28),L (-28)
5,3.0,2023-03-25,26-291,UTA,SAC,0,15.816666666666666,5.0,8.0,.625,3.0,5.0,.600,0,0.0,,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,13.0,10.0,+2,3.0,2.0,0.6666666666666666,48.0,1.0,78.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,52.0,67.0,0.0,0.0,0.0,0,8.0,79.0,0.0,9.999999999999998,0,,18.5,0.1,3.5,3.1,0.4,0.0022916666666666,0.739,0.643,0.143,0.1,0.1,L (-8),L (-8)
6,4.0,2023-03-27,26-293,UTA,PHO,0,9.6,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3,+8,1.0,1.0,1.0,48.0,1.0,78.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,52.0,67.0,0.0,0.0,0.0,0,1.0,74.0,0.0,1.2999999999999998,0,,18.5,0.1,3.5,3.1,0.4,0.0022916666666666,0.739,0.643,0.143,0.1,0.1,L (-14),L (-14)
