Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-09,34-222,MIL,OKC,1.0,45.65,11.0,23.0,0.478,1.0,6.0,0.167,1.0,2.0,0.5,4.0,9.0,13.0,1.0,1.0,5.0,1.0,0.0,24.0,21.6,10.0,17.0,10.0,0.5882352941176471,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,18.0,64.0,3.3684210526315788,21.200000000000003,74.10000000000001,3.9,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+4),W (+4)
12.0,12.0,2022-11-11,34-224,MIL,SAS,1.0,29.55,6.0,14.0,0.429,3.0,7.0,0.429,4.0,5.0,0.8,1.0,2.0,3.0,2.0,1.0,2.0,5.0,4.0,19.0,9.7,-17.0,7.0,3.0,0.4285714285714285,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,3.0,37.0,1.947368421052632,8.099999999999996,46.6,2.4526315789473685,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,L (-18),L (-18)
13.0,13.0,2022-11-14,34-227,MIL,ATL,1.0,33.1,3.0,8.0,0.375,0.0,4.0,0.0,6.0,7.0,0.857,1.0,4.0,5.0,1.0,0.0,0.0,1.0,2.0,12.0,8.0,-3.0,4.0,3.0,0.75,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,2.0,29.0,1.5263157894736843,5.599999999999997,50.49999999999999,2.657894736842105,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,L (-15),L (-15)
14.0,14.0,2022-11-16,34-229,MIL,CLE,1.0,30.33333333333333,10.0,13.0,0.769,7.0,9.0,0.778,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,3.0,1.0,2.0,29.0,27.8,22.0,4.0,3.0,0.75,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,23.0,42.0,2.210526315789474,27.000000000000007,40.6,2.136842105263158,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+15),W (+15)
15.0,15.0,2022-11-18,34-231,MIL,PHI,1.0,34.38333333333333,5.0,12.0,0.417,2.0,5.0,0.4,3.0,4.0,0.75,1.0,3.0,4.0,2.0,1.0,4.0,0.0,2.0,15.0,14.2,-5.0,7.0,3.0,0.4285714285714285,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,10.0,44.0,2.3157894736842106,12.999999999999998,49.3,2.594736842105263,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,L (-8),L (-8)
16.0,16.0,2022-11-21,34-234,MIL,POR,1.0,30.366666666666667,6.0,12.0,0.5,2.0,5.0,0.4,0.0,0.0,,2.0,2.0,4.0,2.0,1.0,5.0,1.0,1.0,14.0,14.5,-2.0,7.0,4.0,0.5714285714285714,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,13.0,64.0,3.3684210526315788,14.499999999999998,79.7,4.194736842105264,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+8),W (+8)
17.0,17.0,2022-11-23,34-236,MIL,CHI,1.0,31.98333333333333,8.0,16.0,0.5,3.0,7.0,0.429,1.0,3.0,0.333,1.0,6.0,7.0,0.0,1.0,1.0,0.0,0.0,20.0,15.4,-6.0,9.0,5.0,0.5555555555555556,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,10.0,65.0,3.421052631578948,15.0,53.899999999999984,2.836842105263157,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,L (-5),L (-5)
18.0,18.0,2022-11-25,34-238,MIL,CLE,1.0,27.53333333333333,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,6.0,0.0,0.0,8.0,12.5,20.0,1.0,1.0,1.0,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,15.0,62.0,3.263157894736842,12.499999999999998,71.79999999999998,3.778947368421052,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+15),W (+15)
19.0,19.0,2022-11-27,34-240,MIL,DAL,1.0,23.416666666666668,5.0,7.0,0.714,2.0,3.0,0.667,1.0,1.0,1.0,0.0,4.0,4.0,2.0,1.0,4.0,2.0,5.0,13.0,12.5,-1.0,4.0,3.0,0.75,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,14.0,62.0,3.263157894736842,12.1,78.6,4.136842105263158,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+9),W (+9)
20.0,20.0,2022-11-30,34-243,MIL,NYK,1.0,34.28333333333333,2.0,8.0,0.25,1.0,5.0,0.2,4.0,4.0,1.0,0.0,6.0,6.0,1.0,0.0,2.0,0.0,1.0,9.0,7.7,1.0,3.0,1.0,0.3333333333333333,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,6.0,67.0,3.526315789473684,6.100000000000001,79.39999999999999,4.178947368421052,18.4,8.0,2.1,0.8,1.3,0.1292105537595161,0.63,0.405,0.211,2.5,4.1,W (+6),W (+6)
