Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with Lindell Wigginton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews
0,1,1,2022-10-20,33-032,MIL,@,PHI,W (+2),0,3.65,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-1,0.0,0.0,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
1,2,2,2022-10-22,33-034,MIL,,HOU,W (+20),0,14.85,3.0,5.0,.600,2.0,2.0,1.000,1,2,.500,1,4,5,0,0,1,0,3,9,7.7,+7,3.0,1.0,0.3333333333333333,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
2,3,,2022-10-26,33-038,MIL,,BRK,W (+11),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
3,4,3,2022-10-28,33-040,MIL,,NYK,W (+11),0,5.483333333333333,1.0,2.0,.500,0.0,0.0,,0,0,,1,1,2,0,0,1,1,2,2,0.9,+2,2.0,1.0,0.5,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
4,5,4,2022-10-29,33-041,MIL,,ATL,W (+8),0,10.65,1.0,2.0,.500,0.0,1.0,.000,0,0,,1,1,2,0,0,0,0,1,2,1.6,-6,1.0,1.0,1.0,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
5,6,5,2022-10-31,33-043,MIL,,DET,W (+2),0,9.516666666666667,0.0,1.0,.000,0.0,0.0,,0,0,,0,0,0,0,0,0,2,1,0,-3.1,-3,1.0,0.0,0.0,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
6,7,6,2022-11-02,33-045,MIL,,DET,W (+25),0,5.616666666666667,1.0,2.0,.500,1.0,1.0,1.000,0,0,,0,2,2,0,0,1,0,1,3,2.9,-1,1.0,0.0,0.0,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
7,8,,2022-11-04,33-047,MIL,@,MIN,W (+13),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
8,9,7,2022-11-05,33-048,MIL,,OKC,W (+14),0,24.083333333333332,2.0,5.0,.400,0.0,2.0,.000,4,4,1.000,1,5,6,2,0,2,2,2,8,7.5,+1,3.0,2.0,0.6666666666666666,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
9,10,8,2022-11-07,33-050,MIL,@,ATL,L (-19),0,11.533333333333333,2.0,2.0,1.000,0.0,0.0,,0,0,,1,3,4,0,0,0,0,1,4,4.6,+2,2.0,2.0,1.0,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
