Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with Lindell Wigginton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews
0,1,,2022-10-20,23-150,MIL,@,PHI,W (+2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
1,2,1,2022-10-22,23-152,MIL,,HOU,W (+20),0,2.2333333333333334,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-2,0.0,0.0,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
2,3,,2022-10-26,23-156,MIL,,BRK,W (+11),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
3,4,,2022-10-28,23-158,MIL,,NYK,W (+11),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
4,5,,2022-10-29,23-159,MIL,,ATL,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
5,6,,2022-10-31,23-161,MIL,,DET,W (+2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
6,7,,2022-11-02,23-163,MIL,,DET,W (+25),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
7,8,,2022-11-04,23-165,MIL,@,MIN,W (+13),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
8,9,,2022-11-05,23-166,MIL,,OKC,W (+14),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
9,10,2,2022-11-07,23-168,MIL,@,ATL,L (-19),0,6.15,1.0,3.0,.333,0.0,2.0,.000,0,0,,0,0,0,0,0,0,0,0,2,0.3,+3,1.0,1.0,1.0,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
