Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2023-02-24,30-362,MIL,MIA,0,14.883333333333333,1.0,3.0,.333,1.0,2.0,.500,2,2.0,1.000,2.0,4.0,6.0,0.0,1.0,0.0,1.0,3.0,5.0,4.7,0,1.0,0.0,0.0,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,6.0,63.0,3.9375,3.9,60.09999999999999,3.756249999999999,12.0,0.3,-5.0,-2.8,-2.2,0.0044843049327354,0.652,0.621,0.31,-0.1,0.2,W (+29),W (+29)
2.0,2.0,2023-02-26,30-364,MIL,PHO,0,5.283333333333333,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,+5,0.0,0.0,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,1.0,80.0,5.0,2.0,81.3,5.08125,12.0,0.3,-5.0,-2.8,-2.2,0.0044843049327354,0.652,0.621,0.31,-0.1,0.2,W (+3),W (+3)
3.0,3.0,2023-02-28,31-001,MIL,BRK,0,2.1166666666666667,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.9,+2,0.0,0.0,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,2.0,59.0,3.6875,1.9,65.59999999999998,4.099999999999999,12.0,0.3,-5.0,-2.8,-2.2,0.0044843049327354,0.652,0.621,0.31,-0.1,0.2,W (+14),W (+14)
4.0,4.0,2023-03-01,31-002,MIL,ORL,0,4.55,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-1,0.0,0.0,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,0.0,74.0,4.625,-0.3999999999999999,84.3,5.26875,12.0,0.3,-5.0,-2.8,-2.2,0.0044843049327354,0.652,0.621,0.31,-0.1,0.2,W (+22),W (+22)
5.0,,2023-03-04,31-005,MIL,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,81.0,5.0625,0.0,87.2,5.45,12.0,0.3,-5.0,-2.8,-2.2,0.0044843049327354,0.652,0.621,0.31,-0.1,0.2,L (-3),L (-3)
6.0,,2023-03-05,31-006,MIL,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,66.0,4.125,0.0,74.79999999999998,4.674999999999999,12.0,0.3,-5.0,-2.8,-2.2,0.0044843049327354,0.652,0.621,0.31,-0.1,0.2,W (+6),W (+6)
7.0,5.0,2023-03-07,31-008,MIL,ORL,0,7.6,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.8,-6,0.0,0.0,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,2.0,68.0,4.25,0.8,80.69999999999999,5.043749999999999,12.0,0.3,-5.0,-2.8,-2.2,0.0044843049327354,0.652,0.621,0.31,-0.1,0.2,W (+11),W (+11)
8.0,,2023-03-09,31-010,MIL,BRK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,84.0,5.25,0.0,85.89999999999999,5.36875,12.0,0.3,-5.0,-2.8,-2.2,0.0044843049327354,0.652,0.621,0.31,-0.1,0.2,W (+5),W (+5)
9.0,,2023-03-11,31-012,MIL,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,72.0,4.5,0.0,68.10000000000001,4.2562500000000005,12.0,0.3,-5.0,-2.8,-2.2,0.0044843049327354,0.652,0.621,0.31,-0.1,0.2,L (-9),L (-9)
10.0,,2023-03-13,31-014,MIL,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,46.0,2.875,0.0,54.60000000000001,3.4125000000000005,12.0,0.3,-5.0,-2.8,-2.2,0.0044843049327354,0.652,0.621,0.31,-0.1,0.2,W (+9),W (+9)
