Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with Lindell Wigginton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews
0,1,1,2022-10-20,24-041,MIL,@,PHI,W (+2),0,15.866666666666667,2.0,5.0,.400,2.0,4.0,.500,0,0,,0,3,3,0,0,0,0,1,6,3.8,-1,1.0,0.0,0.0,18,34,37,40,28,34,38,10,29,9,0,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5
1,2,2,2022-10-22,24-043,MIL,,HOU,W (+20),0,17.683333333333334,4.0,6.0,.667,1.0,1.0,1.000,0,0,,0,3,3,0,0,0,3,1,9,3.9,+15,5.0,3.0,0.6,18,34,37,40,28,34,38,10,29,9,0,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5
2,3,3,2022-10-26,24-047,MIL,,BRK,W (+11),0,16.65,1.0,2.0,.500,1.0,1.0,1.000,0,0,,1,5,6,1,0,0,0,0,3,4.9,+6,1.0,0.0,0.0,18,34,37,40,28,34,38,10,29,9,0,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5
3,4,4,2022-10-28,24-049,MIL,,NYK,W (+11),0,11.866666666666667,0.0,6.0,.000,0.0,2.0,.000,0,0,,2,2,4,0,0,0,1,3,0,-4.4,-14,4.0,0.0,0.0,18,34,37,40,28,34,38,10,29,9,0,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5
4,5,5,2022-10-29,24-050,MIL,,ATL,W (+8),0,15.0,3.0,6.0,.500,2.0,4.0,.500,3,3,1.000,1,2,3,0,0,0,1,1,11,7.9,+1,2.0,1.0,0.5,18,34,37,40,28,34,38,10,29,9,0,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5
5,6,6,2022-10-31,24-052,MIL,,DET,W (+2),0,13.183333333333334,0.0,4.0,.000,0.0,3.0,.000,0,0,,0,2,2,1,1,0,0,1,0,-0.9,-3,1.0,0.0,0.0,18,34,37,40,28,34,38,10,29,9,0,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5
6,7,7,2022-11-02,24-054,MIL,,DET,W (+25),0,25.516666666666666,4.0,9.0,.444,2.0,5.0,.400,2,2,1.000,2,2,4,1,2,0,4,1,12,7.6,+8,4.0,2.0,0.5,18,34,37,40,28,34,38,10,29,9,0,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5
7,8,8,2022-11-04,24-056,MIL,@,MIN,W (+13),0,13.066666666666666,0.0,2.0,.000,0.0,1.0,.000,0,0,,0,1,1,1,0,0,1,2,0,-2.2,-12,1.0,0.0,0.0,18,34,37,40,28,34,38,10,29,9,0,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5
8,9,9,2022-11-05,24-057,MIL,,OKC,W (+14),0,22.3,4.0,10.0,.400,1.0,5.0,.200,3,3,1.000,0,3,3,1,1,0,0,0,12,9.2,-1,5.0,3.0,0.6,18,34,37,40,28,34,38,10,29,9,0,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5
9,10,10,2022-11-07,24-059,MIL,@,ATL,L (-19),0,17.066666666666666,1.0,6.0,.167,0.0,2.0,.000,2,2,1.000,1,5,6,0,0,1,0,2,4,2.3,-2,4.0,1.0,0.25,18,34,37,40,28,34,38,10,29,9,0,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5
