Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-20,30-094,MIL,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,22,32,35,16,27,31,36,19,20,26,12,34,5,23,17,9,27,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,52.0,0.6285714285714286,0.4571428571428571,0.4487179487179487,0.3478260869565217,0.4285714285714285,0.4305555555555556,0.4444444444444444,0.4130434782608695,0.3225806451612903,0.3880597014925373,0.3636363636363636,0.0,0.6538461538461539,0.5555555555555556,0.3770491803278688,0.3953488372093023,0.5625,0.5192307692307693,6,7,58.0,18.0,16.0,0.1034482758620689,0.3888888888888889,0.0,19,,69.0,3.631578947368421,0.0,72.79999999999998,3.83157894736842,6.7,0.1,-7.6,-6.5,-1.1,0.0053185942225466,0.458,0.174,0.478,-0.3,-0.1,W (+2),W (+2)
2.0,1.0,2022-10-22,30-096,MIL,HOU,0,0.8666666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,22,32,35,16,27,31,36,19,20,26,12,34,5,23,17,9,27,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,52.0,0.6285714285714286,0.4571428571428571,0.4487179487179487,0.3478260869565217,0.4285714285714285,0.4305555555555556,0.4444444444444444,0.4130434782608695,0.3225806451612903,0.3880597014925373,0.3636363636363636,0.0,0.6538461538461539,0.5555555555555556,0.3770491803278688,0.3953488372093023,0.5625,0.5192307692307693,6,7,58.0,18.0,16.0,0.1034482758620689,0.3888888888888889,0.0,19,0.0,81.0,4.2631578947368425,0.0,89.2,4.694736842105264,6.7,0.1,-7.6,-6.5,-1.1,0.0053185942225466,0.458,0.174,0.478,-0.3,-0.1,W (+20),W (+20)
3.0,,2022-10-26,30-100,MIL,BRK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,22,32,35,16,27,31,36,19,20,26,12,34,5,23,17,9,27,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,52.0,0.6285714285714286,0.4571428571428571,0.4487179487179487,0.3478260869565217,0.4285714285714285,0.4305555555555556,0.4444444444444444,0.4130434782608695,0.3225806451612903,0.3880597014925373,0.3636363636363636,0.0,0.6538461538461539,0.5555555555555556,0.3770491803278688,0.3953488372093023,0.5625,0.5192307692307693,6,7,58.0,18.0,16.0,0.1034482758620689,0.3888888888888889,0.0,19,,61.0,3.210526315789474,0.0,70.79999999999998,3.7263157894736834,6.7,0.1,-7.6,-6.5,-1.1,0.0053185942225466,0.458,0.174,0.478,-0.3,-0.1,W (+11),W (+11)
4.0,,2022-10-28,30-102,MIL,NYK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,22,32,35,16,27,31,36,19,20,26,12,34,5,23,17,9,27,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,52.0,0.6285714285714286,0.4571428571428571,0.4487179487179487,0.3478260869565217,0.4285714285714285,0.4305555555555556,0.4444444444444444,0.4130434782608695,0.3225806451612903,0.3880597014925373,0.3636363636363636,0.0,0.6538461538461539,0.5555555555555556,0.3770491803278688,0.3953488372093023,0.5625,0.5192307692307693,6,7,58.0,18.0,16.0,0.1034482758620689,0.3888888888888889,0.0,19,,74.0,3.8947368421052633,0.0,88.99999999999999,4.6842105263157885,6.7,0.1,-7.6,-6.5,-1.1,0.0053185942225466,0.458,0.174,0.478,-0.3,-0.1,W (+11),W (+11)
5.0,,2022-10-29,30-103,MIL,ATL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,22,32,35,16,27,31,36,19,20,26,12,34,5,23,17,9,27,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,52.0,0.6285714285714286,0.4571428571428571,0.4487179487179487,0.3478260869565217,0.4285714285714285,0.4305555555555556,0.4444444444444444,0.4130434782608695,0.3225806451612903,0.3880597014925373,0.3636363636363636,0.0,0.6538461538461539,0.5555555555555556,0.3770491803278688,0.3953488372093023,0.5625,0.5192307692307693,6,7,58.0,18.0,16.0,0.1034482758620689,0.3888888888888889,0.0,19,,81.0,4.2631578947368425,0.0,97.6,5.136842105263158,6.7,0.1,-7.6,-6.5,-1.1,0.0053185942225466,0.458,0.174,0.478,-0.3,-0.1,W (+8),W (+8)
6.0,,2022-10-31,30-105,MIL,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,22,32,35,16,27,31,36,19,20,26,12,34,5,23,17,9,27,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,52.0,0.6285714285714286,0.4571428571428571,0.4487179487179487,0.3478260869565217,0.4285714285714285,0.4305555555555556,0.4444444444444444,0.4130434782608695,0.3225806451612903,0.3880597014925373,0.3636363636363636,0.0,0.6538461538461539,0.5555555555555556,0.3770491803278688,0.3953488372093023,0.5625,0.5192307692307693,6,7,58.0,18.0,16.0,0.1034482758620689,0.3888888888888889,0.0,19,,66.0,3.473684210526316,0.0,80.59999999999998,4.242105263157893,6.7,0.1,-7.6,-6.5,-1.1,0.0053185942225466,0.458,0.174,0.478,-0.3,-0.1,W (+2),W (+2)
7.0,2.0,2022-11-02,30-107,MIL,DET,0,5.616666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1,0.0,0.0,,22,32,35,16,27,31,36,19,20,26,12,34,5,23,17,9,27,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,52.0,0.6285714285714286,0.4571428571428571,0.4487179487179487,0.3478260869565217,0.4285714285714285,0.4305555555555556,0.4444444444444444,0.4130434782608695,0.3225806451612903,0.3880597014925373,0.3636363636363636,0.0,0.6538461538461539,0.5555555555555556,0.3770491803278688,0.3953488372093023,0.5625,0.5192307692307693,6,7,58.0,18.0,16.0,0.1034482758620689,0.3888888888888889,0.0,19,1.0,69.0,3.631578947368421,0.3,79.6,4.189473684210526,6.7,0.1,-7.6,-6.5,-1.1,0.0053185942225466,0.458,0.174,0.478,-0.3,-0.1,W (+25),W (+25)
8.0,3.0,2022-11-04,30-109,MIL,MIN,0,0.5333333333333333,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-1,0.0,0.0,,22,32,35,16,27,31,36,19,20,26,12,34,5,23,17,9,27,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,52.0,0.6285714285714286,0.4571428571428571,0.4487179487179487,0.3478260869565217,0.4285714285714285,0.4305555555555556,0.4444444444444444,0.4130434782608695,0.3225806451612903,0.3880597014925373,0.3636363636363636,0.0,0.6538461538461539,0.5555555555555556,0.3770491803278688,0.3953488372093023,0.5625,0.5192307692307693,6,7,58.0,18.0,16.0,0.1034482758620689,0.3888888888888889,0.0,19,0.0,84.0,4.421052631578948,-0.4,97.4,5.126315789473685,6.7,0.1,-7.6,-6.5,-1.1,0.0053185942225466,0.458,0.174,0.478,-0.3,-0.1,W (+13),W (+13)
9.0,4.0,2022-11-05,30-110,MIL,OKC,0,0.9666666666666668,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,,22,32,35,16,27,31,36,19,20,26,12,34,5,23,17,9,27,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,52.0,0.6285714285714286,0.4571428571428571,0.4487179487179487,0.3478260869565217,0.4285714285714285,0.4305555555555556,0.4444444444444444,0.4130434782608695,0.3225806451612903,0.3880597014925373,0.3636363636363636,0.0,0.6538461538461539,0.5555555555555556,0.3770491803278688,0.3953488372093023,0.5625,0.5192307692307693,6,7,58.0,18.0,16.0,0.1034482758620689,0.3888888888888889,0.0,19,2.0,70.0,3.684210526315789,1.0,78.7,4.142105263157895,6.7,0.1,-7.6,-6.5,-1.1,0.0053185942225466,0.458,0.174,0.478,-0.3,-0.1,W (+14),W (+14)
10.0,5.0,2022-11-07,30-112,MIL,ATL,0,3.85,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,+4,0.0,0.0,,22,32,35,16,27,31,36,19,20,26,12,34,5,23,17,9,27,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,52.0,0.6285714285714286,0.4571428571428571,0.4487179487179487,0.3478260869565217,0.4285714285714285,0.4305555555555556,0.4444444444444444,0.4130434782608695,0.3225806451612903,0.3880597014925373,0.3636363636363636,0.0,0.6538461538461539,0.5555555555555556,0.3770491803278688,0.3953488372093023,0.5625,0.5192307692307693,6,7,58.0,18.0,16.0,0.1034482758620689,0.3888888888888889,0.0,19,1.0,45.0,2.3684210526315788,0.7,54.8,2.884210526315789,6.7,0.1,-7.6,-6.5,-1.1,0.0053185942225466,0.458,0.174,0.478,-0.3,-0.1,L (-19),L (-19)
