Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with Giannis Antetokounmpo,Shared Games with Goran Dragić,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Pat Connaughton,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,Giannis Antetokounmpo,Goran Dragić,Grayson Allen,Jevon Carter,Joe Ingles,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Thanasis Antetokounmpo,Tyrese Martin,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with Giannis Antetokounmpo,co_inf with Goran Dragić,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Thanasis Antetokounmpo,co_inf with Tyrese Martin,co_inf with Wesley Matthews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,32-105,PHO,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,7,15,13,10,3,10,15,14,13,10,8,13,7,7,35.0,70.0,78.0,63.0,58.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,37.0,16.0,52.0,0.2,0.2142857142857142,0.1666666666666666,0.1587301587301587,0.0517241379310344,0.1388888888888889,0.1851851851851851,0.3043478260869565,0.1940298507462686,0.303030303030303,0.0,0.1538461538461538,0.0,0.2131147540983606,0.1891891891891892,0.0,0.1346153846153846,16,,69.0,4.3125,0.0,68.89999999999999,4.30625,14.6,1.2,1.2,0.1,1.1,0.0129314839920742,0.624,0.585,0.128,0.3,0.7,W (+2),W (+2)
2.0,,2022-10-21,32-107,PHO,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,7,15,13,10,3,10,15,14,13,10,8,13,7,7,35.0,70.0,78.0,63.0,58.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,37.0,16.0,52.0,0.2,0.2142857142857142,0.1666666666666666,0.1587301587301587,0.0517241379310344,0.1388888888888889,0.1851851851851851,0.3043478260869565,0.1940298507462686,0.303030303030303,0.0,0.1538461538461538,0.0,0.2131147540983606,0.1891891891891892,0.0,0.1346153846153846,16,,81.0,5.0625,0.0,87.2,5.45,14.6,1.2,1.2,0.1,1.1,0.0129314839920742,0.624,0.585,0.128,0.3,0.7,L (-2),L (-2)
3.0,,2022-10-23,32-109,PHO,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,7,15,13,10,3,10,15,14,13,10,8,13,7,7,35.0,70.0,78.0,63.0,58.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,37.0,16.0,52.0,0.2,0.2142857142857142,0.1666666666666666,0.1587301587301587,0.0517241379310344,0.1388888888888889,0.1851851851851851,0.3043478260869565,0.1940298507462686,0.303030303030303,0.0,0.1538461538461538,0.0,0.2131147540983606,0.1891891891891892,0.0,0.1346153846153846,16,,61.0,3.8125,0.0,68.89999999999999,4.30625,14.6,1.2,1.2,0.1,1.1,0.0129314839920742,0.624,0.585,0.128,0.3,0.7,W (+17),W (+17)
4.0,,2022-10-25,32-111,PHO,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,7,15,13,10,3,10,15,14,13,10,8,13,7,7,35.0,70.0,78.0,63.0,58.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,37.0,16.0,52.0,0.2,0.2142857142857142,0.1666666666666666,0.1587301587301587,0.0517241379310344,0.1388888888888889,0.1851851851851851,0.3043478260869565,0.1940298507462686,0.303030303030303,0.0,0.1538461538461538,0.0,0.2131147540983606,0.1891891891891892,0.0,0.1346153846153846,16,,74.0,4.625,0.0,89.39999999999999,5.5875,14.6,1.2,1.2,0.1,1.1,0.0129314839920742,0.624,0.585,0.128,0.3,0.7,W (+29),W (+29)
5.0,,2022-10-28,32-114,PHO,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,7,15,13,10,3,10,15,14,13,10,8,13,7,7,35.0,70.0,78.0,63.0,58.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,37.0,16.0,52.0,0.2,0.2142857142857142,0.1666666666666666,0.1587301587301587,0.0517241379310344,0.1388888888888889,0.1851851851851851,0.3043478260869565,0.1940298507462686,0.303030303030303,0.0,0.1538461538461538,0.0,0.2131147540983606,0.1891891891891892,0.0,0.1346153846153846,16,,81.0,5.0625,0.0,97.6,6.1,14.6,1.2,1.2,0.1,1.1,0.0129314839920742,0.624,0.585,0.128,0.3,0.7,W (+13),W (+13)
6.0,,2022-10-30,32-116,PHO,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,7,15,13,10,3,10,15,14,13,10,8,13,7,7,35.0,70.0,78.0,63.0,58.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,37.0,16.0,52.0,0.2,0.2142857142857142,0.1666666666666666,0.1587301587301587,0.0517241379310344,0.1388888888888889,0.1851851851851851,0.3043478260869565,0.1940298507462686,0.303030303030303,0.0,0.1538461538461538,0.0,0.2131147540983606,0.1891891891891892,0.0,0.1346153846153846,16,,66.0,4.125,0.0,80.6,5.0375,14.6,1.2,1.2,0.1,1.1,0.0129314839920742,0.624,0.585,0.128,0.3,0.7,W (+15),W (+15)
7.0,,2022-11-01,32-118,PHO,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,7,15,13,10,3,10,15,14,13,10,8,13,7,7,35.0,70.0,78.0,63.0,58.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,37.0,16.0,52.0,0.2,0.2142857142857142,0.1666666666666666,0.1587301587301587,0.0517241379310344,0.1388888888888889,0.1851851851851851,0.3043478260869565,0.1940298507462686,0.303030303030303,0.0,0.1538461538461538,0.0,0.2131147540983606,0.1891891891891892,0.0,0.1346153846153846,16,,70.0,4.375,0.0,79.09999999999998,4.943749999999999,14.6,1.2,1.2,0.1,1.1,0.0129314839920742,0.624,0.585,0.128,0.3,0.7,W (+9),W (+9)
8.0,,2022-11-04,32-121,PHO,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,7,15,13,10,3,10,15,14,13,10,8,13,7,7,35.0,70.0,78.0,63.0,58.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,37.0,16.0,52.0,0.2,0.2142857142857142,0.1666666666666666,0.1587301587301587,0.0517241379310344,0.1388888888888889,0.1851851851851851,0.3043478260869565,0.1940298507462686,0.303030303030303,0.0,0.1538461538461538,0.0,0.2131147540983606,0.1891891891891892,0.0,0.1346153846153846,16,,84.0,5.25,0.0,97.0,6.0625,14.6,1.2,1.2,0.1,1.1,0.0129314839920742,0.624,0.585,0.128,0.3,0.7,L (-2),L (-2)
9.0,,2022-11-05,32-122,PHO,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,7,15,13,10,3,10,15,14,13,10,8,13,7,7,35.0,70.0,78.0,63.0,58.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,37.0,16.0,52.0,0.2,0.2142857142857142,0.1666666666666666,0.1587301587301587,0.0517241379310344,0.1388888888888889,0.1851851851851851,0.3043478260869565,0.1940298507462686,0.303030303030303,0.0,0.1538461538461538,0.0,0.2131147540983606,0.1891891891891892,0.0,0.1346153846153846,16,,72.0,4.5,0.0,79.69999999999999,4.981249999999999,14.6,1.2,1.2,0.1,1.1,0.0129314839920742,0.624,0.585,0.128,0.3,0.7,W (+20),W (+20)
10.0,,2022-11-07,32-124,PHO,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,7,15,13,10,3,10,15,14,13,10,8,13,7,7,35.0,70.0,78.0,63.0,58.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,37.0,16.0,52.0,0.2,0.2142857142857142,0.1666666666666666,0.1587301587301587,0.0517241379310344,0.1388888888888889,0.1851851851851851,0.3043478260869565,0.1940298507462686,0.303030303030303,0.0,0.1538461538461538,0.0,0.2131147540983606,0.1891891891891892,0.0,0.1346153846153846,16,,46.0,2.875,0.0,55.5,3.46875,14.6,1.2,1.2,0.1,1.1,0.0129314839920742,0.624,0.585,0.128,0.3,0.7,L (-12),L (-12)
