Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,1.0,2023-03-07,24-344,MIL,ORL,0,0.6666666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,0.0,,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,18.0,16.0,0.0,0.0,0.0,0,0.0,69.0,0.0,0.0,0,,11.8,0.1,-6.7,-3.1,-3.6,0.0052143080613202,0.61,0.486,0.243,-0.1,0.0,W (+11),W (+11)
2,,2023-03-09,24-346,MIL,BRK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,18.0,16.0,0.0,0.0,0.0,0,,81.0,0.0,0.0,0,,11.8,0.1,-6.7,-3.1,-3.6,0.0052143080613202,0.61,0.486,0.243,-0.1,0.0,W (+5),W (+5)
3,,2023-03-11,24-348,MIL,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,18.0,16.0,0.0,0.0,0.0,0,,61.0,0.0,0.0,0,,11.8,0.1,-6.7,-3.1,-3.6,0.0052143080613202,0.61,0.486,0.243,-0.1,0.0,L (-9),L (-9)
4,,2023-03-13,24-350,MIL,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,18.0,16.0,0.0,0.0,0.0,0,,74.0,0.0,0.0,0,,11.8,0.1,-6.7,-3.1,-3.6,0.0052143080613202,0.61,0.486,0.243,-0.1,0.0,W (+9),W (+9)
5,,2023-03-14,24-351,MIL,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,18.0,16.0,0.0,0.0,0.0,0,,81.0,0.0,0.0,0,,11.8,0.1,-6.7,-3.1,-3.6,0.0052143080613202,0.61,0.486,0.243,-0.1,0.0,W (+12),W (+12)
6,2.0,2023-03-16,24-353,MIL,IND,0,2.216666666666667,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3,0,2.0,1.0,0.5,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,18.0,16.0,0.0,0.0,0.0,0,-1.0,67.0,0.0,0.3000000000000002,0,,11.8,0.1,-6.7,-3.1,-3.6,0.0052143080613202,0.61,0.486,0.243,-0.1,0.0,L (-16),L (-16)
7,,2023-03-19,24-356,MIL,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,18.0,16.0,0.0,0.0,0.0,0,,70.0,0.0,0.0,0,,11.8,0.1,-6.7,-3.1,-3.6,0.0052143080613202,0.61,0.486,0.243,-0.1,0.0,W (+7),W (+7)
8,3.0,2023-03-22,24-359,MIL,SAS,0,6.2,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,+11,1.0,1.0,1.0,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,18.0,16.0,0.0,0.0,0.0,0,-1.0,85.0,0.0,0.0,0,,11.8,0.1,-6.7,-3.1,-3.6,0.0052143080613202,0.61,0.486,0.243,-0.1,0.0,W (+36),W (+36)
9,4.0,2023-03-24,24-361,MIL,UTA,0,8.083333333333334,1.0,4.0,.250,0.0,2.0,.000,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.2,-6,2.0,1.0,0.5,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,18.0,16.0,0.0,0.0,0.0,0,-1.0,73.0,0.0,0.4000000000000003,0,,11.8,0.1,-6.7,-3.1,-3.6,0.0052143080613202,0.61,0.486,0.243,-0.1,0.0,W (+28),W (+28)
10,,2023-03-25,24-362,MIL,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,18.0,16.0,0.0,0.0,0.0,0,,46.0,0.0,0.0,0,,11.8,0.1,-6.7,-3.1,-3.6,0.0052143080613202,0.61,0.486,0.243,-0.1,0.0,L (-23),L (-23)
