Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-20,31-069,MIL,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,24,31,8,27,30,33,24,9,29,14,2,31,5,12,20,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.2571428571428571,0.3428571428571428,0.3974358974358974,0.1739130434782608,0.4285714285714285,0.4166666666666667,0.4074074074074074,0.5217391304347826,0.1451612903225806,0.4328358208955223,0.0,0.2692307692307692,0.2222222222222222,0.5081967213114754,0.1162790697674418,0.0,0.3243243243243243,0.3846153846153846,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,18,,69.0,3.8333333333333335,0.0,72.79999999999998,4.044444444444443,17.4,1.9,0.8,1.0,-0.3,0.0518302221295234,0.551,0.399,0.251,0.6,1.0,W (+2),W (+2)
2.0,,2022-10-22,31-071,MIL,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,24,31,8,27,30,33,24,9,29,14,2,31,5,12,20,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.2571428571428571,0.3428571428571428,0.3974358974358974,0.1739130434782608,0.4285714285714285,0.4166666666666667,0.4074074074074074,0.5217391304347826,0.1451612903225806,0.4328358208955223,0.0,0.2692307692307692,0.2222222222222222,0.5081967213114754,0.1162790697674418,0.0,0.3243243243243243,0.3846153846153846,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,18,,81.0,4.5,0.0,89.2,4.955555555555556,17.4,1.9,0.8,1.0,-0.3,0.0518302221295234,0.551,0.399,0.251,0.6,1.0,W (+20),W (+20)
3.0,,2022-10-26,31-075,MIL,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,24,31,8,27,30,33,24,9,29,14,2,31,5,12,20,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.2571428571428571,0.3428571428571428,0.3974358974358974,0.1739130434782608,0.4285714285714285,0.4166666666666667,0.4074074074074074,0.5217391304347826,0.1451612903225806,0.4328358208955223,0.0,0.2692307692307692,0.2222222222222222,0.5081967213114754,0.1162790697674418,0.0,0.3243243243243243,0.3846153846153846,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,18,,61.0,3.388888888888889,0.0,70.79999999999998,3.933333333333332,17.4,1.9,0.8,1.0,-0.3,0.0518302221295234,0.551,0.399,0.251,0.6,1.0,W (+11),W (+11)
4.0,,2022-10-28,31-077,MIL,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,24,31,8,27,30,33,24,9,29,14,2,31,5,12,20,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.2571428571428571,0.3428571428571428,0.3974358974358974,0.1739130434782608,0.4285714285714285,0.4166666666666667,0.4074074074074074,0.5217391304347826,0.1451612903225806,0.4328358208955223,0.0,0.2692307692307692,0.2222222222222222,0.5081967213114754,0.1162790697674418,0.0,0.3243243243243243,0.3846153846153846,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,18,,74.0,4.111111111111111,0.0,88.99999999999999,4.944444444444444,17.4,1.9,0.8,1.0,-0.3,0.0518302221295234,0.551,0.399,0.251,0.6,1.0,W (+11),W (+11)
5.0,,2022-10-29,31-078,MIL,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,24,31,8,27,30,33,24,9,29,14,2,31,5,12,20,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.2571428571428571,0.3428571428571428,0.3974358974358974,0.1739130434782608,0.4285714285714285,0.4166666666666667,0.4074074074074074,0.5217391304347826,0.1451612903225806,0.4328358208955223,0.0,0.2692307692307692,0.2222222222222222,0.5081967213114754,0.1162790697674418,0.0,0.3243243243243243,0.3846153846153846,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,18,,81.0,4.5,0.0,97.6,5.422222222222222,17.4,1.9,0.8,1.0,-0.3,0.0518302221295234,0.551,0.399,0.251,0.6,1.0,W (+8),W (+8)
6.0,,2022-10-31,31-080,MIL,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,24,31,8,27,30,33,24,9,29,14,2,31,5,12,20,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.2571428571428571,0.3428571428571428,0.3974358974358974,0.1739130434782608,0.4285714285714285,0.4166666666666667,0.4074074074074074,0.5217391304347826,0.1451612903225806,0.4328358208955223,0.0,0.2692307692307692,0.2222222222222222,0.5081967213114754,0.1162790697674418,0.0,0.3243243243243243,0.3846153846153846,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,18,,66.0,3.6666666666666665,0.0,80.59999999999998,4.477777777777777,17.4,1.9,0.8,1.0,-0.3,0.0518302221295234,0.551,0.399,0.251,0.6,1.0,W (+2),W (+2)
7.0,,2022-11-02,31-082,MIL,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,24,31,8,27,30,33,24,9,29,14,2,31,5,12,20,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.2571428571428571,0.3428571428571428,0.3974358974358974,0.1739130434782608,0.4285714285714285,0.4166666666666667,0.4074074074074074,0.5217391304347826,0.1451612903225806,0.4328358208955223,0.0,0.2692307692307692,0.2222222222222222,0.5081967213114754,0.1162790697674418,0.0,0.3243243243243243,0.3846153846153846,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,18,,70.0,3.888888888888889,0.0,79.89999999999999,4.438888888888888,17.4,1.9,0.8,1.0,-0.3,0.0518302221295234,0.551,0.399,0.251,0.6,1.0,W (+25),W (+25)
8.0,,2022-11-04,31-084,MIL,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,24,31,8,27,30,33,24,9,29,14,2,31,5,12,20,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.2571428571428571,0.3428571428571428,0.3974358974358974,0.1739130434782608,0.4285714285714285,0.4166666666666667,0.4074074074074074,0.5217391304347826,0.1451612903225806,0.4328358208955223,0.0,0.2692307692307692,0.2222222222222222,0.5081967213114754,0.1162790697674418,0.0,0.3243243243243243,0.3846153846153846,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,18,,84.0,4.666666666666667,0.0,97.0,5.388888888888889,17.4,1.9,0.8,1.0,-0.3,0.0518302221295234,0.551,0.399,0.251,0.6,1.0,W (+13),W (+13)
9.0,,2022-11-05,31-085,MIL,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,24,31,8,27,30,33,24,9,29,14,2,31,5,12,20,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.2571428571428571,0.3428571428571428,0.3974358974358974,0.1739130434782608,0.4285714285714285,0.4166666666666667,0.4074074074074074,0.5217391304347826,0.1451612903225806,0.4328358208955223,0.0,0.2692307692307692,0.2222222222222222,0.5081967213114754,0.1162790697674418,0.0,0.3243243243243243,0.3846153846153846,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,18,,72.0,4.0,0.0,79.7,4.427777777777778,17.4,1.9,0.8,1.0,-0.3,0.0518302221295234,0.551,0.399,0.251,0.6,1.0,W (+14),W (+14)
10.0,,2022-11-07,31-087,MIL,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,24,31,8,27,30,33,24,9,29,14,2,31,5,12,20,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.2571428571428571,0.3428571428571428,0.3974358974358974,0.1739130434782608,0.4285714285714285,0.4166666666666667,0.4074074074074074,0.5217391304347826,0.1451612903225806,0.4328358208955223,0.0,0.2692307692307692,0.2222222222222222,0.5081967213114754,0.1162790697674418,0.0,0.3243243243243243,0.3846153846153846,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,18,,46.0,2.555555555555556,0.0,55.50000000000001,3.083333333333334,17.4,1.9,0.8,1.0,-0.3,0.0518302221295234,0.551,0.399,0.251,0.6,1.0,L (-19),L (-19)
