Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Aaron Nesmith,Shared Games with Andrew Nembhard,Shared Games with Bennedict Mathurin,Shared Games with Buddy Hield,Shared Games with Chris Duarte,Shared Games with Daniel Theis,Shared Games with Isaiah Jackson,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Myles Turner,Shared Games with Oshae Brissett,Shared Games with T.J. McConnell,Shared Games with Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,Daniel Theis,Gabe York,Isaiah Jackson,Jalen Smith,James Johnson,John Collins,Kendall Brown,Myles Turner,Oshae Brissett,T.J. McConnell,Trevelin Queen,Tyrese Haliburton,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with John Collins,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-20,24-041,MIL,@,PHI,W (+2),0,15:52,2.0,5.0,.400,2.0,4.0,.500,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,3.8,-1,1.0,0.0,0.0,18,34,37,40,28,34,38,10,29,9,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5,25,22,24,20,22,13,3,20,20,5,15,15,22,12,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,71.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3013698630136986,0.32,0.2564102564102564,0.275,0.2826086956521739,0.4285714285714285,0.0,0.3174603174603174,0.2941176470588235,0.2777777777777778,0.0,0.0,0.2419354838709677,0.2307692307692307,0.2933333333333333,0.0,0.2142857142857142,31,4.0,59.0,1.903225806451613,3.8,58.8,1.896774193548387
1,2,2,2022-10-22,24-043,MIL,,HOU,W (+20),0,17:41,4.0,6.0,.667,1.0,1.0,1.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,9.0,3.9,+15,5.0,3.0,0.6,18,34,37,40,28,34,38,10,29,9,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5,25,22,24,20,22,13,3,20,20,5,15,15,22,12,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,71.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3013698630136986,0.32,0.2564102564102564,0.275,0.2826086956521739,0.4285714285714285,0.0,0.3174603174603174,0.2941176470588235,0.2777777777777778,0.0,0.0,0.2419354838709677,0.2307692307692307,0.2933333333333333,0.0,0.2142857142857142,31,3.0,109.0,3.5161290322580645,3.9,103.09999999999997,3.3258064516129022
2,3,3,2022-10-26,24-047,MIL,,BRK,W (+11),0,16:39,1.0,2.0,.500,1.0,1.0,1.000,0,0.0,,1.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,4.9,+6,1.0,0.0,0.0,18,34,37,40,28,34,38,10,29,9,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5,25,22,24,20,22,13,3,20,20,5,15,15,22,12,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,71.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3013698630136986,0.32,0.2564102564102564,0.275,0.2826086956521739,0.4285714285714285,0.0,0.3174603174603174,0.2941176470588235,0.2777777777777778,0.0,0.0,0.2419354838709677,0.2307692307692307,0.2933333333333333,0.0,0.2142857142857142,31,8.0,92.0,2.967741935483871,4.9,91.5,2.9516129032258065
3,4,4,2022-10-28,24-049,MIL,,NYK,W (+11),0,11:52,0.0,6.0,.000,0.0,2.0,.000,0,0.0,,2.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,-4.4,-14,4.0,0.0,0.0,18,34,37,40,28,34,38,10,29,9,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5,25,22,24,20,22,13,3,20,20,5,15,15,22,12,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,71.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3013698630136986,0.32,0.2564102564102564,0.275,0.2826086956521739,0.4285714285714285,0.0,0.3174603174603174,0.2941176470588235,0.2777777777777778,0.0,0.0,0.2419354838709677,0.2307692307692307,0.2933333333333333,0.0,0.2142857142857142,31,-3.0,86.0,2.774193548387097,-4.4,76.8,2.47741935483871
4,5,5,2022-10-29,24-050,MIL,,ATL,W (+8),0,15:00,3.0,6.0,.500,2.0,4.0,.500,3,3.0,1.000,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,11.0,7.9,+1,2.0,1.0,0.5,18,34,37,40,28,34,38,10,29,9,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5,25,22,24,20,22,13,3,20,20,5,15,15,22,12,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,71.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3013698630136986,0.32,0.2564102564102564,0.275,0.2826086956521739,0.4285714285714285,0.0,0.3174603174603174,0.2941176470588235,0.2777777777777778,0.0,0.0,0.2419354838709677,0.2307692307692307,0.2933333333333333,0.0,0.2142857142857142,31,4.0,86.0,2.774193548387097,6.6999999999999975,80.89999999999998,2.609677419354838
5,6,6,2022-10-31,24-052,MIL,,DET,W (+2),0,13:11,0.0,4.0,.000,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.9,-3,1.0,0.0,0.0,18,34,37,40,28,34,38,10,29,9,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5,25,22,24,20,22,13,3,20,20,5,15,15,22,12,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,71.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3013698630136986,0.32,0.2564102564102564,0.275,0.2826086956521739,0.4285714285714285,0.0,0.3174603174603174,0.2941176470588235,0.2777777777777778,0.0,0.0,0.2419354838709677,0.2307692307692307,0.2933333333333333,0.0,0.2142857142857142,31,0.0,80.0,2.5806451612903225,-0.9,93.10000000000002,3.0032258064516135
6,7,7,2022-11-02,24-054,MIL,,DET,W (+25),0,25:31,4.0,9.0,.444,2.0,5.0,.400,2,2.0,1.000,2.0,2.0,4.0,1.0,2.0,0.0,4.0,1.0,12.0,7.6,+8,4.0,2.0,0.5,18,34,37,40,28,34,38,10,29,9,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5,25,22,24,20,22,13,3,20,20,5,15,15,22,12,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,71.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3013698630136986,0.32,0.2564102564102564,0.275,0.2826086956521739,0.4285714285714285,0.0,0.3174603174603174,0.2941176470588235,0.2777777777777778,0.0,0.0,0.2419354838709677,0.2307692307692307,0.2933333333333333,0.0,0.2142857142857142,31,4.0,105.0,3.3870967741935485,6.799999999999999,100.0,3.225806451612903
7,8,8,2022-11-04,24-056,MIL,@,MIN,W (+13),0,13:04,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,-2.2,-12,1.0,0.0,0.0,18,34,37,40,28,34,38,10,29,9,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5,25,22,24,20,22,13,3,20,20,5,15,15,22,12,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,71.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3013698630136986,0.32,0.2564102564102564,0.275,0.2826086956521739,0.4285714285714285,0.0,0.3174603174603174,0.2941176470588235,0.2777777777777778,0.0,0.0,0.2419354838709677,0.2307692307692307,0.2933333333333333,0.0,0.2142857142857142,31,-1.0,61.0,1.967741935483871,-2.2,66.1,2.1322580645161286
8,9,9,2022-11-05,24-057,MIL,,OKC,W (+14),0,22:18,4.0,10.0,.400,1.0,5.0,.200,3,3.0,1.000,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,12.0,9.2,-1,5.0,3.0,0.6,18,34,37,40,28,34,38,10,29,9,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5,25,22,24,20,22,13,3,20,20,5,15,15,22,12,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,71.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3013698630136986,0.32,0.2564102564102564,0.275,0.2826086956521739,0.4285714285714285,0.0,0.3174603174603174,0.2941176470588235,0.2777777777777778,0.0,0.0,0.2419354838709677,0.2307692307692307,0.2933333333333333,0.0,0.2142857142857142,31,4.0,76.0,2.4516129032258065,7.999999999999999,72.60000000000001,2.341935483870968
9,10,10,2022-11-07,24-059,MIL,@,ATL,L (-19),0,17:04,1.0,6.0,.167,0.0,2.0,.000,2,2.0,1.000,1.0,5.0,6.0,0.0,0.0,1.0,0.0,2.0,4.0,2.3,-2,4.0,1.0,0.25,18,34,37,40,28,34,38,10,29,9,25,8,22,16,16,20,26,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.5142857142857142,0.4857142857142857,0.4743589743589743,0.8695652173913043,0.4444444444444444,0.4722222222222222,0.4691358024691358,0.217391304347826,0.4328358208955223,0.2727272727272727,0.0,0.4807692307692308,0.8888888888888888,0.360655737704918,0.3720930232558139,1.0,0.5405405405405406,0.5,25,22,24,20,22,13,3,20,20,5,15,15,22,12,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,71.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3013698630136986,0.32,0.2564102564102564,0.275,0.2826086956521739,0.4285714285714285,0.0,0.3174603174603174,0.2941176470588235,0.2777777777777778,0.0,0.0,0.2419354838709677,0.2307692307692307,0.2933333333333333,0.0,0.2142857142857142,31,3.0,103.0,3.3225806451612905,1.5000000000000016,109.29999999999998,3.525806451612903
