Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Nesmith,Shared Games with Andrew Nembhard,Shared Games with Bennedict Mathurin,Shared Games with Buddy Hield,Shared Games with Chris Duarte,Shared Games with Daniel Theis,Shared Games with Goga Bitadze,Shared Games with Isaiah Jackson,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Kendall Brown,Shared Games with Myles Turner,Shared Games with Oshae Brissett,Shared Games with T.J. McConnell,Shared Games with Terry Taylor,Aaron Nesmith,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,Daniel Theis,Gabe York,Goga Bitadze,Isaiah Jackson,Jalen Smith,James Johnson,Kendall Brown,Myles Turner,Oshae Brissett,T.J. McConnell,Terry Taylor,Trevelin Queen,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Goga Bitadze,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Terry Taylor,co_inf with Trevelin Queen,Shared Games with George Hill,Shared Games with Jordan Nwora,George Hill,John Collins,Jordan Nwora,Serge Ibaka,co_inf with George Hill,co_inf with John Collins,co_inf with Jordan Nwora,co_inf with Serge Ibaka,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-09,22-253,IND,DEN,1.0,33.2,9.0,15.0,0.6,3.0,8.0,0.375,0.0,0.0,,0.0,1.0,1.0,12.0,3.0,0.0,1.0,0.0,21.0,24.8,-12.0,7.0,6.0,0.8571428571428571,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,21.0,80.0,4.705882352941177,24.8,74.8,4.4,23.6,7.6,7.2,7.0,0.2,0.1216570529627687,0.624,0.478,0.239,4.4,6.4,L (-3),L (-3)
12.0,12.0,2022-11-12,22-256,IND,TOR,1.0,39.16666666666666,3.0,14.0,0.214,2.0,9.0,0.222,0.0,1.0,0.0,1.0,5.0,6.0,15.0,2.0,1.0,3.0,2.0,8.0,10.6,26.0,5.0,1.0,0.2,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,14.0,82.0,4.823529411764706,10.599999999999998,85.5,5.029411764705882,23.6,7.6,7.2,7.0,0.2,0.1216570529627687,0.624,0.478,0.239,4.4,6.4,W (+14),W (+14)
13.0,13.0,2022-11-16,22-260,IND,CHO,1.0,32.03333333333333,9.0,15.0,0.6,3.0,8.0,0.375,1.0,1.0,1.0,0.0,2.0,2.0,11.0,3.0,0.0,3.0,1.0,22.0,23.0,11.0,7.0,6.0,0.8571428571428571,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,19.0,84.0,4.941176470588236,22.60000000000001,89.19999999999999,5.247058823529411,23.6,7.6,7.2,7.0,0.2,0.1216570529627687,0.624,0.478,0.239,4.4,6.4,W (+12),W (+12)
14.0,14.0,2022-11-18,22-262,IND,HOU,1.0,36.46666666666667,7.0,16.0,0.438,2.0,9.0,0.222,3.0,3.0,1.0,0.0,6.0,6.0,8.0,1.0,0.0,1.0,1.0,19.0,17.6,0.0,7.0,5.0,0.7142857142857143,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,14.0,77.0,4.529411764705882,16.400000000000006,71.8,4.223529411764706,23.6,7.6,7.2,7.0,0.2,0.1216570529627687,0.624,0.478,0.239,4.4,6.4,W (+8),W (+8)
15.0,15.0,2022-11-19,22-263,IND,ORL,1.0,33.96666666666667,9.0,16.0,0.563,3.0,8.0,0.375,1.0,2.0,0.5,1.0,3.0,4.0,14.0,2.0,3.0,3.0,3.0,22.0,25.3,4.0,8.0,6.0,0.75,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,24.0,58.0,3.411764705882353,24.9,68.7,4.041176470588235,23.6,7.6,7.2,7.0,0.2,0.1216570529627687,0.624,0.478,0.239,4.4,6.4,W (+1),W (+1)
16.0,16.0,2022-11-21,22-265,IND,ORL,1.0,27.416666666666668,7.0,12.0,0.583,1.0,5.0,0.2,3.0,3.0,1.0,0.0,4.0,4.0,14.0,0.0,0.0,7.0,0.0,18.0,16.4,13.0,7.0,6.0,0.8571428571428571,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,14.0,91.0,5.352941176470588,15.2,88.00000000000001,5.176470588235295,23.6,7.6,7.2,7.0,0.2,0.1216570529627687,0.624,0.478,0.239,4.4,6.4,W (+21),W (+21)
17.0,17.0,2022-11-23,22-267,IND,MIN,1.0,35.05,4.0,15.0,0.267,2.0,7.0,0.286,0.0,0.0,,1.0,1.0,2.0,14.0,1.0,0.0,3.0,0.0,10.0,9.9,-19.0,8.0,2.0,0.25,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,9.0,42.0,2.4705882352941178,9.9,60.8,3.576470588235294,23.6,7.6,7.2,7.0,0.2,0.1216570529627687,0.624,0.478,0.239,4.4,6.4,L (-14),L (-14)
18.0,18.0,2022-11-25,22-269,IND,BRK,1.0,34.416666666666664,7.0,15.0,0.467,1.0,6.0,0.167,6.0,6.0,1.0,0.0,6.0,6.0,15.0,4.0,0.0,0.0,0.0,21.0,29.6,0.0,9.0,6.0,0.6666666666666666,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,25.0,57.0,3.3529411764705883,27.200000000000003,82.7,4.864705882352942,23.6,7.6,7.2,7.0,0.2,0.1216570529627687,0.624,0.478,0.239,4.4,6.4,W (+11),W (+11)
19.0,19.0,2022-11-27,22-271,IND,LAC,1.0,30.9,6.0,16.0,0.375,3.0,8.0,0.375,0.0,0.0,,0.0,5.0,5.0,11.0,2.0,0.0,0.0,0.0,15.0,17.4,-9.0,8.0,3.0,0.375,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,17.0,49.0,2.8823529411764706,17.4,52.69999999999999,3.099999999999999,23.6,7.6,7.2,7.0,0.2,0.1216570529627687,0.624,0.478,0.239,4.4,6.4,L (-14),L (-14)
20.0,20.0,2022-11-28,22-272,IND,LAL,1.0,35.36666666666667,10.0,22.0,0.455,3.0,7.0,0.429,1.0,3.0,0.333,2.0,5.0,7.0,14.0,1.0,1.0,0.0,1.0,24.0,25.8,5.0,15.0,7.0,0.4666666666666667,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,22.0,84.0,4.941176470588236,25.4,67.39999999999999,3.964705882352941,23.6,7.6,7.2,7.0,0.2,0.1216570529627687,0.624,0.478,0.239,4.4,6.4,W (+1),W (+1)
