Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Nesmith,Shared Games with Andrew Nembhard,Shared Games with Bennedict Mathurin,Shared Games with Buddy Hield,Shared Games with Chris Duarte,Shared Games with Daniel Theis,Shared Games with Goga Bitadze,Shared Games with Isaiah Jackson,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Kendall Brown,Shared Games with Oshae Brissett,Shared Games with T.J. McConnell,Shared Games with Terry Taylor,Shared Games with Trevelin Queen,Shared Games with Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,Daniel Theis,Gabe York,Goga Bitadze,Isaiah Jackson,Jalen Smith,James Johnson,Kendall Brown,Oshae Brissett,T.J. McConnell,Terry Taylor,Trevelin Queen,Tyrese Haliburton,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Goga Bitadze,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Terry Taylor,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,Shared Games with George Hill,Shared Games with Jordan Nwora,George Hill,John Collins,Jordan Nwora,Serge Ibaka,co_inf with George Hill,co_inf with John Collins,co_inf with Jordan Nwora,co_inf with Serge Ibaka,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,6,2022-11-09,26-230,IND,,DEN,L (-3),1,25:41,5.0,11.0,.455,0.0,4.0,.000,4,5.0,.800,2.0,9.0,11.0,2.0,1.0,3.0,0.0,5.0,14.0,14.5,-4,7.0,5.0,0.7142857142857143,56,56,60,62,35,6,15,43,51,10,5,50,61,19,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,65.0,75.0,31.0,7.0,56.0,0.7671232876712328,0.7466666666666667,0.7692307692307693,0.775,0.7608695652173914,0.8571428571428571,0.0,0.3947368421052631,0.6825396825396826,0.75,0.5555555555555556,0.8333333333333334,0.7692307692307693,0.8133333333333334,0.6129032258064516,0.7142857142857143,0.8571428571428571,6,15,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.2419354838709677,0.0,18,15.0,86.0,4.777777777777778,12.899999999999997,86.7,4.816666666666666
11,12,7,2022-11-12,26-233,IND,,TOR,W (+14),1,26:58,5.0,8.0,.625,2.0,3.0,.667,7,8.0,.875,2.0,8.0,10.0,0.0,0.0,2.0,1.0,4.0,19.0,17.6,+14,5.0,3.0,0.6,56,56,60,62,35,6,15,43,51,10,5,50,61,19,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,65.0,75.0,31.0,7.0,56.0,0.7671232876712328,0.7466666666666667,0.7692307692307693,0.775,0.7608695652173914,0.8571428571428571,0.0,0.3947368421052631,0.6825396825396826,0.75,0.5555555555555556,0.8333333333333334,0.7692307692307693,0.8133333333333334,0.6129032258064516,0.7142857142857143,0.8571428571428571,6,15,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.2419354838709677,0.0,18,14.0,82.0,4.555555555555555,14.799999999999995,81.3,4.516666666666667
12,13,8,2022-11-16,26-237,IND,@,CHO,W (+12),1,31:00,7.0,10.0,.700,1.0,2.0,.500,5,6.0,.833,1.0,9.0,10.0,3.0,1.0,3.0,2.0,3.0,20.0,20.8,+11,8.0,6.0,0.75,56,56,60,62,35,6,15,43,51,10,5,50,61,19,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,65.0,75.0,31.0,7.0,56.0,0.7671232876712328,0.7466666666666667,0.7692307692307693,0.775,0.7608695652173914,0.8571428571428571,0.0,0.3947368421052631,0.6825396825396826,0.75,0.5555555555555556,0.8333333333333334,0.7692307692307693,0.8133333333333334,0.6129032258064516,0.7142857142857143,0.8571428571428571,6,15,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.2419354838709677,0.0,18,19.0,84.0,4.666666666666667,18.8,93.0,5.166666666666667
13,14,9,2022-11-18,26-239,IND,@,HOU,W (+8),1,26:09,5.0,8.0,.625,0.0,0.0,,7,9.0,.778,3.0,4.0,7.0,1.0,0.0,4.0,2.0,4.0,17.0,15.8,+3,8.0,5.0,0.625,56,56,60,62,35,6,15,43,51,10,5,50,61,19,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,65.0,75.0,31.0,7.0,56.0,0.7671232876712328,0.7466666666666667,0.7692307692307693,0.775,0.7608695652173914,0.8571428571428571,0.0,0.3947368421052631,0.6825396825396826,0.75,0.5555555555555556,0.8333333333333334,0.7692307692307693,0.8133333333333334,0.6129032258064516,0.7142857142857143,0.8571428571428571,6,15,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.2419354838709677,0.0,18,10.0,81.0,4.5,13.000000000000002,75.2,4.177777777777778
14,15,10,2022-11-19,26-240,IND,,ORL,W (+1),1,34:17,8.0,13.0,.615,1.0,1.0,1.000,3,4.0,.750,4.0,7.0,11.0,0.0,1.0,1.0,2.0,4.0,20.0,16.7,+3,12.0,7.0,0.5833333333333334,56,56,60,62,35,6,15,43,51,10,5,50,61,19,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,65.0,75.0,31.0,7.0,56.0,0.7671232876712328,0.7466666666666667,0.7692307692307693,0.775,0.7608695652173914,0.8571428571428571,0.0,0.3947368421052631,0.6825396825396826,0.75,0.5555555555555556,0.8333333333333334,0.7692307692307693,0.8133333333333334,0.6129032258064516,0.7142857142857143,0.8571428571428571,6,15,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.2419354838709677,0.0,18,14.0,68.0,3.7777777777777777,15.5,78.1,4.338888888888889
15,16,11,2022-11-21,26-242,IND,,ORL,W (+21),1,26:25,3.0,9.0,.333,0.0,3.0,.000,4,4.0,1.000,0.0,5.0,5.0,1.0,1.0,3.0,1.0,3.0,10.0,8.0,+18,6.0,3.0,0.5,56,56,60,62,35,6,15,43,51,10,5,50,61,19,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,65.0,75.0,31.0,7.0,56.0,0.7671232876712328,0.7466666666666667,0.7692307692307693,0.775,0.7608695652173914,0.8571428571428571,0.0,0.3947368421052631,0.6825396825396826,0.75,0.5555555555555556,0.8333333333333334,0.7692307692307693,0.8133333333333334,0.6129032258064516,0.7142857142857143,0.8571428571428571,6,15,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.2419354838709677,0.0,18,6.0,99.0,5.5,6.4,96.8,5.377777777777777
16,17,12,2022-11-23,26-244,IND,,MIN,L (-14),1,32:33,12.0,17.0,.706,7.0,9.0,.778,0,0.0,,0.0,7.0,7.0,2.0,4.0,1.0,1.0,4.0,31.0,29.5,-15,8.0,5.0,0.625,56,56,60,62,35,6,15,43,51,10,5,50,61,19,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,65.0,75.0,31.0,7.0,56.0,0.7671232876712328,0.7466666666666667,0.7692307692307693,0.775,0.7608695652173914,0.8571428571428571,0.0,0.3947368421052631,0.6825396825396826,0.75,0.5555555555555556,0.8333333333333334,0.7692307692307693,0.8133333333333334,0.6129032258064516,0.7142857142857143,0.8571428571428571,6,15,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.2419354838709677,0.0,18,27.0,24.0,1.3333333333333333,29.5,41.2,2.288888888888889
17,18,13,2022-11-25,26-246,IND,,BRK,W (+11),1,34:00,9.0,11.0,.818,2.0,3.0,.667,3,4.0,.750,0.0,8.0,8.0,3.0,0.0,2.0,1.0,0.0,23.0,23.4,+26,8.0,7.0,0.875,56,56,60,62,35,6,15,43,51,10,5,50,61,19,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,65.0,75.0,31.0,7.0,56.0,0.7671232876712328,0.7466666666666667,0.7692307692307693,0.775,0.7608695652173914,0.8571428571428571,0.0,0.3947368421052631,0.6825396825396826,0.75,0.5555555555555556,0.8333333333333334,0.7692307692307693,0.8133333333333334,0.6129032258064516,0.7142857142857143,0.8571428571428571,6,15,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.2419354838709677,0.0,18,20.0,62.0,3.4444444444444446,22.2,87.7,4.872222222222223
18,19,14,2022-11-27,26-248,IND,@,LAC,L (-14),1,20:19,3.0,9.0,.333,1.0,6.0,.167,2,3.0,.667,0.0,5.0,5.0,0.0,0.0,0.0,3.0,4.0,9.0,0.4,-17,3.0,2.0,0.6666666666666666,56,56,60,62,35,6,15,43,51,10,5,50,61,19,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,65.0,75.0,31.0,7.0,56.0,0.7671232876712328,0.7466666666666667,0.7692307692307693,0.775,0.7608695652173914,0.8571428571428571,0.0,0.3947368421052631,0.6825396825396826,0.75,0.5555555555555556,0.8333333333333334,0.7692307692307693,0.8133333333333334,0.6129032258064516,0.7142857142857143,0.8571428571428571,6,15,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.2419354838709677,0.0,18,-1.0,67.0,3.7222222222222223,-0.4000000000000008,70.5,3.9166666666666665
19,20,15,2022-11-28,26-249,IND,@,LAL,W (+1),1,34:56,7.0,17.0,.412,1.0,7.0,.143,0,0.0,,3.0,10.0,13.0,4.0,0.0,3.0,0.0,2.0,15.0,15.1,+3,10.0,6.0,0.6,56,56,60,62,35,6,15,43,51,10,5,50,61,19,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,65.0,75.0,31.0,7.0,56.0,0.7671232876712328,0.7466666666666667,0.7692307692307693,0.775,0.7608695652173914,0.8571428571428571,0.0,0.3947368421052631,0.6825396825396826,0.75,0.5555555555555556,0.8333333333333334,0.7692307692307693,0.8133333333333334,0.6129032258064516,0.7142857142857143,0.8571428571428571,6,15,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.2419354838709677,0.0,18,18.0,88.0,4.888888888888889,15.099999999999998,77.69999999999999,4.316666666666666
