Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Nesmith,Shared Games with Bennedict Mathurin,Shared Games with Buddy Hield,Shared Games with Chris Duarte,Shared Games with Daniel Theis,Shared Games with Goga Bitadze,Shared Games with Isaiah Jackson,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Kendall Brown,Shared Games with Myles Turner,Shared Games with Oshae Brissett,Shared Games with T.J. McConnell,Shared Games with Terry Taylor,Shared Games with Trevelin Queen,Shared Games with Tyrese Haliburton,Aaron Nesmith,Bennedict Mathurin,Buddy Hield,Chris Duarte,Daniel Theis,Gabe York,Goga Bitadze,Isaiah Jackson,Jalen Smith,James Johnson,Kendall Brown,Myles Turner,Oshae Brissett,T.J. McConnell,Terry Taylor,Trevelin Queen,Tyrese Haliburton,co_inf with Aaron Nesmith,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Goga Bitadze,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Terry Taylor,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,Shared Games with George Hill,Shared Games with Jordan Nwora,George Hill,John Collins,Jordan Nwora,Serge Ibaka,co_inf with George Hill,co_inf with John Collins,co_inf with Jordan Nwora,co_inf with Serge Ibaka,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,22-276,IND,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,66,71,73,43,7,17,57,62,17,4,56,59,68,20,5,51,73.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9041095890410958,0.9102564102564102,0.9125,0.9347826086956522,1.0,0.0,0.4473684210526316,0.9047619047619048,0.9117647058823528,0.9444444444444444,0.6666666666666666,0.9032258064516128,0.9076923076923076,0.9066666666666666,0.6451612903225806,0.7142857142857143,0.9107142857142856,11,24,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3870967741935484,0.0,18,,63.0,3.5,0.0,64.4,3.577777777777778,10.0,1.2,-3.2,-2.4,-0.8,0.0743576297850026,0.528,0.408,0.096,-0.6,0.4,L (-7),L (-7)
2.0,1.0,2022-10-21,22-278,IND,SAS,0,30.33333333333333,5.0,12.0,.417,2.0,7.0,.286,2,2.0,1.000,1.0,2.0,3.0,3.0,2.0,0.0,0.0,4.0,14.0,11.4,+11,5.0,3.0,0.6,66,71,73,43,7,17,57,62,17,4,56,59,68,20,5,51,73.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9041095890410958,0.9102564102564102,0.9125,0.9347826086956522,1.0,0.0,0.4473684210526316,0.9047619047619048,0.9117647058823528,0.9444444444444444,0.6666666666666666,0.9032258064516128,0.9076923076923076,0.9066666666666666,0.6451612903225806,0.7142857142857143,0.9107142857142856,11,24,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3870967741935484,0.0,18,8.0,104.0,5.777777777777778,10.6,89.1,4.949999999999999,10.0,1.2,-3.2,-2.4,-0.8,0.0743576297850026,0.528,0.408,0.096,-0.6,0.4,L (-3),L (-3)
3.0,2.0,2022-10-22,22-279,IND,DET,0,9.266666666666667,3.0,6.0,.500,2.0,3.0,.667,0,0.0,,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,8.0,6.7,+8,3.0,1.0,0.3333333333333333,66,71,73,43,7,17,57,62,17,4,56,59,68,20,5,51,73.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9041095890410958,0.9102564102564102,0.9125,0.9347826086956522,1.0,0.0,0.4473684210526316,0.9047619047619048,0.9117647058823528,0.9444444444444444,0.6666666666666666,0.9032258064516128,0.9076923076923076,0.9066666666666666,0.6451612903225806,0.7142857142857143,0.9107142857142856,11,24,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3870967741935484,0.0,18,6.0,94.0,5.222222222222222,6.699999999999999,89.70000000000002,4.983333333333334,10.0,1.2,-3.2,-2.4,-0.8,0.0743576297850026,0.528,0.408,0.096,-0.6,0.4,W (+9),W (+9)
4.0,3.0,2022-10-24,22-281,IND,PHI,0,21.883333333333333,2.0,6.0,.333,1.0,5.0,.200,0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,5.3,-2,1.0,1.0,1.0,66,71,73,43,7,17,57,62,17,4,56,59,68,20,5,51,73.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9041095890410958,0.9102564102564102,0.9125,0.9347826086956522,1.0,0.0,0.4473684210526316,0.9047619047619048,0.9117647058823528,0.9444444444444444,0.6666666666666666,0.9032258064516128,0.9076923076923076,0.9066666666666666,0.6451612903225806,0.7142857142857143,0.9107142857142856,11,24,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3870967741935484,0.0,18,6.0,77.0,4.277777777777778,5.300000000000001,66.19999999999999,3.677777777777777,10.0,1.2,-3.2,-2.4,-0.8,0.0743576297850026,0.528,0.408,0.096,-0.6,0.4,L (-14),L (-14)
5.0,4.0,2022-10-26,22-283,IND,CHI,0,8.666666666666666,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,5.0,-5,0.0,0.0,,66,71,73,43,7,17,57,62,17,4,56,59,68,20,5,51,73.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9041095890410958,0.9102564102564102,0.9125,0.9347826086956522,1.0,0.0,0.4473684210526316,0.9047619047619048,0.9117647058823528,0.9444444444444444,0.6666666666666666,0.9032258064516128,0.9076923076923076,0.9066666666666666,0.6451612903225806,0.7142857142857143,0.9107142857142856,11,24,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3870967741935484,0.0,18,6.0,84.0,4.666666666666667,4.999999999999999,81.0,4.5,10.0,1.2,-3.2,-2.4,-0.8,0.0743576297850026,0.528,0.408,0.096,-0.6,0.4,L (-15),L (-15)
6.0,5.0,2022-10-28,22-285,IND,WAS,0,16.033333333333335,1.0,2.0,.500,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,1.9,-12,1.0,0.0,0.0,66,71,73,43,7,17,57,62,17,4,56,59,68,20,5,51,73.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9041095890410958,0.9102564102564102,0.9125,0.9347826086956522,1.0,0.0,0.4473684210526316,0.9047619047619048,0.9117647058823528,0.9444444444444444,0.6666666666666666,0.9032258064516128,0.9076923076923076,0.9066666666666666,0.6451612903225806,0.7142857142857143,0.9107142857142856,11,24,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3870967741935484,0.0,18,3.0,77.0,4.277777777777778,1.9,93.4,5.188888888888889,10.0,1.2,-3.2,-2.4,-0.8,0.0743576297850026,0.528,0.408,0.096,-0.6,0.4,W (+10),W (+10)
7.0,6.0,2022-10-29,22-286,IND,BRK,0,16.55,1.0,6.0,.167,1.0,3.0,.333,2,2.0,1.000,0.0,2.0,2.0,5.0,0.0,0.0,0.0,3.0,5.0,4.1,-2,3.0,0.0,0.0,66,71,73,43,7,17,57,62,17,4,56,59,68,20,5,51,73.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9041095890410958,0.9102564102564102,0.9125,0.9347826086956522,1.0,0.0,0.4473684210526316,0.9047619047619048,0.9117647058823528,0.9444444444444444,0.6666666666666666,0.9032258064516128,0.9076923076923076,0.9066666666666666,0.6451612903225806,0.7142857142857143,0.9107142857142856,11,24,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3870967741935484,0.0,18,4.0,105.0,5.833333333333333,3.3000000000000007,100.6,5.588888888888889,10.0,1.2,-3.2,-2.4,-0.8,0.0743576297850026,0.528,0.408,0.096,-0.6,0.4,W (+9),W (+9)
8.0,7.0,2022-10-31,22-288,IND,BRK,0,6.75,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3,-13,0.0,0.0,,66,71,73,43,7,17,57,62,17,4,56,59,68,20,5,51,73.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9041095890410958,0.9102564102564102,0.9125,0.9347826086956522,1.0,0.0,0.4473684210526316,0.9047619047619048,0.9117647058823528,0.9444444444444444,0.6666666666666666,0.9032258064516128,0.9076923076923076,0.9066666666666666,0.6451612903225806,0.7142857142857143,0.9107142857142856,11,24,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3870967741935484,0.0,18,1.0,59.0,3.2777777777777777,0.2999999999999998,63.6,3.533333333333333,10.0,1.2,-3.2,-2.4,-0.8,0.0743576297850026,0.528,0.408,0.096,-0.6,0.4,L (-7),L (-7)
9.0,8.0,2022-11-04,22-292,IND,MIA,0,27.766666666666666,2.0,8.0,.250,0.0,4.0,.000,0,0.0,,0.0,3.0,3.0,6.0,0.0,0.0,1.0,4.0,4.0,1.7,+13,4.0,2.0,0.5,66,71,73,43,7,17,57,62,17,4,56,59,68,20,5,51,73.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9041095890410958,0.9102564102564102,0.9125,0.9347826086956522,1.0,0.0,0.4473684210526316,0.9047619047619048,0.9117647058823528,0.9444444444444444,0.6666666666666666,0.9032258064516128,0.9076923076923076,0.9066666666666666,0.6451612903225806,0.7142857142857143,0.9107142857142856,11,24,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3870967741935484,0.0,18,4.0,76.0,4.222222222222222,1.6999999999999988,73.0,4.055555555555555,10.0,1.2,-3.2,-2.4,-0.8,0.0743576297850026,0.528,0.408,0.096,-0.6,0.4,W (+2),W (+2)
10.0,9.0,2022-11-07,22-295,IND,NOP,1,33.56666666666667,6.0,11.0,.545,3.0,4.0,.750,0,0.0,,1.0,2.0,3.0,5.0,2.0,0.0,3.0,3.0,15.0,12.3,+6,7.0,3.0,0.4285714285714285,66,71,73,43,7,17,57,62,17,4,56,59,68,20,5,51,73.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9041095890410958,0.9102564102564102,0.9125,0.9347826086956522,1.0,0.0,0.4473684210526316,0.9047619047619048,0.9117647058823528,0.9444444444444444,0.6666666666666666,0.9032258064516128,0.9076923076923076,0.9066666666666666,0.6451612903225806,0.7142857142857143,0.9107142857142856,11,24,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3870967741935484,0.0,18,11.0,95.0,5.277777777777778,12.3,93.89999999999998,5.216666666666665,10.0,1.2,-3.2,-2.4,-0.8,0.0743576297850026,0.528,0.408,0.096,-0.6,0.4,W (+7),W (+7)
