Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Nesmith,Shared Games with Andrew Nembhard,Shared Games with Bennedict Mathurin,Shared Games with Buddy Hield,Shared Games with Chris Duarte,Shared Games with Daniel Theis,Shared Games with Goga Bitadze,Shared Games with Isaiah Jackson,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Kendall Brown,Shared Games with Myles Turner,Shared Games with Oshae Brissett,Shared Games with Terry Taylor,Shared Games with Trevelin Queen,Shared Games with Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,Daniel Theis,Gabe York,Goga Bitadze,Isaiah Jackson,Jalen Smith,James Johnson,Kendall Brown,Myles Turner,Oshae Brissett,Terry Taylor,Trevelin Queen,Tyrese Haliburton,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Goga Bitadze,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with Terry Taylor,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,Shared Games with George Hill,Shared Games with Jordan Nwora,George Hill,John Collins,Jordan Nwora,Serge Ibaka,co_inf with George Hill,co_inf with John Collins,co_inf with Jordan Nwora,co_inf with Serge Ibaka,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,30-208,IND,WAS,0.0,16.633333333333333,4.0,9.0,0.444,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,8.0,4.9,-8.0,9.0,4.0,0.4444444444444444,67,68,73,73,43,7,20,56,63,14,4,61,58,24,5,55,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,31.0,7.0,56.0,0.9178082191780822,0.9066666666666666,0.935897435897436,0.9125,0.9347826086956522,1.0,0.0,0.5263157894736842,0.8888888888888888,0.9264705882352942,0.7777777777777778,0.6666666666666666,0.9838709677419356,0.8923076923076924,0.7741935483870968,0.7142857142857143,0.9821428571428572,9,22,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3548387096774194,0.0,18,4.0,59.0,3.2777777777777777,4.899999999999998,59.49999999999999,3.305555555555556,16.8,3.1,0.5,0.4,0.1,0.0681699003670687,0.59,0.113,0.131,1.0,1.9,L (-7),L (-7)
2.0,2.0,2022-10-21,30-210,IND,SAS,0.0,16.916666666666668,2.0,6.0,0.333,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,4.0,2.0,0.0,3.0,1.0,4.0,3.7,7.0,6.0,2.0,0.3333333333333333,67,68,73,73,43,7,20,56,63,14,4,61,58,24,5,55,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,31.0,7.0,56.0,0.9178082191780822,0.9066666666666666,0.935897435897436,0.9125,0.9347826086956522,1.0,0.0,0.5263157894736842,0.8888888888888888,0.9264705882352942,0.7777777777777778,0.6666666666666666,0.9838709677419356,0.8923076923076924,0.7741935483870968,0.7142857142857143,0.9821428571428572,9,22,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3548387096774194,0.0,18,4.0,108.0,6.0,3.700000000000001,96.0,5.333333333333333,16.8,3.1,0.5,0.4,0.1,0.0681699003670687,0.59,0.113,0.131,1.0,1.9,L (-3),L (-3)
3.0,3.0,2022-10-22,30-211,IND,DET,0.0,13.05,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,3.3,6.0,3.0,1.0,0.3333333333333333,67,68,73,73,43,7,20,56,63,14,4,61,58,24,5,55,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,31.0,7.0,56.0,0.9178082191780822,0.9066666666666666,0.935897435897436,0.9125,0.9347826086956522,1.0,0.0,0.5263157894736842,0.8888888888888888,0.9264705882352942,0.7777777777777778,0.6666666666666666,0.9838709677419356,0.8923076923076924,0.7741935483870968,0.7142857142857143,0.9821428571428572,9,22,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3548387096774194,0.0,18,5.0,95.0,5.277777777777778,3.3000000000000007,93.1,5.172222222222222,16.8,3.1,0.5,0.4,0.1,0.0681699003670687,0.59,0.113,0.131,1.0,1.9,W (+9),W (+9)
4.0,4.0,2022-10-24,30-213,IND,PHI,0.0,14.966666666666669,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,-10.0,3.0,1.0,0.3333333333333333,67,68,73,73,43,7,20,56,63,14,4,61,58,24,5,55,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,31.0,7.0,56.0,0.9178082191780822,0.9066666666666666,0.935897435897436,0.9125,0.9347826086956522,1.0,0.0,0.5263157894736842,0.8888888888888888,0.9264705882352942,0.7777777777777778,0.6666666666666666,0.9838709677419356,0.8923076923076924,0.7741935483870968,0.7142857142857143,0.9821428571428572,9,22,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3548387096774194,0.0,18,2.0,81.0,4.5,2.0,69.49999999999999,3.8611111111111103,16.8,3.1,0.5,0.4,0.1,0.0681699003670687,0.59,0.113,0.131,1.0,1.9,L (-14),L (-14)
5.0,5.0,2022-10-26,30-215,IND,CHI,0.0,11.633333333333333,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,-1.4,-14.0,5.0,0.0,0.0,67,68,73,73,43,7,20,56,63,14,4,61,58,24,5,55,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,31.0,7.0,56.0,0.9178082191780822,0.9066666666666666,0.935897435897436,0.9125,0.9347826086956522,1.0,0.0,0.5263157894736842,0.8888888888888888,0.9264705882352942,0.7777777777777778,0.6666666666666666,0.9838709677419356,0.8923076923076924,0.7741935483870968,0.7142857142857143,0.9821428571428572,9,22,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3548387096774194,0.0,18,-2.0,92.0,5.111111111111111,-1.4000000000000004,87.39999999999999,4.855555555555555,16.8,3.1,0.5,0.4,0.1,0.0681699003670687,0.59,0.113,0.131,1.0,1.9,L (-15),L (-15)
6.0,6.0,2022-10-28,30-217,IND,WAS,0.0,12.0,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,2.0,2.7,-2.0,3.0,1.0,0.3333333333333333,67,68,73,73,43,7,20,56,63,14,4,61,58,24,5,55,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,31.0,7.0,56.0,0.9178082191780822,0.9066666666666666,0.935897435897436,0.9125,0.9347826086956522,1.0,0.0,0.5263157894736842,0.8888888888888888,0.9264705882352942,0.7777777777777778,0.6666666666666666,0.9838709677419356,0.8923076923076924,0.7741935483870968,0.7142857142857143,0.9821428571428572,9,22,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3548387096774194,0.0,18,3.0,77.0,4.277777777777778,2.7,92.6,5.144444444444444,16.8,3.1,0.5,0.4,0.1,0.0681699003670687,0.59,0.113,0.131,1.0,1.9,W (+10),W (+10)
7.0,,2022-10-29,30-218,IND,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,67,68,73,73,43,7,20,56,63,14,4,61,58,24,5,55,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,31.0,7.0,56.0,0.9178082191780822,0.9066666666666666,0.935897435897436,0.9125,0.9347826086956522,1.0,0.0,0.5263157894736842,0.8888888888888888,0.9264705882352942,0.7777777777777778,0.6666666666666666,0.9838709677419356,0.8923076923076924,0.7741935483870968,0.7142857142857143,0.9821428571428572,9,22,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3548387096774194,0.0,18,,109.0,6.055555555555555,0.0,103.89999999999998,5.772222222222221,16.8,3.1,0.5,0.4,0.1,0.0681699003670687,0.59,0.113,0.131,1.0,1.9,W (+9),W (+9)
8.0,7.0,2022-10-31,30-220,IND,BRK,0.0,15.616666666666667,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,6.0,5.3,-6.0,5.0,3.0,0.6,67,68,73,73,43,7,20,56,63,14,4,61,58,24,5,55,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,31.0,7.0,56.0,0.9178082191780822,0.9066666666666666,0.935897435897436,0.9125,0.9347826086956522,1.0,0.0,0.5263157894736842,0.8888888888888888,0.9264705882352942,0.7777777777777778,0.6666666666666666,0.9838709677419356,0.8923076923076924,0.7741935483870968,0.7142857142857143,0.9821428571428572,9,22,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3548387096774194,0.0,18,4.0,56.0,3.111111111111111,5.300000000000002,58.6,3.2555555555555555,16.8,3.1,0.5,0.4,0.1,0.0681699003670687,0.59,0.113,0.131,1.0,1.9,L (-7),L (-7)
9.0,8.0,2022-11-04,30-224,IND,MIA,0.0,22.966666666666665,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,6.0,6.0,4.0,2.0,0.0,1.0,1.0,4.0,5.8,12.0,5.0,2.0,0.4,67,68,73,73,43,7,20,56,63,14,4,61,58,24,5,55,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,31.0,7.0,56.0,0.9178082191780822,0.9066666666666666,0.935897435897436,0.9125,0.9347826086956522,1.0,0.0,0.5263157894736842,0.8888888888888888,0.9264705882352942,0.7777777777777778,0.6666666666666666,0.9838709677419356,0.8923076923076924,0.7741935483870968,0.7142857142857143,0.9821428571428572,9,22,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3548387096774194,0.0,18,9.0,71.0,3.9444444444444446,5.799999999999999,68.89999999999999,3.8277777777777775,16.8,3.1,0.5,0.4,0.1,0.0681699003670687,0.59,0.113,0.131,1.0,1.9,W (+2),W (+2)
10.0,9.0,2022-11-07,30-227,IND,NOP,0.0,16.65,4.0,5.0,0.8,0.0,0.0,,2.0,3.0,0.667,0.0,3.0,3.0,3.0,0.0,1.0,3.0,0.0,10.0,8.4,-2.0,5.0,4.0,0.8,67,68,73,73,43,7,20,56,63,14,4,61,58,24,5,55,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,31.0,7.0,56.0,0.9178082191780822,0.9066666666666666,0.935897435897436,0.9125,0.9347826086956522,1.0,0.0,0.5263157894736842,0.8888888888888888,0.9264705882352942,0.7777777777777778,0.6666666666666666,0.9838709677419356,0.8923076923076924,0.7741935483870968,0.7142857142857143,0.9821428571428572,9,22,46.0,71.0,62.0,16.0,0.1956521739130435,0.0,0.3548387096774194,0.0,18,6.0,100.0,5.555555555555555,7.599999999999998,98.6,5.477777777777778,16.8,3.1,0.5,0.4,0.1,0.0681699003670687,0.59,0.113,0.131,1.0,1.9,W (+7),W (+7)
