Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Nesmith,Shared Games with Andrew Nembhard,Shared Games with Bennedict Mathurin,Shared Games with Buddy Hield,Shared Games with Chris Duarte,Shared Games with Daniel Theis,Shared Games with Goga Bitadze,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Kendall Brown,Shared Games with Myles Turner,Shared Games with Oshae Brissett,Shared Games with T.J. McConnell,Shared Games with Terry Taylor,Shared Games with Trevelin Queen,Shared Games with Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,Daniel Theis,Gabe York,Goga Bitadze,Jalen Smith,James Johnson,Kendall Brown,Myles Turner,Oshae Brissett,T.J. McConnell,Terry Taylor,Trevelin Queen,Tyrese Haliburton,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Goga Bitadze,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Terry Taylor,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,Shared Games with George Hill,Shared Games with Jordan Nwora,George Hill,John Collins,Jordan Nwora,Serge Ibaka,co_inf with George Hill,co_inf with John Collins,co_inf with Jordan Nwora,co_inf with Serge Ibaka,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
25,25,24,2022-12-07,20-331,IND,@,MIN,L (-6),0,12:15,1.0,2.0,.500,0.0,0.0,,2,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.2,-15,2.0,1.0,0.5,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,0.0,66.0,3.6666666666666665,1.4,82.9,4.605555555555556
26,26,,2022-12-09,20-333,IND,,WAS,W (+10),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,,71.0,3.9444444444444446,0.0,86.7,4.816666666666666
27,27,25,2022-12-10,20-334,IND,,BRK,L (-3),0,12:04,1.0,4.0,.250,0.0,1.0,.000,0,2.0,.000,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,-1,3.0,1.0,0.3333333333333333,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,0.0,88.0,4.888888888888889,0.0,104.59999999999998,5.81111111111111
28,28,,2022-12-12,20-336,IND,,MIA,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,,56.0,3.111111111111111,0.0,61.19999999999999,3.3999999999999995
29,29,,2022-12-14,20-338,IND,,GSW,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,,89.0,4.944444444444445,0.0,101.69999999999996,5.649999999999998
30,30,26,2022-12-16,20-340,IND,@,CLE,L (-6),0,17:56,5.0,8.0,.625,0.0,1.0,.000,0,0.0,,2.0,4.0,6.0,3.0,2.0,2.0,0.0,2.0,10.0,13.7,-7,7.0,5.0,0.7142857142857143,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,15.0,65.0,3.611111111111111,13.7,77.19999999999999,4.288888888888888
31,31,27,2022-12-18,20-342,IND,,NYK,L (-3),0,15:17,1.0,1.0,1.000,0.0,0.0,,0,0.0,,3.0,5.0,8.0,0.0,0.0,0.0,2.0,1.0,2.0,2.9,+5,1.0,1.0,1.0,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,7.0,57.0,3.1666666666666665,2.8999999999999995,60.40000000000001,3.355555555555556
32,32,,2022-12-21,20-345,IND,@,BOS,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,,90.0,5.0,0.0,92.59999999999998,5.144444444444443
33,33,,2022-12-23,20-347,IND,@,MIA,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,,94.0,5.222222222222222,0.0,82.0,4.555555555555555
34,34,28,2022-12-26,20-350,IND,@,NOP,L (-20),0,14:32,2.0,2.0,1.000,0.0,0.0,,3,4.0,.750,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,7.0,5.9,-14,2.0,2.0,1.0,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,3.0,58.0,3.2222222222222223,4.699999999999998,54.0,3.0
35,35,29,2022-12-27,20-351,IND,,ATL,W (+15),0,2:38,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-4,1.0,0.0,0.0,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,0.0,92.0,5.111111111111111,-0.3999999999999999,98.8,5.488888888888889
36,36,,2022-12-29,20-353,IND,,CLE,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,,100.0,5.555555555555555,0.0,116.4,6.466666666666667
37,37,,2022-12-31,20-355,IND,,LAC,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,,96.0,5.333333333333333,0.0,103.6,5.7555555555555555
38,38,,2023-01-02,20-357,IND,,TOR,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,,94.0,5.222222222222222,0.0,90.3,5.016666666666667
39,39,,2023-01-04,20-359,IND,@,PHI,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,,105.0,5.833333333333333,0.0,109.59999999999998,6.088888888888888
40,40,30,2023-01-06,20-361,IND,,POR,W (+9),0,14:15,5.0,6.0,.833,0.0,0.0,,2,4.0,.500,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,12.0,9.9,-7,6.0,5.0,0.8333333333333334,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,5.0,72.0,4.0,9.1,67.29999999999998,3.738888888888888
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-08,20-363,IND,,CHO,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,,81.0,4.5,0.0,85.60000000000002,4.755555555555556
43,42,31,2023-01-11,21-001,IND,@,NYK,L (-6),0,19:11,2.0,4.0,.500,0.0,1.0,.000,1,1.0,1.000,0.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,5.0,3.5,0,3.0,2.0,0.6666666666666666,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,4.0,71.0,3.9444444444444446,3.1,85.0,4.722222222222222
44,43,32,2023-01-13,21-003,IND,,ATL,L (-2),1,27:47,5.0,13.0,.385,0.0,0.0,,0,0.0,,5.0,5.0,10.0,1.0,0.0,7.0,4.0,4.0,10.0,7.9,-17,13.0,5.0,0.3846153846153846,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,11.0,54.0,3.0,7.899999999999999,70.0,3.888888888888889
45,44,33,2023-01-14,21-004,IND,,MEM,L (-18),1,25:48,5.0,9.0,.556,0.0,1.0,.000,2,2.0,1.000,4.0,3.0,7.0,1.0,1.0,4.0,1.0,4.0,12.0,13.3,-9,8.0,5.0,0.625,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,13.0,57.0,3.1666666666666665,12.499999999999998,69.4,3.855555555555556
46,45,34,2023-01-16,21-006,IND,@,MIL,L (-13),0,1:24,1.0,1.0,1.000,0.0,0.0,,1,2.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.9,+3,1.0,1.0,1.0,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,-1.0,101.0,5.611111111111111,0.5,97.2,5.4
47,46,35,2023-01-18,21-008,IND,@,OKC,L (-20),0,17:23,4.0,6.0,.667,0.0,0.0,,3,6.0,.500,4.0,3.0,7.0,0.0,1.0,0.0,1.0,2.0,11.0,10.1,-5,6.0,4.0,0.6666666666666666,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,6.0,78.0,4.333333333333333,8.899999999999997,68.7,3.816666666666667
48,47,36,2023-01-20,21-010,IND,@,DEN,L (-23),0,9:01,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.4,-5,1.0,0.0,0.0,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,-1.0,47.0,2.611111111111111,-1.4,67.49999999999999,3.749999999999999
49,48,,2023-01-21,21-011,IND,@,PHO,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,,65.0,3.611111111111111,0.0,69.49999999999999,3.8611111111111103
50,49,37,2023-01-24,21-014,IND,,CHI,W (+6),0,7:19,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,2.3,+2,0.0,0.0,,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,5.0,77.0,4.277777777777778,2.3,81.00000000000001,4.500000000000001
51,50,38,2023-01-25,21-015,IND,@,ORL,L (-6),0,12:32,3.0,4.0,.750,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,6.0,7.4,-8,4.0,3.0,0.75,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,7.0,75.0,4.166666666666667,7.399999999999999,87.6,4.866666666666666
52,51,,2023-01-27,21-017,IND,,MIL,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,,80.0,4.444444444444445,0.0,95.7,5.316666666666666
53,52,39,2023-01-29,21-019,IND,@,MEM,L (-12),0,21:26,6.0,10.0,.600,0.0,0.0,,1,1.0,1.000,1.0,3.0,4.0,1.0,0.0,3.0,0.0,4.0,13.0,11.2,+6,10.0,6.0,0.6,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,10.0,47.0,2.611111111111111,10.799999999999995,52.79999999999999,2.9333333333333327
54,53,40,2023-02-02,21-023,IND,,LAL,L (-1),0,9:18,2.0,3.0,.667,0.0,0.0,,0,0.0,,3.0,3.0,6.0,0.0,0.0,3.0,1.0,0.0,4.0,6.8,-7,3.0,2.0,0.6666666666666666,55,57,60,61,33,4,19,52,18,5,43,50,56,23,7,40,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.7534246575342466,0.76,0.7692307692307693,0.7625,0.717391304347826,0.5714285714285714,0.0,0.5,0.7647058823529411,1.0,0.8333333333333334,0.6935483870967742,0.7692307692307693,0.7466666666666667,0.7419354838709677,1.0,0.7142857142857143,10,20,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3225806451612903,0.0,18,9.0,81.0,4.5,6.799999999999999,79.70000000000002,4.427777777777779
