Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Aaron Nesmith,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,Daniel Theis,Goga Bitadze,Isaiah Jackson,Jalen Smith,James Johnson,Kendall Brown,Myles Turner,Oshae Brissett,T.J. McConnell,Terry Taylor,Trevelin Queen,Tyrese Haliburton,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Goga Bitadze,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Terry Taylor,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,George Hill,John Collins,Jordan Nwora,Serge Ibaka,co_inf with George Hill,co_inf with John Collins,co_inf with Jordan Nwora,co_inf with Serge Ibaka,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,,2023-03-31,29-241,IND,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,73.0,75.0,78.0,80.0,46.0,7.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,0,,63.0,0.0,0.0,0,,11.8,0.1,-3.5,-1.7,-1.8,0.0025170424750917,0.548,0.857,0.095,0.0,0.1,W (+4),W (+4)
2,,2023-04-02,29-243,IND,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,73.0,75.0,78.0,80.0,46.0,7.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,0,,112.0,0.0,0.0,0,,11.8,0.1,-3.5,-1.7,-1.8,0.0025170424750917,0.548,0.857,0.095,0.0,0.1,L (-10),L (-10)
3,1.0,2023-04-05,29-246,IND,NYK,0.0,14.0,3.0,7.0,0.429,3.0,6.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,6.3,22.0,1.0,0.0,0.0,73.0,75.0,78.0,80.0,46.0,7.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,0,4.0,96.0,0.0,6.3,0,,11.8,0.1,-3.5,-1.7,-1.8,0.0025170424750917,0.548,0.857,0.095,0.0,0.1,L (-9),L (-9)
4,2.0,2023-04-07,29-248,IND,DET,0.0,29.466666666666665,2.0,7.0,0.286,2.0,7.0,0.286,2.0,2.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,0.0,2.0,8.0,7.7,-6.0,0.0,0.0,,73.0,75.0,78.0,80.0,46.0,7.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,0,8.0,75.0,0.0,6.9,0,,11.8,0.1,-3.5,-1.7,-1.8,0.0025170424750917,0.548,0.857,0.095,0.0,0.1,L (-7),L (-7)
5,3.0,2023-04-09,29-250,IND,NYK,0.0,12.35,3.0,7.0,0.429,1.0,5.0,0.2,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,7.0,3.8,8.0,2.0,2.0,1.0,73.0,75.0,78.0,80.0,46.0,7.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,0,2.0,88.0,0.0,3.799999999999999,0,,11.8,0.1,-3.5,-1.7,-1.8,0.0025170424750917,0.548,0.857,0.095,0.0,0.1,W (+5),W (+5)
