Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andrew Nembhard,Shared Games with Bennedict Mathurin,Shared Games with Buddy Hield,Shared Games with Chris Duarte,Shared Games with Daniel Theis,Shared Games with Goga Bitadze,Shared Games with Isaiah Jackson,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Kendall Brown,Shared Games with Myles Turner,Shared Games with Oshae Brissett,Shared Games with T.J. McConnell,Shared Games with Terry Taylor,Shared Games with Trevelin Queen,Shared Games with Tyrese Haliburton,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,Daniel Theis,Gabe York,Goga Bitadze,Isaiah Jackson,Jalen Smith,James Johnson,Kendall Brown,Myles Turner,Oshae Brissett,T.J. McConnell,Terry Taylor,Trevelin Queen,Tyrese Haliburton,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Goga Bitadze,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Terry Taylor,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,Shared Games with George Hill,Shared Games with Jordan Nwora,George Hill,John Collins,Jordan Nwora,Serge Ibaka,co_inf with George Hill,co_inf with John Collins,co_inf with Jordan Nwora,co_inf with Serge Ibaka,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,23-003,IND,WAS,0,22.5,1.0,8.0,.125,1.0,5.0,.200,0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,3.0,-1.9,+5,3.0,0.0,0.0,66,69,71,38,7,18,55,60,15,6,56,58,67,23,7,48,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.88,0.8846153846153846,0.8875,0.8260869565217391,1.0,0.0,0.4736842105263157,0.873015873015873,0.8823529411764706,0.8333333333333334,1.0,0.9032258064516128,0.8923076923076924,0.8933333333333333,0.7419354838709677,1.0,0.8571428571428571,10,22,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3548387096774194,0.0,18,0.0,63.0,3.5,-1.9,66.3,3.683333333333333,10.5,2.0,-3.0,-2.3,-0.7,0.0773990561090718,0.566,0.532,0.241,-0.4,0.9,L (-7),L (-7)
2.0,2.0,2022-10-21,23-005,IND,SAS,0,21.116666666666667,4.0,9.0,.444,1.0,3.0,.333,0,0.0,,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,9.0,6.6,0,6.0,3.0,0.5,66,69,71,38,7,18,55,60,15,6,56,58,67,23,7,48,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.88,0.8846153846153846,0.8875,0.8260869565217391,1.0,0.0,0.4736842105263157,0.873015873015873,0.8823529411764706,0.8333333333333334,1.0,0.9032258064516128,0.8923076923076924,0.8933333333333333,0.7419354838709677,1.0,0.8571428571428571,10,22,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3548387096774194,0.0,18,6.0,106.0,5.888888888888889,6.599999999999999,93.1,5.172222222222222,10.5,2.0,-3.0,-2.3,-0.7,0.0773990561090718,0.566,0.532,0.241,-0.4,0.9,L (-3),L (-3)
3.0,3.0,2022-10-22,23-006,IND,DET,1,23.25,2.0,5.0,.400,1.0,3.0,.333,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,7.0,4.5,-3,2.0,1.0,0.5,66,69,71,38,7,18,55,60,15,6,56,58,67,23,7,48,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.88,0.8846153846153846,0.8875,0.8260869565217391,1.0,0.0,0.4736842105263157,0.873015873015873,0.8823529411764706,0.8333333333333334,1.0,0.9032258064516128,0.8923076923076924,0.8933333333333333,0.7419354838709677,1.0,0.8571428571428571,10,22,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3548387096774194,0.0,18,3.0,97.0,5.388888888888889,3.6999999999999993,92.70000000000002,5.150000000000001,10.5,2.0,-3.0,-2.3,-0.7,0.0773990561090718,0.566,0.532,0.241,-0.4,0.9,W (+9),W (+9)
4.0,4.0,2022-10-24,23-008,IND,PHI,1,17.333333333333332,4.0,9.0,.444,1.0,4.0,.250,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,9.0,3.4,+6,5.0,3.0,0.6,66,69,71,38,7,18,55,60,15,6,56,58,67,23,7,48,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.88,0.8846153846153846,0.8875,0.8260869565217391,1.0,0.0,0.4736842105263157,0.873015873015873,0.8823529411764706,0.8333333333333334,1.0,0.9032258064516128,0.8923076923076924,0.8933333333333333,0.7419354838709677,1.0,0.8571428571428571,10,22,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3548387096774194,0.0,18,2.0,81.0,4.5,3.3999999999999986,68.1,3.783333333333333,10.5,2.0,-3.0,-2.3,-0.7,0.0773990561090718,0.566,0.532,0.241,-0.4,0.9,L (-14),L (-14)
5.0,5.0,2022-10-26,23-010,IND,CHI,1,17.516666666666666,4.0,6.0,.667,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,2.0,0.0,1.0,2.0,4.0,9.0,5.8,-10,3.0,3.0,1.0,66,69,71,38,7,18,55,60,15,6,56,58,67,23,7,48,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.88,0.8846153846153846,0.8875,0.8260869565217391,1.0,0.0,0.4736842105263157,0.873015873015873,0.8823529411764706,0.8333333333333334,1.0,0.9032258064516128,0.8923076923076924,0.8933333333333333,0.7419354838709677,1.0,0.8571428571428571,10,22,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3548387096774194,0.0,18,7.0,83.0,4.611111111111111,5.800000000000001,80.2,4.455555555555556,10.5,2.0,-3.0,-2.3,-0.7,0.0773990561090718,0.566,0.532,0.241,-0.4,0.9,L (-15),L (-15)
6.0,6.0,2022-10-28,23-012,IND,WAS,1,29.73333333333333,4.0,6.0,.667,2.0,4.0,.500,5,7.0,.714,1.0,6.0,7.0,3.0,1.0,0.0,1.0,2.0,15.0,15.4,+9,2.0,2.0,1.0,66,69,71,38,7,18,55,60,15,6,56,58,67,23,7,48,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.88,0.8846153846153846,0.8875,0.8260869565217391,1.0,0.0,0.4736842105263157,0.873015873015873,0.8823529411764706,0.8333333333333334,1.0,0.9032258064516128,0.8923076923076924,0.8933333333333333,0.7419354838709677,1.0,0.8571428571428571,10,22,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3548387096774194,0.0,18,12.0,68.0,3.7777777777777777,13.400000000000002,81.9,4.550000000000001,10.5,2.0,-3.0,-2.3,-0.7,0.0773990561090718,0.566,0.532,0.241,-0.4,0.9,W (+10),W (+10)
7.0,,2022-10-29,23-013,IND,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,66,69,71,38,7,18,55,60,15,6,56,58,67,23,7,48,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.88,0.8846153846153846,0.8875,0.8260869565217391,1.0,0.0,0.4736842105263157,0.873015873015873,0.8823529411764706,0.8333333333333334,1.0,0.9032258064516128,0.8923076923076924,0.8933333333333333,0.7419354838709677,1.0,0.8571428571428571,10,22,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3548387096774194,0.0,18,,109.0,6.055555555555555,0.0,103.89999999999998,5.772222222222221,10.5,2.0,-3.0,-2.3,-0.7,0.0773990561090718,0.566,0.532,0.241,-0.4,0.9,W (+9),W (+9)
8.0,,2022-10-31,23-015,IND,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,66,69,71,38,7,18,55,60,15,6,56,58,67,23,7,48,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.88,0.8846153846153846,0.8875,0.8260869565217391,1.0,0.0,0.4736842105263157,0.873015873015873,0.8823529411764706,0.8333333333333334,1.0,0.9032258064516128,0.8923076923076924,0.8933333333333333,0.7419354838709677,1.0,0.8571428571428571,10,22,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3548387096774194,0.0,18,,60.0,3.333333333333333,0.0,63.89999999999999,3.5499999999999994,10.5,2.0,-3.0,-2.3,-0.7,0.0773990561090718,0.566,0.532,0.241,-0.4,0.9,L (-7),L (-7)
9.0,,2022-11-04,23-019,IND,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,66,69,71,38,7,18,55,60,15,6,56,58,67,23,7,48,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.88,0.8846153846153846,0.8875,0.8260869565217391,1.0,0.0,0.4736842105263157,0.873015873015873,0.8823529411764706,0.8333333333333334,1.0,0.9032258064516128,0.8923076923076924,0.8933333333333333,0.7419354838709677,1.0,0.8571428571428571,10,22,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3548387096774194,0.0,18,,80.0,4.444444444444445,0.0,74.69999999999999,4.15,10.5,2.0,-3.0,-2.3,-0.7,0.0773990561090718,0.566,0.532,0.241,-0.4,0.9,W (+2),W (+2)
10.0,,2022-11-07,23-022,IND,NOP,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,66,69,71,38,7,18,55,60,15,6,56,58,67,23,7,48,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.88,0.8846153846153846,0.8875,0.8260869565217391,1.0,0.0,0.4736842105263157,0.873015873015873,0.8823529411764706,0.8333333333333334,1.0,0.9032258064516128,0.8923076923076924,0.8933333333333333,0.7419354838709677,1.0,0.8571428571428571,10,22,46.0,71.0,62.0,16.0,0.217391304347826,0.0,0.3548387096774194,0.0,18,,106.0,5.888888888888889,0.0,106.2,5.9,10.5,2.0,-3.0,-2.3,-0.7,0.0773990561090718,0.566,0.532,0.241,-0.4,0.9,W (+7),W (+7)
