Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Jabari Walker,Shared Games with Jerami Grant,Shared Games with Josh Hart,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Cam Reddish,Shared Games with Matisse Thybulle,Shared Games with Ryan Arcidiacono,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-21,19-321,POR,,PHO,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,100.0,5.882352941176471,0.0,78.69999999999999,4.629411764705882
1,2,,2022-10-23,19-323,POR,@,LAL,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,79.0,4.647058823529412,0.0,60.79999999999999,3.5764705882352934
2,3,,2022-10-24,19-324,POR,,DEN,W (+25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,101.0,5.941176470588236,0.0,59.50000000000001,3.5000000000000004
3,4,,2022-10-26,19-326,POR,,MIA,L (-21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,109.0,6.411764705882353,0.0,102.3,6.017647058823529
4,5,,2022-10-28,19-328,POR,,HOU,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,56.0,3.294117647058824,0.0,46.30000000000001,2.7235294117647064
5,6,,2022-11-02,19-333,POR,,MEM,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,118.0,6.941176470588236,0.0,105.70000000000002,6.21764705882353
6,7,,2022-11-04,19-335,POR,@,PHO,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,62.0,3.647058823529412,0.0,68.0,4.0
7,8,1,2022-11-05,19-336,POR,@,PHO,L (-20),0,8:57,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,+8,1.0,1.0,1.0,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,2.0,86.0,5.0588235294117645,2.0,85.60000000000001,5.03529411764706
8,9,,2022-11-07,19-338,POR,@,MIA,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,40.0,2.3529411764705883,0.0,38.900000000000006,2.2882352941176474
9,10,,2022-11-09,19-340,POR,@,CHO,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,67.0,3.941176470588236,0.0,77.9,4.582352941176471
