Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Saben Lee,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Anfernee Simons,Shared Games with Cam Reddish,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Jabari Walker,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Kevin Knox,Shared Games with Nassir Little,Shared Games with Ryan Arcidiacono,Shared Games with Shaedon Sharpe,Shared Games with Trendon Watford,Anfernee Simons,Cam Reddish,Chance Comanche,Damian Lillard,Drew Eubanks,Greg Brown III,Jabari Walker,Jayson Tatum,Jeenathan Williams,Jerami Grant,John Butler,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Kevin Knox,Nassir Little,Ryan Arcidiacono,Shaedon Sharpe,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Cam Reddish,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jayson Tatum,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Kevin Knox,co_inf with Nassir Little,co_inf with Ryan Arcidiacono,co_inf with Shaedon Sharpe,co_inf with Skylar Mays,co_inf with Trendon Watford,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-18,25-228,PHI,@,BOS,L (-9),0,0:23,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,,31,46,22,47,7,36,40,1,1,2,45,47,36,1,46,45,33,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5535714285714286,0.5974025974025974,0.5945945945945946,0.6025641025641025,0.4375,0.6206896551724138,0.6060606060606061,0.0588235294117647,1.0,1.0,0.0,0.7894736842105263,0.6266666666666667,0.5217391304347826,0.04,0.6052631578947368,0.6081081081081081,0.55,36,10,20,16,22,16,11,7,7,15,14,20,9,22,19,62.0,40.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,54.0,20.0,80.0,6,62.0,0.1612903225806451,0.5,0.0,0.2758620689655172,0.282051282051282,0.0,0.2857142857142857,0.0,0.0,0.1746031746031746,0.3684210526315789,0.0,0.0,0.1346153846153846,0.375,0.2222222222222222,0.3703703703703703,0.45,0.275,0.0,0.3064516129032258,32,0.0,100.0,3.125,0.0,68.6,2.14375
1,2,2,2022-10-20,25-230,PHI,,MIL,L (-2),0,0:18,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0.0,0.0,,31,46,22,47,7,36,40,1,1,2,45,47,36,1,46,45,33,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5535714285714286,0.5974025974025974,0.5945945945945946,0.6025641025641025,0.4375,0.6206896551724138,0.6060606060606061,0.0588235294117647,1.0,1.0,0.0,0.7894736842105263,0.6266666666666667,0.5217391304347826,0.04,0.6052631578947368,0.6081081081081081,0.55,36,10,20,16,22,16,11,7,7,15,14,20,9,22,19,62.0,40.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,54.0,20.0,80.0,6,62.0,0.1612903225806451,0.5,0.0,0.2758620689655172,0.282051282051282,0.0,0.2857142857142857,0.0,0.0,0.1746031746031746,0.3684210526315789,0.0,0.0,0.1346153846153846,0.375,0.2222222222222222,0.3703703703703703,0.45,0.275,0.0,0.3064516129032258,32,0.0,79.0,2.46875,0.0,58.39999999999999,1.8249999999999997
2,3,3,2022-10-22,25-232,PHI,,SAS,L (-9),0,3:14,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3,0.0,0.0,,31,46,22,47,7,36,40,1,1,2,45,47,36,1,46,45,33,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5535714285714286,0.5974025974025974,0.5945945945945946,0.6025641025641025,0.4375,0.6206896551724138,0.6060606060606061,0.0588235294117647,1.0,1.0,0.0,0.7894736842105263,0.6266666666666667,0.5217391304347826,0.04,0.6052631578947368,0.6081081081081081,0.55,36,10,20,16,22,16,11,7,7,15,14,20,9,22,19,62.0,40.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,54.0,20.0,80.0,6,62.0,0.1612903225806451,0.5,0.0,0.2758620689655172,0.282051282051282,0.0,0.2857142857142857,0.0,0.0,0.1746031746031746,0.3684210526315789,0.0,0.0,0.1346153846153846,0.375,0.2222222222222222,0.3703703703703703,0.45,0.275,0.0,0.3064516129032258,32,-1.0,102.0,3.1875,-0.7,54.30000000000001,1.6968750000000004
3,4,4,2022-10-24,25-234,PHI,,IND,W (+14),0,2:00,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,0.0,,31,46,22,47,7,36,40,1,1,2,45,47,36,1,46,45,33,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5535714285714286,0.5974025974025974,0.5945945945945946,0.6025641025641025,0.4375,0.6206896551724138,0.6060606060606061,0.0588235294117647,1.0,1.0,0.0,0.7894736842105263,0.6266666666666667,0.5217391304347826,0.04,0.6052631578947368,0.6081081081081081,0.55,36,10,20,16,22,16,11,7,7,15,14,20,9,22,19,62.0,40.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,54.0,20.0,80.0,6,62.0,0.1612903225806451,0.5,0.0,0.2758620689655172,0.282051282051282,0.0,0.2857142857142857,0.0,0.0,0.1746031746031746,0.3684210526315789,0.0,0.0,0.1346153846153846,0.375,0.2222222222222222,0.3703703703703703,0.45,0.275,0.0,0.3064516129032258,32,0.0,109.0,3.40625,0.0,102.3,3.196875
4,5,,2022-10-26,25-236,PHI,@,TOR,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,46,22,47,7,36,40,1,1,2,45,47,36,1,46,45,33,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5535714285714286,0.5974025974025974,0.5945945945945946,0.6025641025641025,0.4375,0.6206896551724138,0.6060606060606061,0.0588235294117647,1.0,1.0,0.0,0.7894736842105263,0.6266666666666667,0.5217391304347826,0.04,0.6052631578947368,0.6081081081081081,0.55,36,10,20,16,22,16,11,7,7,15,14,20,9,22,19,62.0,40.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,54.0,20.0,80.0,6,62.0,0.1612903225806451,0.5,0.0,0.2758620689655172,0.282051282051282,0.0,0.2857142857142857,0.0,0.0,0.1746031746031746,0.3684210526315789,0.0,0.0,0.1346153846153846,0.375,0.2222222222222222,0.3703703703703703,0.45,0.275,0.0,0.3064516129032258,32,,56.0,1.75,0.0,39.5,1.234375
5,6,5,2022-10-28,25-238,PHI,@,TOR,W (+22),0,21:48,2.0,6.0,.333,2.0,5.0,.400,0,0.0,,1.0,2.0,3.0,3.0,1.0,2.0,0.0,0.0,6.0,8.4,+1,1.0,0.0,0.0,31,46,22,47,7,36,40,1,1,2,45,47,36,1,46,45,33,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5535714285714286,0.5974025974025974,0.5945945945945946,0.6025641025641025,0.4375,0.6206896551724138,0.6060606060606061,0.0588235294117647,1.0,1.0,0.0,0.7894736842105263,0.6266666666666667,0.5217391304347826,0.04,0.6052631578947368,0.6081081081081081,0.55,36,10,20,16,22,16,11,7,7,15,14,20,9,22,19,62.0,40.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,54.0,20.0,80.0,6,62.0,0.1612903225806451,0.5,0.0,0.2758620689655172,0.282051282051282,0.0,0.2857142857142857,0.0,0.0,0.1746031746031746,0.3684210526315789,0.0,0.0,0.1346153846153846,0.375,0.2222222222222222,0.3703703703703703,0.45,0.275,0.0,0.3064516129032258,32,9.0,109.0,3.40625,8.4,87.10000000000001,2.7218750000000003
6,7,6,2022-10-29,25-239,PHI,@,CHI,W (+5),0,20:34,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.8,+2,2.0,1.0,0.5,31,46,22,47,7,36,40,1,1,2,45,47,36,1,46,45,33,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5535714285714286,0.5974025974025974,0.5945945945945946,0.6025641025641025,0.4375,0.6206896551724138,0.6060606060606061,0.0588235294117647,1.0,1.0,0.0,0.7894736842105263,0.6266666666666667,0.5217391304347826,0.04,0.6052631578947368,0.6081081081081081,0.55,36,10,20,16,22,16,11,7,7,15,14,20,9,22,19,62.0,40.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,54.0,20.0,80.0,6,62.0,0.1612903225806451,0.5,0.0,0.2758620689655172,0.282051282051282,0.0,0.2857142857142857,0.0,0.0,0.1746031746031746,0.3684210526315789,0.0,0.0,0.1346153846153846,0.375,0.2222222222222222,0.3703703703703703,0.45,0.275,0.0,0.3064516129032258,32,1.0,61.0,1.90625,0.7999999999999998,62.2,1.94375
7,8,7,2022-10-31,25-241,PHI,@,WAS,W (+7),0,16:29,0.0,1.0,.000,0.0,1.0,.000,1,2.0,.500,0.0,5.0,5.0,0.0,2.0,0.0,1.0,2.0,1.0,1.6,+5,0.0,0.0,,31,46,22,47,7,36,40,1,1,2,45,47,36,1,46,45,33,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5535714285714286,0.5974025974025974,0.5945945945945946,0.6025641025641025,0.4375,0.6206896551724138,0.6060606060606061,0.0588235294117647,1.0,1.0,0.0,0.7894736842105263,0.6266666666666667,0.5217391304347826,0.04,0.6052631578947368,0.6081081081081081,0.55,36,10,20,16,22,16,11,7,7,15,14,20,9,22,19,62.0,40.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,54.0,20.0,80.0,6,62.0,0.1612903225806451,0.5,0.0,0.2758620689655172,0.282051282051282,0.0,0.2857142857142857,0.0,0.0,0.1746031746031746,0.3684210526315789,0.0,0.0,0.1346153846153846,0.375,0.2222222222222222,0.3703703703703703,0.45,0.275,0.0,0.3064516129032258,32,4.0,84.0,2.625,1.2000000000000002,73.2,2.2875
8,9,8,2022-11-02,25-243,PHI,,WAS,L (-10),1,15:42,1.0,2.0,.500,0.0,0.0,,0,1.0,.000,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.2,+4,2.0,1.0,0.5,31,46,22,47,7,36,40,1,1,2,45,47,36,1,46,45,33,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5535714285714286,0.5974025974025974,0.5945945945945946,0.6025641025641025,0.4375,0.6206896551724138,0.6060606060606061,0.0588235294117647,1.0,1.0,0.0,0.7894736842105263,0.6266666666666667,0.5217391304347826,0.04,0.6052631578947368,0.6081081081081081,0.55,36,10,20,16,22,16,11,7,7,15,14,20,9,22,19,62.0,40.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,54.0,20.0,80.0,6,62.0,0.1612903225806451,0.5,0.0,0.2758620689655172,0.282051282051282,0.0,0.2857142857142857,0.0,0.0,0.1746031746031746,0.3684210526315789,0.0,0.0,0.1346153846153846,0.375,0.2222222222222222,0.3703703703703703,0.45,0.275,0.0,0.3064516129032258,32,2.0,38.0,1.1875,2.2,35.7,1.115625
9,10,9,2022-11-04,25-245,PHI,,NYK,L (-2),0,13:03,2.0,5.0,.400,0.0,2.0,.000,0,0.0,,1.0,2.0,3.0,0.0,1.0,1.0,0.0,4.0,4.0,2.7,-10,3.0,2.0,0.6666666666666666,31,46,22,47,7,36,40,1,1,2,45,47,36,1,46,45,33,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5535714285714286,0.5974025974025974,0.5945945945945946,0.6025641025641025,0.4375,0.6206896551724138,0.6060606060606061,0.0588235294117647,1.0,1.0,0.0,0.7894736842105263,0.6266666666666667,0.5217391304347826,0.04,0.6052631578947368,0.6081081081081081,0.55,36,10,20,16,22,16,11,7,7,15,14,20,9,22,19,62.0,40.0,1,58.0,78.0,16.0,56.0,74.0,5,63.0,19.0,4,29.0,52.0,40.0,63.0,54.0,20.0,80.0,6,62.0,0.1612903225806451,0.5,0.0,0.2758620689655172,0.282051282051282,0.0,0.2857142857142857,0.0,0.0,0.1746031746031746,0.3684210526315789,0.0,0.0,0.1346153846153846,0.375,0.2222222222222222,0.3703703703703703,0.45,0.275,0.0,0.3064516129032258,32,4.0,63.0,1.96875,2.7,64.19999999999999,2.0062499999999996
