Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Chance Comanche,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Cam Reddish,Shared Games with Matisse Thybulle,Shared Games with Ryan Arcidiacono,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,22-250,POR,@,SAC,W (+7),0,10:24,0.0,2.0,.000,0.0,2.0,.000,0,2.0,.000,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,+5,0.0,0.0,,40,1,37,53,11,8,34,5,43,14,32,4,18,31,24,53,6,39,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,9.0,80.0,5.0,6,62.0,0.6451612903225806,1.0,0.6379310344827587,0.6794871794871795,0.5,0.5,0.6071428571428571,1.0,0.6825396825396826,0.7368421052631579,0.4210526315789473,1.0,0.6206896551724138,0.5961538461538461,0.6,0.0,0.6625,0.0,1.0,0.6290322580645161,14,18,20,9,40.0,74.0,63.0,71.0,20.0,0.2222222222222222,0.45,0.0,0.2816901408450704,0.45,22,0.0,100.0,4.545454545454546,0.0999999999999998,109.0,4.954545454545454
1,2,2,2022-10-21,22-252,POR,,PHO,W (+2),0,12:48,4.0,5.0,.800,1.0,1.0,1.000,0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,8.4,+4,4.0,3.0,0.75,40,1,37,53,11,8,34,5,43,14,32,4,18,31,24,53,6,39,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,9.0,80.0,5.0,6,62.0,0.6451612903225806,1.0,0.6379310344827587,0.6794871794871795,0.5,0.5,0.6071428571428571,1.0,0.6825396825396826,0.7368421052631579,0.4210526315789473,1.0,0.6206896551724138,0.5961538461538461,0.6,0.0,0.6625,0.0,1.0,0.6290322580645161,14,18,20,9,40.0,74.0,63.0,71.0,20.0,0.2222222222222222,0.45,0.0,0.2816901408450704,0.45,22,6.0,73.0,3.3181818181818183,8.399999999999999,77.99999999999997,3.545454545454544
2,3,3,2022-10-23,22-254,POR,@,LAL,W (+2),0,14:01,3.0,6.0,.500,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,5.6,0,3.0,2.0,0.6666666666666666,40,1,37,53,11,8,34,5,43,14,32,4,18,31,24,53,6,39,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,9.0,80.0,5.0,6,62.0,0.6451612903225806,1.0,0.6379310344827587,0.6794871794871795,0.5,0.5,0.6071428571428571,1.0,0.6825396825396826,0.7368421052631579,0.4210526315789473,1.0,0.6206896551724138,0.5961538461538461,0.6,0.0,0.6625,0.0,1.0,0.6290322580645161,14,18,20,9,40.0,74.0,63.0,71.0,20.0,0.2222222222222222,0.45,0.0,0.2816901408450704,0.45,22,5.0,96.0,4.363636363636363,5.6,90.6,4.118181818181818
3,4,4,2022-10-24,22-255,POR,,DEN,W (+25),0,18:14,4.0,6.0,.667,2.0,3.0,.667,1,3.0,.333,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,8.8,+7,3.0,2.0,0.6666666666666666,40,1,37,53,11,8,34,5,43,14,32,4,18,31,24,53,6,39,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,9.0,80.0,5.0,6,62.0,0.6451612903225806,1.0,0.6379310344827587,0.6794871794871795,0.5,0.5,0.6071428571428571,1.0,0.6825396825396826,0.7368421052631579,0.4210526315789473,1.0,0.6206896551724138,0.5961538461538461,0.6,0.0,0.6625,0.0,1.0,0.6290322580645161,14,18,20,9,40.0,74.0,63.0,71.0,20.0,0.2222222222222222,0.45,0.0,0.2816901408450704,0.45,22,6.0,103.0,4.681818181818182,8.399999999999999,111.2,5.054545454545455
4,5,5,2022-10-26,22-257,POR,,MIA,L (-21),0,17:38,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.6,-5,1.0,1.0,1.0,40,1,37,53,11,8,34,5,43,14,32,4,18,31,24,53,6,39,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,9.0,80.0,5.0,6,62.0,0.6451612903225806,1.0,0.6379310344827587,0.6794871794871795,0.5,0.5,0.6071428571428571,1.0,0.6825396825396826,0.7368421052631579,0.4210526315789473,1.0,0.6206896551724138,0.5961538461538461,0.6,0.0,0.6625,0.0,1.0,0.6290322580645161,14,18,20,9,40.0,74.0,63.0,71.0,20.0,0.2222222222222222,0.45,0.0,0.2816901408450704,0.45,22,0.0,56.0,2.5454545454545454,0.6000000000000001,66.5,3.022727272727273
5,6,6,2022-10-28,22-259,POR,,HOU,W (+14),0,15:09,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,2.9,-1,1.0,0.0,0.0,40,1,37,53,11,8,34,5,43,14,32,4,18,31,24,53,6,39,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,9.0,80.0,5.0,6,62.0,0.6451612903225806,1.0,0.6379310344827587,0.6794871794871795,0.5,0.5,0.6071428571428571,1.0,0.6825396825396826,0.7368421052631579,0.4210526315789473,1.0,0.6206896551724138,0.5961538461538461,0.6,0.0,0.6625,0.0,1.0,0.6290322580645161,14,18,20,9,40.0,74.0,63.0,71.0,20.0,0.2222222222222222,0.45,0.0,0.2816901408450704,0.45,22,5.0,113.0,5.136363636363637,2.9,124.20000000000002,5.645454545454546
6,7,7,2022-11-02,22-264,POR,,MEM,L (-5),0,12:14,1.0,5.0,.200,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,-0.1,-9,2.0,0.0,0.0,40,1,37,53,11,8,34,5,43,14,32,4,18,31,24,53,6,39,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,9.0,80.0,5.0,6,62.0,0.6451612903225806,1.0,0.6379310344827587,0.6794871794871795,0.5,0.5,0.6071428571428571,1.0,0.6825396825396826,0.7368421052631579,0.4210526315789473,1.0,0.6206896551724138,0.5961538461538461,0.6,0.0,0.6625,0.0,1.0,0.6290322580645161,14,18,20,9,40.0,74.0,63.0,71.0,20.0,0.2222222222222222,0.45,0.0,0.2816901408450704,0.45,22,-1.0,63.0,2.863636363636364,-0.1000000000000005,68.1,3.0954545454545452
7,8,8,2022-11-04,22-266,POR,@,PHO,W (+2),0,23:24,4.0,7.0,.571,2.0,4.0,.500,2,2.0,1.000,0.0,4.0,4.0,3.0,0.0,1.0,2.0,3.0,12.0,9.5,+10,3.0,2.0,0.6666666666666666,40,1,37,53,11,8,34,5,43,14,32,4,18,31,24,53,6,39,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,9.0,80.0,5.0,6,62.0,0.6451612903225806,1.0,0.6379310344827587,0.6794871794871795,0.5,0.5,0.6071428571428571,1.0,0.6825396825396826,0.7368421052631579,0.4210526315789473,1.0,0.6206896551724138,0.5961538461538461,0.6,0.0,0.6625,0.0,1.0,0.6290322580645161,14,18,20,9,40.0,74.0,63.0,71.0,20.0,0.2222222222222222,0.45,0.0,0.2816901408450704,0.45,22,9.0,79.0,3.590909090909091,8.7,78.9,3.5863636363636364
8,9,9,2022-11-05,22-267,POR,@,PHO,L (-20),0,14:45,3.0,5.0,.600,1.0,1.0,1.000,2,2.0,1.000,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,9.0,7.0,-21,4.0,2.0,0.5,40,1,37,53,11,8,34,5,43,14,32,4,18,31,24,53,6,39,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,9.0,80.0,5.0,6,62.0,0.6451612903225806,1.0,0.6379310344827587,0.6794871794871795,0.5,0.5,0.6071428571428571,1.0,0.6825396825396826,0.7368421052631579,0.4210526315789473,1.0,0.6206896551724138,0.5961538461538461,0.6,0.0,0.6625,0.0,1.0,0.6290322580645161,14,18,20,9,40.0,74.0,63.0,71.0,20.0,0.2222222222222222,0.45,0.0,0.2816901408450704,0.45,22,4.0,36.0,1.6363636363636365,6.2,33.7,1.531818181818182
9,10,10,2022-11-07,22-269,POR,@,MIA,W (+3),0,6:46,2.0,3.0,.667,2.0,3.0,.667,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,4.6,-7,0.0,0.0,,40,1,37,53,11,8,34,5,43,14,32,4,18,31,24,53,6,39,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,9.0,80.0,5.0,6,62.0,0.6451612903225806,1.0,0.6379310344827587,0.6794871794871795,0.5,0.5,0.6071428571428571,1.0,0.6825396825396826,0.7368421052631579,0.4210526315789473,1.0,0.6206896551724138,0.5961538461538461,0.6,0.0,0.6625,0.0,1.0,0.6290322580645161,14,18,20,9,40.0,74.0,63.0,71.0,20.0,0.2222222222222222,0.45,0.0,0.2816901408450704,0.45,22,4.0,63.0,2.863636363636364,4.6,73.30000000000001,3.3318181818181825
