Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Chance Comanche,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
15,16,13,2022-11-19,26-238,POR,,UTA,L (-5),0,26:17,0.0,2.0,.000,0.0,1.0,.000,1,2.0,.500,0.0,5.0,5.0,5.0,0.0,1.0,4.0,5.0,1.0,-1.1,+4,1.0,0.0,0.0,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,4.0,73.0,4.294117647058823,-1.4999999999999991,70.80000000000001,4.1647058823529415
16,17,14,2022-11-21,26-240,POR,@,MIL,L (-8),0,17:50,4.0,8.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,8.0,1.5,-11,7.0,4.0,0.5714285714285714,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,-1.0,51.0,3.0,1.4999999999999991,54.9,3.2294117647058824
17,18,15,2022-11-23,26-242,POR,@,CLE,L (-18),1,28:02,2.0,10.0,.200,1.0,3.0,.333,0,0.0,,2.0,2.0,4.0,6.0,2.0,1.0,0.0,3.0,5.0,6.5,-21,7.0,1.0,0.1428571428571428,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,8.0,68.0,4.0,6.499999999999997,54.7,3.2176470588235295
18,19,16,2022-11-25,26-244,POR,@,NYK,W (+3),1,46:23,3.0,10.0,.300,0.0,1.0,.000,1,2.0,.500,4.0,7.0,11.0,4.0,0.0,0.0,0.0,5.0,7.0,6.5,+2,9.0,3.0,0.3333333333333333,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,10.0,61.0,3.588235294117647,6.099999999999998,70.80000000000001,4.1647058823529415
19,20,17,2022-11-27,26-246,POR,@,BRK,L (-14),1,37:11,5.0,10.0,.500,2.0,4.0,.500,2,2.0,1.000,1.0,6.0,7.0,6.0,0.0,0.0,3.0,4.0,14.0,11.1,-10,6.0,3.0,0.5,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,12.0,54.0,3.176470588235294,10.3,50.0,2.9411764705882355
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,,0.0,0.0,0.0,0.0,0.0
21,21,18,2022-11-29,26-248,POR,,LAC,L (-6),1,33:44,4.0,10.0,.400,0.0,1.0,.000,2,2.0,1.000,2.0,11.0,13.0,2.0,1.0,0.0,2.0,3.0,10.0,8.5,-3,9.0,4.0,0.4444444444444444,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,12.0,75.0,4.411764705882353,7.699999999999999,65.00000000000001,3.8235294117647065
22,22,19,2022-11-30,26-249,POR,@,LAL,L (-19),1,36:18,9.0,11.0,.818,3.0,3.0,1.000,0,0.0,,1.0,4.0,5.0,4.0,0.0,0.0,3.0,5.0,21.0,16.6,-11,8.0,6.0,0.75,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,16.0,76.0,4.470588235294118,16.6,58.29999999999999,3.4294117647058817
23,23,20,2022-12-03,26-252,POR,@,UTA,W (+5),1,39:21,1.0,3.0,.333,0.0,0.0,,0,0.0,,2.0,5.0,7.0,5.0,3.0,1.0,2.0,2.0,2.0,7.6,0,3.0,1.0,0.3333333333333333,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,13.0,50.0,2.9411764705882355,7.6,73.89999999999999,4.347058823529411
24,24,21,2022-12-04,26-253,POR,,IND,W (+16),0,23:30,2.0,6.0,.333,0.0,1.0,.000,0,0.0,,3.0,3.0,6.0,3.0,2.0,0.0,3.0,2.0,4.0,3.9,+13,5.0,2.0,0.4,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,6.0,77.0,4.529411764705882,3.9,75.8,4.458823529411765
25,25,22,2022-12-08,26-257,POR,,DEN,L (-1),0,22:25,2.0,6.0,.333,0.0,0.0,,0,0.0,,4.0,1.0,5.0,4.0,0.0,0.0,0.0,2.0,4.0,5.7,-10,6.0,2.0,0.3333333333333333,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,7.0,90.0,5.294117647058823,5.7,79.99999999999999,4.705882352941176
26,26,23,2022-12-10,26-259,POR,,MIN,W (+6),0,13:41,0.0,0.0,,0.0,0.0,,2,2.0,1.000,1.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,-7,0.0,0.0,,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,1.0,63.0,3.7058823529411766,-0.7999999999999998,75.8,4.458823529411765
