Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,+/-,GmSc,Al Horford,Blake Griffin,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,STL,BLK,TOV,CO_EFF,EFF,avg_EFF,HGS,avg_HGS
0,1,,2022-10-18,34-071,BOS,,PHI,W (+9),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,78.0,0.0,96.5,0.0
1,2,,2022-10-21,34-074,BOS,@,MIA,W (+7),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,86.0,0.0,93.1,0.0
2,3,,2022-10-22,34-075,BOS,@,ORL,W (+6),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,94.0,0.0,113.6,0.0
3,4,,2022-10-24,34-077,BOS,@,CHI,L (-18),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,79.0,0.0,81.99999999999999,0.0
4,5,,2022-10-28,34-081,BOS,,CLE,L (-9),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,67.0,0.0,91.29999999999998,0.0
5,6,,2022-10-30,34-083,BOS,,WAS,W (+18),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,84.0,0.0,86.9,0.0
6,7,,2022-11-02,34-086,BOS,@,CLE,L (-1),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,77.0,0.0,81.79999999999998,0.0
7,8,,2022-11-04,34-088,BOS,,CHI,W (+4),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,65.0,0.0,85.4,0.0
8,9,,2022-11-05,34-089,BOS,@,NYK,W (+15),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,93.0,0.0,110.5,0.0
9,10,,2022-11-07,34-091,BOS,@,MEM,W (+3),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,88.0,0.0,104.6,0.0
