Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,AJ Griffin,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Champagnie,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with AJ Griffin,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Champagnie,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,31-110,OKC,@,MIN,L (-7),0,7:30,1.0,4.0,.250,0.0,3.0,.000,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.2,-2,1.0,1.0,1.0,37,21,27,18,37,39,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806,14,12,20,19,15,17,4,17,14,14,1,8,13,20,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,5.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.2222222222222222,0.2926829268292683,,0.2439024390243902,0.240506329113924,0.2238805970149253,0.2297297297297297,0.3333333333333333,0.0,0.0,0.2463768115942029,0.208955223880597,0.2295081967213114,0.25,0.0,0.1666666666666666,0.3714285714285714,0.25,29,1.0,77.0,2.655172413793104,0.2000000000000001,96.3,3.320689655172414
1,2,2,2022-10-22,31-113,OKC,@,DEN,L (-5),0,18:48,6.0,10.0,.600,4.0,7.0,.571,2,2.0,1.000,0.0,6.0,6.0,1.0,0.0,0.0,0.0,3.0,18.0,14.7,+7,3.0,2.0,0.6666666666666666,37,21,27,18,37,39,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806,14,12,20,19,15,17,4,17,14,14,1,8,13,20,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,5.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.2222222222222222,0.2926829268292683,,0.2439024390243902,0.240506329113924,0.2238805970149253,0.2297297297297297,0.3333333333333333,0.0,0.0,0.2463768115942029,0.208955223880597,0.2295081967213114,0.25,0.0,0.1666666666666666,0.3714285714285714,0.25,29,13.0,73.0,2.5172413793103448,13.9,79.2,2.731034482758621
2,3,3,2022-10-23,31-114,OKC,,MIN,L (-10),0,11:16,4.0,6.0,.667,1.0,3.0,.333,2,2.0,1.000,1.0,8.0,9.0,0.0,0.0,1.0,0.0,1.0,11.0,11.8,+10,3.0,3.0,1.0,37,21,27,18,37,39,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806,14,12,20,19,15,17,4,17,14,14,1,8,13,20,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,5.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.2222222222222222,0.2926829268292683,,0.2439024390243902,0.240506329113924,0.2238805970149253,0.2297297297297297,0.3333333333333333,0.0,0.0,0.2463768115942029,0.208955223880597,0.2295081967213114,0.25,0.0,0.1666666666666666,0.3714285714285714,0.25,29,13.0,81.0,2.793103448275862,10.999999999999998,102.6,3.5379310344827584
3,4,4,2022-10-25,31-116,OKC,,LAC,W (+14),0,17:59,4.0,5.0,.800,0.0,0.0,,0,0.0,,5.0,5.0,10.0,2.0,0.0,1.0,0.0,2.0,8.0,12.4,+8,5.0,4.0,0.8,37,21,27,18,37,39,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806,14,12,20,19,15,17,4,17,14,14,1,8,13,20,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,5.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.2222222222222222,0.2926829268292683,,0.2439024390243902,0.240506329113924,0.2238805970149253,0.2297297297297297,0.3333333333333333,0.0,0.0,0.2463768115942029,0.208955223880597,0.2295081967213114,0.25,0.0,0.1666666666666666,0.3714285714285714,0.25,29,16.0,63.0,2.1724137931034484,12.4,69.6,2.4
4,5,5,2022-10-27,31-118,OKC,,LAC,W (+8),0,11:40,1.0,3.0,.333,0.0,1.0,.000,3,4.0,.750,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.9,-6,2.0,1.0,0.5,37,21,27,18,37,39,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806,14,12,20,19,15,17,4,17,14,14,1,8,13,20,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,5.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.2222222222222222,0.2926829268292683,,0.2439024390243902,0.240506329113924,0.2238805970149253,0.2297297297297297,0.3333333333333333,0.0,0.0,0.2463768115942029,0.208955223880597,0.2295081967213114,0.25,0.0,0.1666666666666666,0.3714285714285714,0.25,29,0.0,67.0,2.310344827586207,2.7000000000000006,88.60000000000001,3.0551724137931036
5,6,6,2022-10-29,31-120,OKC,@,DAL,W (+6),0,11:33,0.0,3.0,.000,0.0,2.0,.000,2,2.0,1.000,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,-2.3,+10,1.0,0.0,0.0,37,21,27,18,37,39,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806,14,12,20,19,15,17,4,17,14,14,1,8,13,20,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,5.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.2222222222222222,0.2926829268292683,,0.2439024390243902,0.240506329113924,0.2238805970149253,0.2297297297297297,0.3333333333333333,0.0,0.0,0.2463768115942029,0.208955223880597,0.2295081967213114,0.25,0.0,0.1666666666666666,0.3714285714285714,0.25,29,-3.0,87.0,3.0,-3.1,89.99999999999999,3.1034482758620685
6,7,,2022-11-01,31-123,OKC,,ORL,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,21,27,18,37,39,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806,14,12,20,19,15,17,4,17,14,14,1,8,13,20,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,5.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.2222222222222222,0.2926829268292683,,0.2439024390243902,0.240506329113924,0.2238805970149253,0.2297297297297297,0.3333333333333333,0.0,0.0,0.2463768115942029,0.208955223880597,0.2295081967213114,0.25,0.0,0.1666666666666666,0.3714285714285714,0.25,29,,77.0,2.655172413793104,0.0,81.79999999999998,2.820689655172413
7,8,7,2022-11-03,31-125,OKC,,DEN,L (-12),0,12:51,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,-2.7,+7,1.0,0.0,0.0,37,21,27,18,37,39,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806,14,12,20,19,15,17,4,17,14,14,1,8,13,20,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,5.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.2222222222222222,0.2926829268292683,,0.2439024390243902,0.240506329113924,0.2238805970149253,0.2297297297297297,0.3333333333333333,0.0,0.0,0.2463768115942029,0.208955223880597,0.2295081967213114,0.25,0.0,0.1666666666666666,0.3714285714285714,0.25,29,-1.0,66.0,2.2758620689655173,-2.7,88.10000000000001,3.037931034482759
8,9,8,2022-11-05,31-127,OKC,@,MIL,L (-14),1,16:32,3.0,8.0,.375,1.0,6.0,.167,2,4.0,.500,0.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,9.0,3.9,-5,2.0,2.0,1.0,37,21,27,18,37,39,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806,14,12,20,19,15,17,4,17,14,14,1,8,13,20,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,5.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.2222222222222222,0.2926829268292683,,0.2439024390243902,0.240506329113924,0.2238805970149253,0.2297297297297297,0.3333333333333333,0.0,0.0,0.2463768115942029,0.208955223880597,0.2295081967213114,0.25,0.0,0.1666666666666666,0.3714285714285714,0.25,29,1.0,92.0,3.1724137931034484,3.1,107.4,3.703448275862069
9,10,9,2022-11-07,31-129,OKC,@,DET,L (-9),0,14:32,4.0,8.0,.500,3.0,7.0,.429,0,0.0,,0.0,4.0,4.0,0.0,0.0,1.0,0.0,3.0,11.0,7.7,+9,1.0,1.0,1.0,37,21,27,18,37,39,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806,14,12,20,19,15,17,4,17,14,14,1,8,13,20,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,5.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.2222222222222222,0.2926829268292683,,0.2439024390243902,0.240506329113924,0.2238805970149253,0.2297297297297297,0.3333333333333333,0.0,0.0,0.2463768115942029,0.208955223880597,0.2295081967213114,0.25,0.0,0.1666666666666666,0.3714285714285714,0.25,29,8.0,80.0,2.7586206896551726,7.699999999999998,96.9,3.341379310344828
