Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-18,26-254,GSW,,LAL,W (+14),1,21:08,3.0,4.0,.750,0.0,0.0,,1,1.0,1.000,2.0,4.0,6.0,2.0,1.0,0.0,0.0,2.0,7.0,9.6,+30,4.0,3.0,0.75,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,60.0,3.75,9.199999999999998,74.19999999999999,4.637499999999999
1,2,2,2022-10-21,26-257,GSW,,DEN,L (-5),1,18:45,2.0,4.0,.500,0.0,0.0,,0,0.0,,0.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,4.0,3.9,+3,4.0,2.0,0.5,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,5.0,58.0,3.625,3.9,77.6,4.85
2,3,3,2022-10-23,26-259,GSW,,SAC,W (+5),1,24:46,3.0,4.0,.750,0.0,0.0,,0,2.0,.000,2.0,6.0,8.0,6.0,0.0,1.0,0.0,3.0,6.0,10.5,+18,4.0,3.0,0.75,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,15.0,44.0,2.75,10.499999999999996,72.19999999999999,4.512499999999999
3,4,4,2022-10-25,26-261,GSW,@,PHO,L (-29),1,17:07,3.0,3.0,1.000,0.0,0.0,,0,0.0,,2.0,2.0,4.0,3.0,0.0,0.0,1.0,4.0,6.0,6.6,-4,3.0,3.0,1.0,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,9.0,54.0,3.375,6.6,57.30000000000001,3.5812500000000007
4,5,5,2022-10-27,26-263,GSW,,MIA,W (+13),1,29:12,3.0,5.0,.600,0.0,0.0,,1,2.0,.500,2.0,6.0,8.0,4.0,0.0,0.0,1.0,2.0,7.0,8.5,+12,5.0,3.0,0.6,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,76.0,4.75,8.099999999999998,79.89999999999999,4.9937499999999995
5,6,6,2022-10-29,26-265,GSW,@,CHO,L (-7),1,27:46,3.0,6.0,.500,0.0,0.0,,4,6.0,.667,4.0,5.0,9.0,4.0,0.0,1.0,0.0,2.0,10.0,13.2,-3,6.0,3.0,0.5,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,12.0,72.0,4.5,11.6,74.69999999999999,4.668749999999999
6,7,7,2022-10-30,26-266,GSW,@,DET,L (-14),1,21:32,1.0,4.0,.250,0.0,0.0,,0,0.0,,6.0,3.0,9.0,2.0,0.0,0.0,0.0,2.0,2.0,5.3,-17,4.0,1.0,0.25,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,9.0,51.0,3.1875,5.300000000000001,66.3,4.14375
7,8,8,2022-11-01,26-268,GSW,@,MIA,L (-7),1,23:51,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,4.0,5.5,+11,2.0,2.0,1.0,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,8.0,70.0,4.375,5.499999999999999,73.5,4.59375
8,9,9,2022-11-03,26-270,GSW,@,ORL,L (-1),1,29:22,8.0,11.0,.727,0.0,0.0,,1,1.0,1.000,2.0,5.0,7.0,3.0,1.0,0.0,0.0,5.0,17.0,16.5,+10,11.0,8.0,0.7272727272727273,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,16.0,67.0,4.1875,16.099999999999998,73.0,4.5625
9,10,10,2022-11-04,26-271,GSW,@,NOP,L (-9),1,24:35,2.0,3.0,.667,0.0,0.0,,1,1.0,1.000,1.0,4.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,5.0,-7,3.0,2.0,0.6666666666666666,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,8.0,44.0,2.75,4.6,52.89999999999999,3.3062499999999995
