Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,22-123,NOP,BRK,0.0,23.95,5.0,7.0,0.714,4.0,6.0,0.667,2.0,3.0,0.667,4.0,5.0,9.0,2.0,0.0,1.0,1.0,4.0,16.0,16.5,4.0,1.0,1.0,1.0,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,17.0,83.0,5.1875,15.7,90.2,5.6375,15.2,7.6,1.8,1.4,0.4,0.1224141608018767,0.65,0.621,0.238,2.3,4.8,W (+22),W (+22)
2.0,2.0,2022-10-21,22-125,NOP,CHO,0.0,19.816666666666663,3.0,9.0,0.333,2.0,5.0,0.4,0.0,0.0,,1.0,2.0,3.0,0.0,3.0,0.0,0.0,2.0,8.0,6.4,-11.0,4.0,1.0,0.25,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,5.0,87.0,5.4375,6.399999999999999,104.0,6.5,15.2,7.6,1.8,1.4,0.4,0.1224141608018767,0.65,0.621,0.238,2.3,4.8,W (+12),W (+12)
3.0,3.0,2022-10-23,22-127,NOP,UTA,0.0,39.7,6.0,11.0,0.545,3.0,4.0,0.75,1.0,1.0,1.0,1.0,8.0,9.0,1.0,0.0,0.0,2.0,4.0,16.0,10.9,14.0,7.0,3.0,0.4285714285714285,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,12.0,57.0,3.5625,10.499999999999996,79.49999999999999,4.968749999999999,15.2,7.6,1.8,1.4,0.4,0.1224141608018767,0.65,0.621,0.238,2.3,4.8,L (-1),L (-1)
4.0,4.0,2022-10-25,22-129,NOP,DAL,1.0,36.48333333333333,8.0,8.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,2.0,3.0,22.0,20.0,1.0,4.0,4.0,1.0,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,17.0,61.0,3.8125,19.2,63.899999999999984,3.993749999999999,15.2,7.6,1.8,1.4,0.4,0.1224141608018767,0.65,0.621,0.238,2.3,4.8,W (+2),W (+2)
5.0,5.0,2022-10-28,22-132,NOP,PHO,1.0,32.6,4.0,9.0,0.444,3.0,7.0,0.429,2.0,2.0,1.0,0.0,5.0,5.0,1.0,2.0,0.0,1.0,3.0,13.0,10.3,3.0,2.0,1.0,0.5,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,9.0,72.0,4.5,9.5,75.80000000000001,4.737500000000001,15.2,7.6,1.8,1.4,0.4,0.1224141608018767,0.65,0.621,0.238,2.3,4.8,L (-13),L (-13)
6.0,6.0,2022-10-30,22-134,NOP,LAC,1.0,37.28333333333333,6.0,16.0,0.375,3.0,9.0,0.333,0.0,0.0,,4.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,15.0,10.0,21.0,7.0,3.0,0.4285714285714285,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,5.0,91.0,5.6875,10.0,85.7,5.35625,15.2,7.6,1.8,1.4,0.4,0.1224141608018767,0.65,0.621,0.238,2.3,4.8,W (+21),W (+21)
7.0,7.0,2022-11-02,22-137,NOP,LAL,1.0,39.71666666666667,4.0,9.0,0.444,0.0,5.0,0.0,4.0,4.0,1.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0,2.0,12.0,11.9,0.0,4.0,4.0,1.0,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,8.0,87.0,5.4375,10.3,81.39999999999998,5.087499999999999,15.2,7.6,1.8,1.4,0.4,0.1224141608018767,0.65,0.621,0.238,2.3,4.8,L (-3),L (-3)
8.0,8.0,2022-11-04,22-139,NOP,GSW,0.0,27.55,3.0,7.0,0.429,3.0,6.0,0.5,1.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,0.0,0.0,3.0,10.0,11.5,18.0,1.0,0.0,0.0,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,12.0,57.0,3.5625,11.099999999999998,72.2,4.5125,15.2,7.6,1.8,1.4,0.4,0.1224141608018767,0.65,0.621,0.238,2.3,4.8,W (+9),W (+9)
9.0,9.0,2022-11-05,22-140,NOP,ATL,0.0,17.266666666666666,0.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.3,3.0,0.0,0.0,,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,-2.0,62.0,3.875,-0.4999999999999998,80.49999999999999,5.031249999999999,15.2,7.6,1.8,1.4,0.4,0.1224141608018767,0.65,0.621,0.238,2.3,4.8,L (-3),L (-3)
10.0,10.0,2022-11-07,22-142,NOP,IND,0.0,28.183333333333334,4.0,7.0,0.571,3.0,6.0,0.5,0.0,0.0,,1.0,5.0,6.0,1.0,2.0,0.0,1.0,1.0,11.0,11.2,8.0,1.0,1.0,1.0,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,12.0,88.0,5.5,11.199999999999998,82.2,5.1375,15.2,7.6,1.8,1.4,0.4,0.1224141608018767,0.65,0.621,0.238,2.3,4.8,L (-7),L (-7)
