Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson
0,1,1,2022-10-19,27-239,NOP,@,BRK,W (+22),0,15.033333333333333,0.0,3.0,.000,0.0,1.0,.000,0,0,,0,0,0,2,0,0,0,0,0,-0.7,-4,2.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
1,2,2,2022-10-21,27-241,NOP,@,CHO,W (+12),0,11.4,1.0,4.0,.250,1.0,4.0,.250,1,2,.500,0,1,1,1,0,0,0,0,4,2.2,-6,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
2,3,3,2022-10-23,27-243,NOP,,UTA,L (-1),0,14.916666666666666,1.0,2.0,.500,1.0,1.0,1.000,0,0,,0,1,1,2,1,1,1,1,3,4.0,+1,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
3,4,4,2022-10-25,27-245,NOP,,DAL,W (+2),0,27.016666666666666,4.0,10.0,.400,4.0,8.0,.500,2,4,.500,0,1,1,3,0,0,0,2,14,9.4,-1,2.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
4,5,5,2022-10-28,27-248,NOP,@,PHO,L (-13),0,28.05,3.0,7.0,.429,3.0,6.0,.500,2,2,1.000,0,3,3,2,2,0,1,2,11,9.8,-21,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
5,6,6,2022-10-30,27-250,NOP,@,LAC,W (+21),0,23.55,3.0,6.0,.500,3.0,6.0,.500,0,0,,1,3,4,6,1,0,0,1,9,12.4,+14,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
6,7,7,2022-11-02,27-253,NOP,@,LAL,L (-3),0,18.333333333333332,2.0,3.0,.667,0.0,1.0,.000,0,0,,0,1,1,2,0,0,3,1,4,1.0,+2,2.0,2.0,1.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
7,8,8,2022-11-04,27-255,NOP,,GSW,W (+9),0,9.4,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,1,1,4,0,0,0,1,0,2.0,-4,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
8,9,9,2022-11-05,27-256,NOP,@,ATL,L (-3),0,11.016666666666667,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,0,0,1,0,0,1,2,0,-1.8,-9,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
9,10,10,2022-11-07,27-258,NOP,@,IND,L (-7),0,20.366666666666667,3.0,9.0,.333,3.0,8.0,.375,2,2,1.000,0,2,2,4,0,0,0,0,11,9.3,0,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
10,11,11,2022-11-09,27-260,NOP,@,CHI,W (+4),0,16.366666666666667,1.0,2.0,.500,1.0,2.0,.500,0,0,,0,1,1,2,1,2,0,1,3,5.7,+2,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
11,12,12,2022-11-10,27-261,NOP,,POR,L (-11),0,7.966666666666667,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,-4,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
12,13,13,2022-11-12,27-263,NOP,,HOU,W (+13),0,9.316666666666666,2.0,4.0,.500,1.0,2.0,.500,0,0,,0,0,0,1,2,0,0,0,5,5.7,-7,2.0,1.0,0.5,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
13,14,14,2022-11-15,27-266,NOP,,MEM,W (+11),0,9.483333333333333,0.0,1.0,.000,0.0,1.0,.000,1,2,.500,0,1,1,2,0,0,0,0,1,1.6,+4,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
14,15,15,2022-11-16,27-267,NOP,,CHI,W (+14),0,8.35,2.0,3.0,.667,2.0,3.0,.667,0,0,,1,0,1,1,0,0,1,0,6,5.1,0,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
15,16,16,2022-11-18,27-269,NOP,,BOS,L (-8),0,8.366666666666667,1.0,2.0,.500,1.0,2.0,.500,0,0,,0,0,0,0,0,0,0,0,3,2.0,-4,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
