Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,28-145,NOP,BRK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,33,2,27,28,20,32,26,35,30,14,24,35,35,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,29.0,0.4222222222222222,0.44,0.4,0.3698630136986301,0.4745762711864407,0.8,0.4848484848484848,0.5531914893617021,0.4430379746835443,0.4918032786885246,0.56,0.3692307692307692,0.4545454545454545,0.4430379746835443,0.4827586206896552,8,63.0,65.0,0.0,0.123076923076923,16,,100.0,6.25,0.0,105.9,6.61875,20.7,1.6,0.3,-0.2,0.5,0.0279377265941565,0.61,0.065,0.615,0.3,0.8,W (+22),W (+22)
2.0,1.0,2022-10-21,28-147,NOP,CHO,0,5.883333333333333,1.0,3.0,.333,0.0,0.0,,0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.2,-3,3.0,1.0,0.3333333333333333,19,33,2,27,28,20,32,26,35,30,14,24,35,35,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,29.0,0.4222222222222222,0.44,0.4,0.3698630136986301,0.4745762711864407,0.8,0.4848484848484848,0.5531914893617021,0.4430379746835443,0.4918032786885246,0.56,0.3692307692307692,0.4545454545454545,0.4430379746835443,0.4827586206896552,8,63.0,65.0,0.0,0.123076923076923,16,4.0,88.0,5.5,2.2,108.20000000000002,6.762500000000001,20.7,1.6,0.3,-0.2,0.5,0.0279377265941565,0.61,0.065,0.615,0.3,0.8,W (+12),W (+12)
3.0,,2022-10-23,28-149,NOP,UTA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,33,2,27,28,20,32,26,35,30,14,24,35,35,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,29.0,0.4222222222222222,0.44,0.4,0.3698630136986301,0.4745762711864407,0.8,0.4848484848484848,0.5531914893617021,0.4430379746835443,0.4918032786885246,0.56,0.3692307692307692,0.4545454545454545,0.4430379746835443,0.4827586206896552,8,63.0,65.0,0.0,0.123076923076923,16,,69.0,4.3125,0.0,89.99999999999999,5.624999999999999,20.7,1.6,0.3,-0.2,0.5,0.0279377265941565,0.61,0.065,0.615,0.3,0.8,L (-1),L (-1)
4.0,,2022-10-25,28-151,NOP,DAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,33,2,27,28,20,32,26,35,30,14,24,35,35,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,29.0,0.4222222222222222,0.44,0.4,0.3698630136986301,0.4745762711864407,0.8,0.4848484848484848,0.5531914893617021,0.4430379746835443,0.4918032786885246,0.56,0.3692307692307692,0.4545454545454545,0.4430379746835443,0.4827586206896552,8,63.0,65.0,0.0,0.123076923076923,16,,78.0,4.875,0.0,83.1,5.19375,20.7,1.6,0.3,-0.2,0.5,0.0279377265941565,0.61,0.065,0.615,0.3,0.8,W (+2),W (+2)
5.0,2.0,2022-10-28,28-154,NOP,PHO,0,8.083333333333334,0.0,2.0,.000,0.0,1.0,.000,2,2.0,1.000,2.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,1.9,-2,1.0,0.0,0.0,19,33,2,27,28,20,32,26,35,30,14,24,35,35,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,29.0,0.4222222222222222,0.44,0.4,0.3698630136986301,0.4745762711864407,0.8,0.4848484848484848,0.5531914893617021,0.4430379746835443,0.4918032786885246,0.56,0.3692307692307692,0.4545454545454545,0.4430379746835443,0.4827586206896552,8,63.0,65.0,0.0,0.123076923076923,16,2.0,79.0,4.9375,1.1,84.2,5.2625,20.7,1.6,0.3,-0.2,0.5,0.0279377265941565,0.61,0.065,0.615,0.3,0.8,L (-13),L (-13)
6.0,,2022-10-30,28-156,NOP,LAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,33,2,27,28,20,32,26,35,30,14,24,35,35,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,29.0,0.4222222222222222,0.44,0.4,0.3698630136986301,0.4745762711864407,0.8,0.4848484848484848,0.5531914893617021,0.4430379746835443,0.4918032786885246,0.56,0.3692307692307692,0.4545454545454545,0.4430379746835443,0.4827586206896552,8,63.0,65.0,0.0,0.123076923076923,16,,96.0,6.0,0.0,95.7,5.98125,20.7,1.6,0.3,-0.2,0.5,0.0279377265941565,0.61,0.065,0.615,0.3,0.8,W (+21),W (+21)
7.0,,2022-11-02,28-159,NOP,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,33,2,27,28,20,32,26,35,30,14,24,35,35,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,29.0,0.4222222222222222,0.44,0.4,0.3698630136986301,0.4745762711864407,0.8,0.4848484848484848,0.5531914893617021,0.4430379746835443,0.4918032786885246,0.56,0.3692307692307692,0.4545454545454545,0.4430379746835443,0.4827586206896552,8,63.0,65.0,0.0,0.123076923076923,16,,95.0,5.9375,0.0,91.7,5.73125,20.7,1.6,0.3,-0.2,0.5,0.0279377265941565,0.61,0.065,0.615,0.3,0.8,L (-3),L (-3)
8.0,,2022-11-04,28-161,NOP,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,33,2,27,28,20,32,26,35,30,14,24,35,35,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,29.0,0.4222222222222222,0.44,0.4,0.3698630136986301,0.4745762711864407,0.8,0.4848484848484848,0.5531914893617021,0.4430379746835443,0.4918032786885246,0.56,0.3692307692307692,0.4545454545454545,0.4430379746835443,0.4827586206896552,8,63.0,65.0,0.0,0.123076923076923,16,,69.0,4.3125,0.0,83.3,5.20625,20.7,1.6,0.3,-0.2,0.5,0.0279377265941565,0.61,0.065,0.615,0.3,0.8,W (+9),W (+9)
9.0,,2022-11-05,28-162,NOP,ATL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,33,2,27,28,20,32,26,35,30,14,24,35,35,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,29.0,0.4222222222222222,0.44,0.4,0.3698630136986301,0.4745762711864407,0.8,0.4848484848484848,0.5531914893617021,0.4430379746835443,0.4918032786885246,0.56,0.3692307692307692,0.4545454545454545,0.4430379746835443,0.4827586206896552,8,63.0,65.0,0.0,0.123076923076923,16,,60.0,3.75,0.0,79.99999999999999,4.999999999999999,20.7,1.6,0.3,-0.2,0.5,0.0279377265941565,0.61,0.065,0.615,0.3,0.8,L (-3),L (-3)
10.0,,2022-11-07,28-164,NOP,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,33,2,27,28,20,32,26,35,30,14,24,35,35,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,29.0,0.4222222222222222,0.44,0.4,0.3698630136986301,0.4745762711864407,0.8,0.4848484848484848,0.5531914893617021,0.4430379746835443,0.4918032786885246,0.56,0.3692307692307692,0.4545454545454545,0.4430379746835443,0.4827586206896552,8,63.0,65.0,0.0,0.123076923076923,16,,100.0,6.25,0.0,93.4,5.8375,20.7,1.6,0.3,-0.2,0.5,0.0279377265941565,0.61,0.065,0.615,0.3,0.8,L (-7),L (-7)
