Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,19-216,NOP,BRK,0,3.2,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3,-2,1.0,0.0,0.0,27,54,2,39,20,46,37,57,39,16,45,54,57,28,22,45.0,75.0,5.0,73.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,0.4,0.5342465753424658,0.8,0.696969696969697,0.7872340425531915,0.7215189873417721,0.639344262295082,0.64,0.6923076923076923,0.7012987012987013,0.7215189873417721,0.7368421052631579,0.7586206896551724,18,63.0,65.0,0.0,0.2769230769230769,16,1.0,99.0,6.1875,0.2999999999999999,105.6,6.6,0.0242055875453188,W (+22),W (+22)
2.0,,2022-10-21,19-218,NOP,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,54,2,39,20,46,37,57,39,16,45,54,57,28,22,45.0,75.0,5.0,73.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,0.4,0.5342465753424658,0.8,0.696969696969697,0.7872340425531915,0.7215189873417721,0.639344262295082,0.64,0.6923076923076923,0.7012987012987013,0.7215189873417721,0.7368421052631579,0.7586206896551724,18,63.0,65.0,0.0,0.2769230769230769,16,,92.0,5.75,0.0,110.40000000000002,6.900000000000001,0.0242055875453188,W (+12),W (+12)
3.0,,2022-10-23,19-220,NOP,UTA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,54,2,39,20,46,37,57,39,16,45,54,57,28,22,45.0,75.0,5.0,73.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,0.4,0.5342465753424658,0.8,0.696969696969697,0.7872340425531915,0.7215189873417721,0.639344262295082,0.64,0.6923076923076923,0.7012987012987013,0.7215189873417721,0.7368421052631579,0.7586206896551724,18,63.0,65.0,0.0,0.2769230769230769,16,,69.0,4.3125,0.0,89.99999999999999,5.624999999999999,0.0242055875453188,L (-1),L (-1)
4.0,2.0,2022-10-25,19-222,NOP,DAL,0,22.116666666666667,4.0,5.0,.800,1.0,1.0,1.000,2,2.0,1.000,1.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,11.0,13.3,-18,4.0,3.0,0.75,27,54,2,39,20,46,37,57,39,16,45,54,57,28,22,45.0,75.0,5.0,73.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,0.4,0.5342465753424658,0.8,0.696969696969697,0.7872340425531915,0.7215189873417721,0.639344262295082,0.64,0.6923076923076923,0.7012987012987013,0.7215189873417721,0.7368421052631579,0.7586206896551724,18,63.0,65.0,0.0,0.2769230769230769,16,12.0,66.0,4.125,12.499999999999996,70.6,4.4125,0.0242055875453188,W (+2),W (+2)
5.0,,2022-10-28,19-225,NOP,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27,54,2,39,20,46,37,57,39,16,45,54,57,28,22,45.0,75.0,5.0,73.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,0.4,0.5342465753424658,0.8,0.696969696969697,0.7872340425531915,0.7215189873417721,0.639344262295082,0.64,0.6923076923076923,0.7012987012987013,0.7215189873417721,0.7368421052631579,0.7586206896551724,18,63.0,65.0,0.0,0.2769230769230769,16,,81.0,5.0625,0.0,85.3,5.33125,0.0242055875453188,L (-13),L (-13)
6.0,,2022-10-30,19-227,NOP,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27,54,2,39,20,46,37,57,39,16,45,54,57,28,22,45.0,75.0,5.0,73.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,0.4,0.5342465753424658,0.8,0.696969696969697,0.7872340425531915,0.7215189873417721,0.639344262295082,0.64,0.6923076923076923,0.7012987012987013,0.7215189873417721,0.7368421052631579,0.7586206896551724,18,63.0,65.0,0.0,0.2769230769230769,16,,96.0,6.0,0.0,95.7,5.98125,0.0242055875453188,W (+21),W (+21)
7.0,3.0,2022-11-02,19-230,NOP,LAL,0,16.1,3.0,5.0,.600,2.0,3.0,.667,0,2.0,.000,1.0,4.0,5.0,2.0,0.0,1.0,1.0,0.0,8.0,7.9,+5,2.0,1.0,0.5,27,54,2,39,20,46,37,57,39,16,45,54,57,28,22,45.0,75.0,5.0,73.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,0.4,0.5342465753424658,0.8,0.696969696969697,0.7872340425531915,0.7215189873417721,0.639344262295082,0.64,0.6923076923076923,0.7012987012987013,0.7215189873417721,0.7368421052631579,0.7586206896551724,18,63.0,65.0,0.0,0.2769230769230769,16,8.0,87.0,5.4375,7.899999999999997,83.79999999999998,5.237499999999999,0.0242055875453188,L (-3),L (-3)
8.0,,2022-11-04,19-232,NOP,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,54,2,39,20,46,37,57,39,16,45,54,57,28,22,45.0,75.0,5.0,73.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,0.4,0.5342465753424658,0.8,0.696969696969697,0.7872340425531915,0.7215189873417721,0.639344262295082,0.64,0.6923076923076923,0.7012987012987013,0.7215189873417721,0.7368421052631579,0.7586206896551724,18,63.0,65.0,0.0,0.2769230769230769,16,,69.0,4.3125,0.0,83.3,5.20625,0.0242055875453188,W (+9),W (+9)
9.0,4.0,2022-11-05,19-233,NOP,ATL,0,5.133333333333334,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4,-3,0.0,0.0,,27,54,2,39,20,46,37,57,39,16,45,54,57,28,22,45.0,75.0,5.0,73.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,0.4,0.5342465753424658,0.8,0.696969696969697,0.7872340425531915,0.7215189873417721,0.639344262295082,0.64,0.6923076923076923,0.7012987012987013,0.7215189873417721,0.7368421052631579,0.7586206896551724,18,63.0,65.0,0.0,0.2769230769230769,16,1.0,59.0,3.6875,-0.4000000000000001,80.39999999999998,5.024999999999999,0.0242055875453188,L (-3),L (-3)
10.0,,2022-11-07,19-235,NOP,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,54,2,39,20,46,37,57,39,16,45,54,57,28,22,45.0,75.0,5.0,73.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,0.4,0.5342465753424658,0.8,0.696969696969697,0.7872340425531915,0.7215189873417721,0.639344262295082,0.64,0.6923076923076923,0.7012987012987013,0.7215189873417721,0.7368421052631579,0.7586206896551724,18,63.0,65.0,0.0,0.2769230769230769,16,,100.0,6.25,0.0,93.4,5.8375,0.0242055875453188,L (-7),L (-7)
