Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,24-268,NOP,BRK,0.0,14.033333333333331,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0,4.6,-7.0,4.0,2.0,0.5,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,6.0,94.0,5.875,4.6000000000000005,101.3,6.33125,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+22),W (+22)
2.0,2.0,2022-10-21,24-270,NOP,CHO,0.0,11.916666666666666,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,1.0,91.0,5.6875,-3.3306690738754696e-16,110.40000000000002,6.900000000000001,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+12),W (+12)
3.0,3.0,2022-10-23,24-272,NOP,UTA,0.0,13.5,2.0,6.0,0.333,0.0,2.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,7.0,5.8,-7.0,4.0,2.0,0.5,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,1.0,68.0,4.25,4.6,85.39999999999998,5.337499999999999,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,L (-1),L (-1)
4.0,4.0,2022-10-25,24-274,NOP,DAL,1.0,33.38333333333333,6.0,9.0,0.667,0.0,2.0,0.0,3.0,4.0,0.75,2.0,1.0,3.0,1.0,0.0,0.0,3.0,3.0,15.0,8.9,14.0,7.0,6.0,0.8571428571428571,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,3.0,75.0,4.6875,7.699999999999996,75.39999999999999,4.7125,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+2),W (+2)
5.0,5.0,2022-10-28,24-277,NOP,PHO,1.0,35.0,7.0,13.0,0.538,3.0,7.0,0.429,4.0,5.0,0.8,4.0,2.0,6.0,5.0,1.0,0.0,2.0,2.0,21.0,19.4,2.0,6.0,4.0,0.6666666666666666,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,13.0,68.0,4.25,17.8,67.5,4.21875,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,L (-13),L (-13)
6.0,6.0,2022-10-30,24-279,NOP,LAC,1.0,38.73333333333333,7.0,13.0,0.538,3.0,5.0,0.6,0.0,0.0,,1.0,5.0,6.0,4.0,2.0,0.0,2.0,3.0,17.0,14.5,17.0,8.0,4.0,0.5,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,14.0,82.0,5.125,14.500000000000004,81.2,5.075,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+21),W (+21)
7.0,7.0,2022-11-02,24-282,NOP,LAL,1.0,38.53333333333333,3.0,8.0,0.375,1.0,3.0,0.333,2.0,2.0,1.0,0.0,5.0,5.0,3.0,3.0,1.0,2.0,1.0,9.0,9.5,-10.0,5.0,2.0,0.4,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,9.0,86.0,5.375,8.699999999999996,83.0,5.1875,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,L (-3),L (-3)
8.0,8.0,2022-11-04,24-284,NOP,GSW,0.0,9.083333333333334,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8,1.0,0.0,0.0,,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,-2.0,71.0,4.4375,-1.7999999999999998,85.1,5.31875,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+9),W (+9)
9.0,9.0,2022-11-05,24-285,NOP,ATL,0.0,12.45,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.9,5.0,3.0,0.0,0.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,-1.0,61.0,3.8125,-1.9,81.89999999999999,5.11875,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,L (-3),L (-3)
10.0,10.0,2022-11-07,24-287,NOP,IND,0.0,6.05,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.2,-3.0,2.0,1.0,0.5,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,0.0,100.0,6.25,0.1999999999999996,93.2,5.825,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,L (-7),L (-7)
